Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     33 cro 22  1  1  1 30 248 100 100 100   6   0  586   0   6  10   0   0   0   0   0   0   0   0 100
L_Badiashile  20 fra 17  1  1  1 30 264 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   26 sen  1 21  2  2 30 100 743  20  49   1   0   96   0   0   0   0   0   0   0   0   1   0   0 100
Kamil_Glik    30 pol  1 21  1  1 30 100 465 657 596   6   0  391   0   0   0   2   0   0   0   0   0   0   0  58
Phil_Jones    26 eng  1 21  2  1 30 100 181   2 998   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Kurzawa     25 fra  1 21 12  7 30 100 180 474 231   1   0   96   1   0   0   0   0   1   1   0   0   0   0 100
Jemerson      25 bra  1 20  1  1 30 100 491 612 626   6   0  560   0   0   0  11   0   0   0   0   0   0   0  32
B_Mendy       23 fra  1 20 12  5 30 100 287  90 772   1   1   26   0   0   0   0   0   1   0   0   0   0   0 100
Pol_Lirola    20 esp  1 19 11  5 30 100 625 921 801   5   5  195   0   0   0  10   0   0   0   0   0   0   0 100
Jorge         22 bra  1 18 10  5 30 100 970 850 695   1   0   96   0   0   0   0   3   0   0   0   0   0   0 100
Almamy_Touré  21 mli  1 18  9  4 30 100 599 810 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Abdou_Diallo  21 fra  1 18  1  1 30 100 328 666 668   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabinho       24 bra  1 18 21  2 30 100 108 272 777   6   0  586   0   0   0   5   7   0   0   0   0   0   0  28
Kévin_N'Doram 22 fra  1 14 17  2 30 100 756 897 696   1   1   27   0   0   0   0   1   0   0   0   0   0   0 100
A_Iniesta     33 esp  1  8 24 16 30 100 254 320 161   1   0   96   0   0   0   0   3   2   0   0   1   0   0 100
João_Moutinho 31 por  1 12 20  7 30 100 729 701 663   5   0  345   0   0   0   0   0   0   0   0   0   0   0  60
Y_Tielemans   20 bel  1  8 20 10 30 100 852 656 995   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Barella     21 ita  1  9 19 10 30 100 100 850 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thomas_Lemar  22 fra  1  1 21 19 30 100 539 120 657   6   0  586   0   0   0   0   7   0   0   0   0   0   0  28
G_Boschilia   22 bra  1  1 19 16 30 100 574  21   4   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thomas_Müller 28 ger  1  1 20 23 30 100 580 296 425   6   0  554   0   0   0   0   5  11   0   0   0   0   0  34
Kylian_Mbappé 19 fra  1  1 12 20 30 100 556 851 673   6   6  202   0   0   0   0   0   3   0   0   0   0   0 100
Malcom        21 bra  1  2 17 20 30 100 202 184 124  26   5 2004   0   0   0   5   5   7   0   0   0   0   0   6
