Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     25 svn 23  1  1  1 30 577 100 100 100  10   0  955   0  46  22   0   0   0   0   0   0   0   0 100
M_Ángel_Moyá  33 esp 20  1  1  1 30 933 100 100 100   2   1  191   0  10   2   0   0   0   0   0   0   0   0 100
André_Moreira 22 por 18  1  1  1 30 854 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Godín   32 uru  1 23  2  2 30 100  66 279 206   6   0  490   0   0   0  13   0   1   0   0   1   0   0  94
Filipe_Luís   32 bra  1 22 14  7 30 100 445  12 535   7   0  664   1   0   0  19  14  13   1   2   0   0   0  82
José_Giménez  23 uru  1 22  2  2 30 100 184 287 219   8   1  708   0   0   0  10   2   4   0   0   0   0   0  82
Samuel_Umtiti 24 fra  1 21  2  2 30 100 830 259 322   6   1  521   0   0   0   6   0   2   1   0   0   0   0 100
Juanfran      33 esp  1 21 12  7 30 100 398 580 281   3   0  211   0   0   0   2   1   2   1   1   1   0   0 100
Stefan_Savic  27 mne  1 21  2  2 30 100 262 225 240   4   1  361   0   0   0   9   0   3   0   0   0   0   0 100
T_Meunier     26 bel  1 21 12  7 30 100 183 672 391   4   0  385   0   0   0   6   2   8   1   0   0   0   0 100
Nacho_Monreal 32 esp  1 20 12  8 30 100 506 387 307   1   0   98   0   0   0   0   1   2   0   0   0   0   0 100
Lucas_Biglia  31 arg  1 19 23  2 30 100 983 195 375  11   3  818   1   0   0   6  37   3   0   1   0   0   0  88
A_Fernández   31 arg  1 18 22  3 30 100 921 395 254  10   2  702   0   0   0   7  21   0   0   1   1   0   0 100
L_Dendoncker  22 bel  1 18 21  2 30 100 854 141 305   6   0  575   0   0   0   8   7   2   0   1   0   0   0 100
Koke          26 esp  1  7 23 15 30 100 344 456 100   7   0  593   1   0   0   2  29   7   1   3   0   0   0  86
Saúl_Ñíguez   23 esp  1  8 22 13 30 100 496  19 952   6   1  524   1   0   0   3  19  11   1   2   1   0   0  88
Gabi          34 esp  1 13 21  8 30 100 409 389 400   4   0  381   0   0   0   1  14   1   0   0   0   0   0 100
Tiago         36 por  1 14 20  7 30 100 369  91 357   3   1  182   0   0   0   1   1   1   0   0   5   0   0 100
Y_Carrasco    24 bel  1  2 23 20 30 100 126 271 780   8   0  699   0   0   0   0  22  26   2   1   0   0   0  88
Nico_Gaitán   30 arg  1  2 22 19 30 100 190  75 498   6   0  566   1   0   0   1   3  21   4   1   0   0   0 100
S_Castillejo  23 esp  1  2 21 19 30 100  75 709 160   6   2  450   0   0   0   0   5  14   3   1   1   0   0 100
Nadiem_Amiri  22 ger  1  3 19 15 30 100 160 588 166   1   0   98   0   0   0   0   4   2   0   0   0   0   0 100
A_Griezmann   27 fra  1  2 16 24 30 100 265 517 815   8   0  698   0   0   0   1   1  35   4   0   0   0   0  82
Kévin_Gameiro 30 fra  1  2  2 22 30 100  79 161 863   8   1  703   1   0   0   0   0  46   5   0   1   0   0  82
Ángel_Correa  23 arg  1  2 17 21 30 100  41 286 265   6   0  546   1   0   0   0   2  21   4   1   2   0   0  94
F_Torres      34 esp  1  2  2 21 30 100 106 171 166   6   2  429   0   0   0   1   0  20   3   0   5   0   0 100
