Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 617 100 100 100  20   0 1923   0 177  58   0   0   0   0   0   1   0   0 100
J_Cillessen   28 ned 20  1  1  1 30 814 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordi_Masip   29 esp 18  1  1  1 30 710 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  31 esp  1 22  2  2 30 100 855 142 197  17   1 1161   0   0   0  26   0   3   0   0  48   0   1  64
Jordi_Alba    29 esp  1 22 13  7 30 100 762 983 602  16   0 1547   1   0   0  37  11  28   1   2   0   0   0   0
M_Musacchio   27 arg  1 21  2  2 30 100 991 370 299  15   0 1450   0   0   0  14   2   1   0   0   1   0   0   0
Joel_Matip    26 cmr  1 21  1  1 30 100 768 998 981   5   0  477   0   0   0   2   0   0   0   0   1   0   0 100
Dante         34 bra  1 21  2  1 30 100 243  85 932  13   9  639   0   0   0  13   0   1   0   0   0   0   0 100
V_Chiriches   28 rou  1 20  2  2 30 100 466 245 230   4   0  376   0   0   0   6   1   2   0   0   0   0   0 100
Rick_Karsdorp 23 ned  1 20 12  6 30 100 371 720 654   6   0  536   0   0   0   6   8   4   1   1   0   0   0 100
H_Badstuber   29 ger  1 19  1  1 30 100 843 643 633   1   0   93   0   0   0   1   0   2   0   0   0   0   0 100
David_Carmona 21 esp  1 18 11  6 30 100 732 195 206   4   0  378   0   0   0   2   5   2   1   0   0   0   0 100
S_Busquets    29 esp  1 19 23  3 30 100 870 304 485   8   1  639   0   0   0   7  16   1   0   0   1   0   0 100
D_Pereira     26 por  1 19 21  2 30 100 551 771 244   7   2  497   0   0   0   7   7   1   0   2   1   0   0 100
Kevin_Stewart 24 eng  1 17 19  2 30 100 155 204  41   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago        26 esp  1  8 23 14 30 100 535 579 858  17   0 1336   1   0   0   9  74  19   4   2   1   0   0  28
André_Gomes   24 por  1 14 22  7 30 100 710 620 428  17   2 1489   2   0   0  21  46  13   1   2   1   0   0   0
Sergi_Roberto 26 esp  1 13 21  8 30 100 350 140 369   6   0  570   0   0   0   1  10   2   1   2   0   0   0 100
Bernardeschi  24 ita  1  2 21 20 30 100 435 801 213  15   0 1411   1   0   0   9  28  50   6   0   0   0   0   0
B_Silva       23 por  1  1 21 18 30 100 500 443  96  16   1 1485   0   0   0   0  32  22   2   1  10   0   1  52
Lionel_Messi  30 arg  1  2 22 26 30 100 247 266 274  19   1 1599   0   0   0   0  26  84  12   1   0   0   0   0
Paulo_Dybala  24 arg  1  1 19 23 30 100 995 380 919  18   1 1529   0   0   0   0  11  64   4   0  10   0   0   0
Mauro_Icardi  25 arg  1  1  1 21 30 100 949 705 699  20   7 1106   2   0   0   9   1  54   6   0   1   0   0  40
Ahmed_Musa    25 nga  1  2  2 19 30 100 119 239 836  12  11  462   0   0   0   0   0  13   0   0   1   0   0 100
