Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   27 sui 23  1  1  1 30 536 100 100 100   6   0  534   0  33   8   0   0   0   0   0   0   0   0 100
Mile_Svilar   19 bel 19  1  1  1 30 851 100 100 100   7   1  608   0  33  16   0   0   0   0   0   0   0   0 100
H_Bonmann     24 ger 17  1  1  1 30 820 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      29 gre  1 22  2  2 30 100 219  88 235   6   0  532   0   0   0   4   0   0   0   0   1   0   0  94
L_Piszczek    32 pol  1 22 11  6 30 100   8 695 353   1   0   98   0   0   0   2   0   0   0   0   0   0   0  88
Sven_Bender   28 ger  1 21  2  2 30 100 505 163 274   6   0  571   0   0   0   3   1   1   0   0   0   0   0  88
R_Guerreiro   24 por  1 21 11  6 30 100 458 406 173   6   0  516   0   0   0   6   7   5   0   0   6   0   0  88
Marc_Bartra   27 esp  1 21  2  2 30 100 313 171 356   6   0  571   0   0   0   4   1   3   0   0   0   0   0  88
M_Schmelzer   30 ger  1 21 12  8 30 100 282 647 534   6   1  512   1   0   0   8   5   6   1   4   1   0   0 100
M_Ginter      24 ger  1 21  2  2 30 100  43 120 311   6   0  571   0   0   0   9   2   1   0   0   0   0   0  88
Erik_Durm     25 ger  1 20 12  6 30 100 495 405 379   6   0  571   0   0   0   6   9   2   1   1   2   0   0  88
J_Riedewald   21 ned  1 20  2  2 30 100 262 130 252   6   0  571   0   0   0   6   3   3   0   0   0   0   0  88
Joo-Ho_Park   31 kor  1 19  8  5 30 100 438 155 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julian_Weigl  22 ger  1 18 22  3 30 100 726 344 380   6   0  571   1   0   0   9  14   0   0   2   0   0   0  88
Dzenis_Burnic 19 ger  1 15 17  3 30 100 255 420 241   1   0   98   0   0   0   1   0   0   0   0   0   0   0  88
G_Castro      30 ger  1 13 21  8 30 100 585 443 362   7   6  262   0   0   0   1  13   0   0   1   0   0   0  92
A_Bertolacci  27 ita  1 13 20  7 30 100 419 502 319   7   1  441   0   0   0   1   9   4   0   2   0   0   0  88
Mikel_Merino  21 esp  1 12 20  8 30 100 434 320 399   6   0  571   0   0   0   2  11  10   1   1   3   0   0  88
Nuri_Sahin    29 tur  1 13 20  7 30 100 367 118 218   3   2  158   0   0   0   0   7   2   0   0   0   0   0 100
P_Coutinho    25 bra  1  1 22 21 30 100 917 792 172   6   0  571   1   0   0   0   9  18   2   2   2   0   0  88
X_Shaqiri     26 sui  1  2 22 20 30 100 244 148 310   6   0  409   1   0   0   0   8   6   2   2   1   0   0  88
Mario_Götze   25 ger  1  2 21 19 30 100 281 908  32   5   0  473   0   0   0   1  13   7   1   1   1   0   0 100
Davy_Klaassen 25 ned  1  1 20 19 30 100 878 575 402   8   3  541   1   0   0   0  13  12   3   0   0   0   0 100
A_Schöpf      24 aut  1  1 19 17 30 100 621 831 896   6   0  571   0   0   0   0  10   8   1   0   0   0   0  88
O_Dembélé     20 fra  1  2 19 22 30 100 232 688 972  12   6  602   0   0   0   0   5  24   3   0   0   0   0  90
Romelu_Lukaku 24 bel  1  1  1 22 30 100 428 383 775   6   1  345   1   0   0   1   0   8   5   0   1   0   0 100
C_Pulisic     19 usa  1  2 17 20 30 100 237 165 920  11   5  540   0   0   0   1   0  20   2   0   1   0   0  96
Emre_Mor      20 tur  1  2 17 19 30 100 216 182 440  10   4  506   0   0   0   0   3  16   2   0   1   0   0 100
Vaclav_Cerny  20 cze  1  2 16 19 30 100 247 226 266   6   6  193   0   0   0   0   1   7   2   0   0   0   0 100
