Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       24 bra 22  1  1  1 30 643 100 100 100  17   0 1573   0  48  33   0   0   0   0   0   0   0   0 100
T_Strakosha   23 alb 20  1  1  1 30 644 100 100 100   2   1  143   0   7   2   0   0   0   0   0   0   0   0 100
Sven_Ulreich  29 ger 19  1  1  1 30 921 100 100 100   3   1  212   0   6   4   0   0   0   0   0   0   0   0 100
Philipp_Lahm  34 ger  1 23 20  7 30  98 338 175 350  19   1 1233   0   0   0   9  17   5   0   0   1   0   0  46
David_Alaba   25 aut  1 22 20  7 30 100 985 117 320  16   1 1198   0   0   0  12  24   1   0   1  46   0   1   1
S_Mustafi     25 ger  1 22  2  2 30 100 459 239 346  17   2 1524   1   0   0  28   1   5   2   0   0   0   0   0
A_Laporte     23 fra  1 22  2  2 30 100 299 190 150  19   4 1517   0   0   0  14   1   1   0   0   0   0   0   0
Marquinhos    23 bra  1 22  2  2 30 100 201 194 188  13   9  714   0   0   0   3   0   0   0   0   1   0   0 100
P_Mertesacker 33 ger  1 21  2  2 30 100 173 194 161  15  10  773   0   0   0   7   0   2   0   0   1   0   0 100
Elseid_Hysaj  24 alb  1 21 10  6 30 100 114 628 321   8   2  635   0   0   0   6  10   0   0   1   0   0   0 100
F_Coentrão    29 por  1 20 10  6 30 100 112 340 198   2   0  190   0   0   0   2   3   2   0   0   0   0   0 100
Granit_Xhaka  25 sui  1 18 22  3 30 100 723 602 168   7   0  627   0   0   0   2  16   1   0   1   6   0   0 100
L_Fejsa       29 srb  1 19 21  2 30 100 739 811 169   4   0  378   1   0   0   3   7   1   0   2   0   0   0 100
B_Stambouli   27 fra  1 17 19  1 30 100 862 623 725   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Pogba    25 fra  1 11 24 11 30 100 632 150 948  18   0 1311   1   0   0   0  27  18   3   2   1   0   0  28
M_Pjanic      27 bih  1 13 23  9 30 100 432  58 152  18   3 1517   1   0   0   5  59   8   0   2   0   0   0   0
Paulinho      29 bra  1 14 21  7 30 100 547 763 484  16   1 1452   0   0   0   2  50   7   0   9   5   0   0   0
Sergi_Darder  24 esp  1 11 20  9 30 100 201 930 110   5   4  196   0   0   0   1   1   4   1   0   0   0   0 100
Leroy_Sané    22 ger  1  2 21 19 30 100 102 191 763   6   0  567   0   0   0   1   4  18   2   1   1   0   0 100
Dani_Parejo   28 esp  1  1 21 18 30 100 672 147 503   5   0  479   0   0   0   2   8  14   2   0   0   0   0 100
Gareth_Bale   28 wal  1  2 21 24 30 100 147 723 679  19   1 1534   3   0   0   0  21  71  13   0   2   0   0   0
José_Callejón 31 esp  1  2 19 22 30 100 289 661 805  17   3 1446   1   0   0   0   2  41   5   0   5   0   0   0
Vitolo        28 esp  1  1 19 21 30 100 937 252 563  15   0 1042   0   0   0   0   3  31   0   0   0   0   0  46
M_Oyarzabal   20 esp  1  2 18 20 30 100  11 387 957  18  16  691   1   0   0   0   3  27   1   1   0   0   0 100
