Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  33 svn 23  1  1  1 30 767 100 100 100  12   0 1139   0  79  21   0   0   0   0   0   1   0   0 100
J_P_Carrizo   33 arg 19  1  1  1 30 236 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   20 rou 17  1  1  1 30 434 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       33 bra  1 22  2  2 30 100 549   2  32   8   1  595   0   0   0  11   0   0   0   0   1   0   0  94
C_Ansaldi     31 arg  1 21 12  7 30 100 540 710 361  10   1  756   0   0   0  10   9   7   0   0   6   0   1  90
L_Tonelli     28 ita  1 20  2  2 30 100 750 116 212   5   0  399   0   0   0   5   0   1   0   0   0   0   0  88
Davide_Santon 27 ita  1 20 12  6 30 100 558 349 158   5   1  373   0   0   0   5   1   1   0   0   1   0   0 100
L_Antonelli   31 ita  1 20 12  6 30 100 537 580 316   7   2  589   0   0   0   4   5   2   1   1   2   0   0 100
M_Andreolli   31 ita  1 20  1  2 30 100 114 959  73   7   2  561   0   0   0   8   1   2   0   0   0   0   0 100
D_D'Ambrosio  29 ita  1 19 10  6 30 100 946 247 200   7   1  605   1   0   0   6   6   7   2   0   2   0   0 100
T_Sainsbury   26 aus  1 19  1  2 30 100 860 977   7   4   0  376   0   0   0   4   0   1   0   0   0   0   0 100
Gary_Medel    30 chi  1 19 21  2 30 100 771 706  22   9   2  656   0   0   0   5  11   1   0   0   1   0   0  88
T_Bakayoko    23 fra  1 17 21  3 30 100 471 362  40   7   0  630   1   0   0   7  18   5   0   2   0   0   0  88
Éver_Banega   29 arg  1  6 22 15 30 100 324 509 670  11   3  729   0   0   0   1  23   8   2   3   0   0   0  86
M_Brozovic    25 cro  1 13 21  8 30 100 516 830 358   8   1  671   2   0   0   3  20   6   2   1   2   0   0  88
R_Gagliardini 23 ita  1 14 20  6 30 100 271 532 162   7   1  596   0   0   0   4  14   2   0   1   1   0   0 100
Juan_Mata     29 esp  1  2 22 20 30 100 160 353 128  12   6  722   1   0   0   1  12  16   1   0   2   0   0  88
A_Candreva    31 ita  1  2 21 20 30 100  99  44 166   9   1  561   0   0   0   0  11  15   5   0   5   0   0 100
Brahim_Díaz   19 esp  1  2 18 16 30 100 160 264 162   4   2  264   0   0   0   0   5   2   0   1   0   0   0 100
S_El_Shaarawy 25 ita  1  1 19 22 30 100 943 550  84   8   0  732   1   0   0   0   6  24   2   2   2   0   0  82
Gabriel_B     21 bra  1  2 17 21 30 100  64 150 362   9   1  652   0   0   0   0   3  20   3   0   2   0   0  88
G_Lapadula    28 ita  1  2  2 20 30 100 201 113 190   8   4  515   0   0   0   0   0  22   3   0   1   0   0 100
G_Simeone     21 arg  1  2 13 20 30 100 311 327  13   4   0  379   1   0   0   0   1  15   2   0   0   0   0 100
A_Pinamonti   18 ita  1  2  1 17 30 100  21 947 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
