Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      40 ita 23  1  1  1 30 166 100 100 100  23   0 2216   0  83  27   0   0   0   0   0   0   0   0 100
Neto          28 bra 20  1  1  1 30 663 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Hummels  29 ger  1 23  2  2 30  79 320 232 141   8   0  570   0   0   0  10   1   0   0   0   0   0   0 100
G_Chiellini   33 ita  1 22  2  2 30 110 815 212 251   7   1  565   0   0   0   7   2   1   0   1   0   0   0 100
A_Barzagli    36 ita  1 21  2  2 30 100 631 193 315  18   0 1746   1   0   0  22   1   2   0   0   1   0   0   0
Iván_Marcano  30 esp  1 21  2  2 30 100 387 107 238   6   0  546   0   0   0  12   1   4   0   0   5   0   0 100
V_Lindelöf    23 swe  1 21  2  2 30 100 362 150 172  18   2 1591   0   0   0  14   0   2   1   0  17   0   0  28
D_Rugani      23 ita  1 21  2  2 30 100 331 236 180   8   3  586   1   0   0   7   3   0   0   1   0   0   0 100
E_Garay       31 arg  1 21  1  1 30 100 209 660 568   7   2  526   0   0   0   4   0   1   0   0   0   0   0 100
Sami_Khedira  30 ger  1 19 22  2 30 100 929 709 224   7   1  605   0   0   0   4  12   2   0   2   1   0   0 100
Luiz_Gustavo  30 bra  1 20 21  2 30 100  43 364 646  19   3 1627   0   0   0  41  24   2   1   3  14   0   0  64
M_Llorente    23 esp  1 17 20  3 30 100 742 711 377  16   0 1553   0   0   0  24  22   0   0   2   0   0   0   0
C_Marchisio   32 ita  1 14 23  8 30 100 499  60 558  19   0 1076   0   0   0   2  27   3   0   0   0   0   0  86
Cesc_Fàbregas 30 esp  1  8 22 13 30 100 576 267 222   6   0  537   1   0   0   1  19  14   4   0   1   0   0 100
Adrien_Rabiot 22 fra  1 13 22  8 30 100 498 133 532   7   1  569   1   0   0   5   8   2   0   2   0   0   0 100
Pizzi         28 por  1  7 21 14 30 100  67 408 390  18  14 1071   0   0   0   1   6   4   0   2   1   0   0  40
David_Silva   32 esp  1  2 23 21 30 100 124 185 319  18   0 1745   0   0   0   0  12  10   1   0   1   0   0   0
A_Schürrle    27 ger  1  2 21 20 30 100 236 436 216   5   0  473   1   0   0   0  11  18   5   1   0   0   0 100
G_Martins     22 por  1  2 20 19 30 100  98 951 720  18  13  856   0   0   0   0   5  12   0   0   1   0   0 100
Amine_Harit   21 mar  1  3 20 17 30 100 162 455 160  15   1 1400   0   0   0   1  17   8   0   0  12   0   0  28
Arjen_Robben  34 ned  1  2 20 24 30 100 252 624 346  18   0 1324   1   0   0   0  16  38   9   0   6   0   0   0
Álvaro_Morata 25 esp  1  1  2 22 30 100 979 148 309  19   1 1612   1   0   0   0  13  34   6   0  60   0   1   0
K_Coman       21 fra  1  1 18 21 30 100 927 258 934  18   3 1464   0   0   0   0   0  42   1   0   0   0   0   0
