Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  31 den 22  1  1  1 30  64 100 100 100   6   0  567   0  45  17   0   0   0   0   0   0   0   0 100
R-R_Zieler    29 ger 19  1  1  1 30 814 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Hamer     30 eng 17  1  1  1 30 231 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danilo        26 bra  1 20 12  6 30 100 658 553 219   6   0  567   0   0   0   7   1   0   0   0   0   0   0  28
Fede_Ricca    23 uru  1 20 12  6 30 100 306 503 447   1   0   92   0   0   0   2   2   0   0   0   0   0   0 100
Patrice_Evra  36 fra  1 20 10  5 30 100 282 842 731   5   0  295   0   0   0   5   0   0   0   0   0   0   0  70
Robert_Huth   33 ger  1 20  1  1 30 100 161 546 539   5   5  180   0   0   0   5   0   0   0   0   0   0   0 100
M_Debuchy     32 fra  1 19 11  5 30 100 900 843 614   1   0   92   0   0   0   0   0   1   0   0   0   0   0 100
C_Fuchs       31 aut  1 19  9  5 30 100 855 873 651   1   0   92   0   0   0   1   0   0   0   0   0   0   0 100
Wes_Morgan    34 jam  1 19  1  1 30 100 626 563 548   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Simpson 31 eng  1 19  7  4 30 100 274 689 566   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Illarramendi  28 esp  1 18 20  1 30 100 135 651 806   6   0  567   0   0   0   0  20   0   0   1   0   0   0  28
N_Mendy       25 fra  1 17 19  1 30 100 892 830 507   5   5  130   0   0   0   0   0   0   0   0   0   0   0 100
Fabian_Delph  28 eng  1 11 20  9 30 100 141 140 230   5   0  475   0   0   0   0   5   0   0   0   0   0   0  40
F_Valverde    20 uru  1  8 19 11 30 100 100 557 102   1   0   92   0   0   0   0   1   2   0   0   0   0   0 100
Andy_King     29 wal  1 10 18  7 30 100 677 427 630   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Franck_Ribéry 34 fra  1  1 21 20 30 100 559 530 211   1   0   92   0   0   0   0   5   4   0   0   0   0   0 100
Riyah_Mahrez  27 alg  1  1 21 18 30 100 529 235  58   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Lo_Celso    21 arg  1  2 19 18 30 100 156 933 619   1   0   92   0   0   0   0   2   3   1   1   0   0   0 100
M_Albrighton  28 eng  1  1 19 17 30 100 568 245 637   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Islam_Slimani 29 alg  1  1  1 21 30 100 611 548 178   6   0  567   0   0   0   0   0   2   1   0   0   0   0  28
Lucas_Pérez   29 esp  1  1  1 20 30 100 544 523 720   5   0  475   0   0   0   0   0  10   0   0   0   0   0  40
I_Williams    23 esp  1  1 18 20 30 100 604 910 709   6   0  412   1   0   0   0   5   8   2   1   0   0   0  58
Jamie_Vardy   31 eng  1  1  1 20 30 100 564 585 258  20   5 1450   0   0   0   5  15   5   0   0   0   0   0   6
