Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Rico   24 esp 22  1  1  1 30 471 100 100 100  10   0  961   0  30  10   0   0   0   0   0   0   0   0 100
David_Ospina  29 col 20  1  1  1 30 873 100 100 100   2   0  192   0   4   4   0   0   0   0   0   0   0   0 100
Rafael        27 bra 19  1  1  1 30 437 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Bailly   23 civ  1 22  2  2 30 100 435 163 184   9   1  756   0   0   0  15   0   1   0   0   0   0   0  78
Alex_Sandro   27 bra  1 22 12  8 30 100 165 832 476   9   1  680   0   0   0  11   9   2   1   2   5   0   1  86
Serge_Aurier  25 civ  1 21 12  8 30 100 828 671 471   5   0  392   1   0   0   8   3   3   0   0   1   0   0  88
Niklas_Süle   22 ger  1 21  2  2 30 100 737 267 105  10   4  674   0   0   0  14   1   1   0   0   1   0   0  96
D_Sánchez     21 col  1 21  2  2 30 100 583  41 171   8   1  509   0   0   0   9   1   0   0   0   0   2   0 100
M_De_Sciglio  25 ita  1 21 12  6 30 100 118 919 253   7   1  606   0   0   0   8   7   6   0   1   1   0   0  98
João_Cancelo  23 por  1 20 12  5 30 100 798 229 726   6   2  484   0   0   0   3   7   1   0   0   0   0   0 100
Jesús_Vallejo 21 esp  1 19  1  1 30 100 823 124 215   5   3  327   0   0   0   0   0   0   0   0   0   0   0 100
Nemanja_Matic 29 srb  1 19 22  2 30 100 773 498 241   9   2  713   0   0   0   4  26   0   0   1   0   0   0  76
N'Golo_Kanté  27 fra  1 18 21  1 30 100 989 838 519   6   0  577   1   0   0   7   6   0   0   0   0   0   0  88
P_Zielinski   23 pol  1  7 21 13 30 100 376 695 695   7   0  645   0   0   0   2  10   8   0   0   0   0   0  84
Jack_Wilshere 26 eng  1  9 21 12 30 100 420 553 440   8   1  584   2   0   0   4  12   7   2   1   0   0   0  80
Eden_Hazard   27 bel  1  1 22 21 30 100 377 875 575   8   1  693   1   0   0   1  11  14   2   3   0   0   0  88
J_Rodríguez   26 col  1  2 22 20 30 100 267 849  94  10   3  675   1   0   0   1   9   7   2   0   0   0   0  88
Juan_Cuadrado 29 col  1  2 21 20 30 100 179 626 231   8   3  510   1   0   0   0   7  11   2   0   1   0   0 100
JF_Quintero   25 col  1  1 20 18 30 100 158 234 210   5   1  382   1   0   0   0   6   8   1   2   1   0   0 100
Neymar        26 bra  1  2 21 25 30 100  36 582 264   7   0  548   0   0   0   0   5  12   1   0  12   0   0  94
Dries_Mertens 30 bel  1  2 20 23 30 100 252 565 919   9   2  620   0   0   0   0   1  25   4   0   2   0   0  92
Falcao        32 col  1  2  2 22 30 100 205  93  99   8   3  503   0   0   0   0   1  14   2   0   1   0   0 100
Chicharito    29 mex  1  1  1 21 30 100 414 396 278   4   0  350   0   0   0   1   0   9   3   0   0   0   0 100
Lucas_Pratto  30 arg  1  1  1 20 30 100 150 150 714   4   3  192   0   0   0   0   0   8   2   0   0   0   0 100
