Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  32 ger 25  1  1  1 30 330 100 100 100  20   0 1925   0  97  23   0   0   0   0   0   1   0   0 100
S_Scuffet     21 ita 19  1  1  1 30 910 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lichtsteiner  34 sui  1 22 12  8 30 100 168 891 380  17   1 1229   0   0   0  11  10  14   0   3   6   0   0  44
Luke_Shaw     22 eng  1 21 12  7 30 100 950 853 302  17   0 1559   0   0   0  30   7   3   0   2   2   0   0   0
Iñigo_Mtnez   26 esp  1 21  1  1 30 100 506 882 862  10   3  864   0   0   0   6   0   1   0   0   0   0   0 100
Marcos_Alonso 27 esp  1 21 12  7 30 100 112 594 369  17   1 1464   0   0   0  24   6   4   0   0   0   0   0   0
M_Nastasic    25 srb  1 20  1  1 30 100 795 506 534  16   1 1404   0   0   0  14   0   1   0   0   0   0   0   0
P_Kimpembe    22 fra  1 20  2  2 30 100 188 215 222  15   0 1373   0   0   0   6   0   0   0   0   9   0   0  64
Andrea_Raggi  33 ita  1 20  1  1 30 146   8 978 964  11   9  453   0   0   0  10   0   0   0   0   5   0   0 100
Rúben_Dias    21 por  1 19  1  1 30 100 860 160 160  12  10  501   0   0   0   5   0   0   0   0   0   0   0 100
W_Carvalho    25 por  1 19 22  2 30 100 711  94 132   7   0  639   1   0   0   4  17   5   1   0   5   0   0 100
Fernando      30 bra  1 18 20  2 30 100 554 833 279   5   1  410   0   0   0   6  10   1   0   0   0   0   0 100
Rúben_Neves   21 por  1 17 19  2 30 100 157 930 847   2   1  139   0   0   0   1   2   0   0   0   0   0   0 100
I_Gündogan    27 ger  1  9 23 13 30 100 538 149 680  17   0 1340   1   0   0  11  18  15   2   1   5   0   0  22
Aaron_Ramsey  27 wal  1  9 22 12 30 100 122 862 697  17   0 1538   0   0   0   0  54  19   1   1   0   0   0   0
N_Bentaleb    23 alg  1 12 20  6 30 100 980 466 900  14   0 1255   1   0   0   9  11   3   1   1   2   0   0   0
R_Bazoer      21 ned  1 11 20  9 30 100 662  80 632   4   3  182   0   0   0   2   5   2   0   0   5   0   0 100
H_Mkhitaryan  29 arm  1  2 22 21 30 100 219 572 295   8   1  671   0   0   0   0  11  17   4   0   0   0   0 100
O-Chamberlain 24 eng  1  2 21 18 30 100  16  76 688   6   1  507   0   0   0   0   5  10   0   0   0   0   0 100
E_Reynoso     23 arg  1  1 19 17 30 100 160 660 160   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Suárez   31 uru  1  2  2 25 30 100 106 120  74  18   0 1658   0   0   0   0   2  41   2   0   0   0   0   0
A_Milik       24 pol  1  2  2 21 30 100 139  39 487  16   2  978   0   0   0   0   0  25   2   0   0   0   0  40
Gabriel_Jesus 20 bra  1  2 12 21 30 100  39 402 421  17  12  901   1   0   0   0  13  21   4   1   9   0   0 100
