Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Cardinale   24 fra 21  1  1  1 30 782 100 100 100  12   0 1138   0  32  13   0   0   0   0   0   0   0   0 100
W_Benítez     25 arg 18  1  1  1 30 868 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nélson_Semedo 24 por  1 21 12  6 30 100 336 625 303   7   0  612   1   0   0   5   2   3   0   1   0   0   0  94
Lucas_Digne   24 fra  1 21 12  6 30 100 183 639 570   8   1  657   0   0   0   9   2   8   1   0   2   0   0  88
R_Pereira     24 por  1 21 12  7 30 100  56 408 126   7   0  565   0   0   0   7   4   3   2   1   0   3   0  92
Dalbert       24 bra  1 20 12  6 30 100 839 563  79   9   0  821   1   0   0   7  13   7   0   3   0   0   0  74
Paul_Baysse   29 fra  1 20  2  2 30 100 550 245 118   8   1  730   0   0   0   9   0   3   0   0   0   0   0  81
S_Kolasinac   24 bih  1 20  9  5 30 100 307 867 710   9   3  670   0   0   0  10   3   6   0   0   1   0   0  97
A_Souquet     26 fra  1 19 12  6 30 100 735 559  88   6   1  503   0   0   0   2   9   3   0   1   0   0   0 100
P_Burner      21 fra  1 18  9  5 30 100 238 221  21   5   0  473   1   0   0   4   2   3   1   0   0   0   0 100
G_Kondogbia   25 fra  1 17 20  2 30 100 311 276 890  10   3  717   2   0   0   8  18   1   1   2   2   0   0  85
Onyinye_Ndidi 21 nga  1 18 19  1 30 100 107 988 880  12   5  759   0   0   0   2  16   0   0   1   1   0   0  88
Alexis_Blin   21 fra  1 18 19  1 30 100  70 805 838  11   3  641   0   0   0   4  12   2   0   1   0   0   0 100
Jean_M_Seri   26 civ  1 15 21  6 30 100 514 611 260   8   0  699   0   0   0   2  16   4   0   1   0   0   0  85
V_Koziello    22 fra  1 13 20  7 30 100 396 893  87   6   2  503   0   0   0   1  12   7   1   2   0   0   0 100
Lucas         25 bra  1  2 21 18 30 100 115 234 693   5   0  474   1   0   0   0   4  17   2   0   1   0   0 100
D_Caligiuri   30 ita  1  1 19 16 30 100 566 637 658   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lusamba     21 fra  1  2 19 17 30 100 136 254 155   6   1  487   0   0   0   0   6  12   1   1   1   0   0 100
H_Lozano      22 mex  1  2 18 21 30 100 252 702 228   8   1  628   3   0   0   0   2  32   5   0   1   0   0  88
G_Guedes      21 por  1  1 18 20 30 100 990 345 194   9   5  512   1   0   0   0   2  19   5   0   0   0   0  94
H_Onyekuru    21 nga  1  2 18 20 30 100 636 664 152   7   1  533   0   0   0   0   4  17   2   0   0   0   0  97
F_Chiesa      21 ita  1  1 17 19 30 100 165 165 867   4   0  376   0   0   0   0   0   9   1   0   0   0   0 100
Alexy_Bosetti 24 fra  1  2  2 18 30 100 170 170 482   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
