Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       25 arg 22  1  1  1 30 716 100 100 100  20   0 1925   0  66  24   0   0   0   0   0   1   0   0 100
Iker_Casillas 36 esp 19  1  1  1 30  91 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Sá       25 por 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          35 por  1 21  2  2 30 100 499  34  63  17   0  986   0   0   0   7   0   1   0   0  11   0   0 100
Sebas_Coates  27 uru  1 21  2  2 30 100  88  71  10  15   0 1352   0   0   0  11   0   1   0   0  45   0   1   0
N_Maksimovic  26 srb  1 21  1  1 30 100  34 598 557  15   0 1447   0   0   0  13   0   0   0   0   0   0   0   0
D_Zappacosta  25 ita  1 20 12  7 30 100 524 595 505  16   2 1395   9   0   0  31  12   2   0   1   2   0   0   0
Felipe        28 bra  1 20  1  1 30 100 513 486 468  16   2 1428   0   0   0  13   1   0   0   0   1   0   0   0
Alex_Telles   25 bra  1 20 11  5 30 100 389 972 766  15  11  797   0   0   0  16   2   3   0   0   0   0   0 100
Maxi_Pereira  33 uru  1 20 12  5 30 106 223 171 779   8   3  448   0   0   0   6   8   2   0   0   1   0   0 100
Rafinha       32 bra  1 19  9  5 30 100 853 878 655  13  10  630   0   0   0   9   3   1   0   1   0   0   0 100
N_Radoja      25 srb  1 18 20  3 30 100 588 893 424  15   0 1451   1   0   0   8  56   0   0   2   1   0   0   0
Miguel_Veloso 31 por  1 17 20  2 30 100 132 525 592   8   2  622   0   0   0   7  13   0   0   0   1   0   0 100
Xabi_Alonso   36 esp  1 17 20  3 30 100 265 205 680   6   5  261   0   0   0   2   6   1   0   0   1   0   0 100
H_Herrera     27 mex  1  7 21 13 30 100 762  29  38  17   0 1158   1   0   0   2   8   8   2   0   0   0   0   8
André_André   28 por  1  6 20 13 30 100 797 245 843   7   0  610   0   0   0   2  11   4   0   2   1   0   0 100
F_Melegoni    19 ita  1 10 19  8 30 100  80  40  91  15   2 1288   0   0   0   0  30  11   0   0   0   0   0   0
Denis_Suárez  24 esp  1  1 21 18 30 100 799 224 348   6   0  571   0   0   0   1   9   8   0   2   1   0   0 100
Otávio        23 bra  1  1 19 18 30 100 654 818 141   6   2  447   0   0   0   1   4  12   1   0   0   0   0 100
E_Cavani      31 uru  1  2  2 22 30 100  69 135 546   7   0  600   0   0   0   0   0  14   2   0   1   0   0 100
M_Mandzukic   31 cro  1  1  1 21 30 100 564 574 580  17   2 1480   0   0   0   0   0  14   1   0   9   0   0  64
Wayne_Rooney  32 eng  1  1 17 21 30 100 522 880 289  17   2 1144   1   0   0   0   4  19   1   0   2   0   0  30
Y_Brahimi     28 alg  1  1 17 20 30 100 503 808 933   7   1  368   0   0   0   0   2   9   3   0   5   0   0 100
Paco_Alcácer  24 esp  1  1  1 20 30 100 516 544 112  17  16  600   0   0   0   0   1  23   2   0   0   0   0 100
