Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   27 ned 22  1  1  1 30 532 100 100 100   6   0  582   0  15  19   0   0   0   0   0   0   0   0 100
Remko_Pasveer 34 ned 19  1  1  1 30   7 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  24 ned 18  1  1  1 30 828 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 24 ned 18  1  1  1 30 285 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Medhi_Benatia 30 mar  1 21  1  1 30 100 495 841 846   6   0  351   0   0   0  12   0   0   0   0   0   0   0  66
Jetro_Willems 24 ned  1 21 12  6 30 100 118 695 133   6   0  582   0   0   0   3   7   0   0   0   0   0   0  28
Isimat-Mirin  26 fra  1 20  2  1 30 100 516   9 960   6   0  582   0   0   0  12   5   0   0   0   0   0   0  28
S_Arias       26 col  1 20 12  6 30 100 442 383  10   1   0   92   0   0   0   0   1   0   0   0   0   0   0 100
Joshua_Brenet 24 ned  1 20 12  6 30 100 211 295 157   1   1   36   0   0   0   0   1   0   0   0   1   0   0 100
D_Schwaab     29 ger  1 19  1  1 30 100 744 951 953   5   0  490   0   0   0   0   0   0   0   0   0   0   0  40
Menno_Koch    23 ned  1 18  2  2 30 100 681  34  18   5   0  490   0   0   0   5   0   0   0   0   0   0   0  40
S_Alberto     21 ned  1 17  2  2 30 100 863  35  34   5   5  195   0   0   0   0   0   0   0   0   0   0   0 100
J_Hendrix     23 ned  1 18 20  1 30 100 369 424 955   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Claudio_Gomes 18 fra  1 16 18  2 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Strootman   28 ned  1 13 21  7 30 100  16 679 672   6   0  411   0   0   0   5  20   0   0   5   0   0   0  54
Davy_Pröpper  26 ned  1  9 20 11 30 100 241 904 265   6   5  237   0   0   0   0   2   0   0   1   0   0   0 100
M_van_Ginkel  25 ned  1  9 20 11 30 100 247 623 226   1   1   26   0   0   0   0   1   0   0   0   0   0   0 100
B_Ramselaar   21 ned  1  1 20 18 30 100 924 707 767   6   0  582   0   0   0   0  16  21   0   0   1   0   0  28
Siem_de_Jong  29 ned  1  1 19 18 30 100 922 850 506   1   0   92   0   0   0   0   1   3   0   0   0   0   0 100
O_Zinchenko   21 ukr  1  1 19 16 30 100 949 757 389   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R-P_Lundqvist 20 swe  1  1 18 15 30 100 948 121 159   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenneth_Paal  20 ned  1  1 17 15 30 100 958 646  47   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Pereiro     22 uru  1  1 18 20 30 100 944 479 787   6   0  551   0   0   0   0   0   7   6   0   0   0   0  34
Luuk_de_Jong  27 ned  1  1  1 20 30 100 941 963 780   6   0  582   0   0   0   0   0   2   0   0   5   0   1  28
J_Locadia     24 ned  1  1  2 19 30 100 908   3 861   6   1  351   0   0   0   0   0   6   0   0   0   0   0  70
S_Bergwijn    20 ned  1  1 16 18 30 100 936 185 934   5   5  170   0   0   0   0   0   0   0   0   0   0   0 100
Sam_Lammers   20 ned  1  1  2 18 30 100 960  62 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
