Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    27 pol 22  1  1  1 30 663 100 100 100  10   0  951   0  34  15   0   0   0   0   0   0   0   0 100
Alisson       25 bra 20  1  1  1 30 359 100 100 100   2   0  188   0  15   2   0   0   0   0   0   0   0   0 100
Raúl_Gudiño   22 mex 18  1  1  1 30 621 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Manolas     26 gre  1 21  1  1 30 100 552 662 597   7   0  623   1   0   0  11   2   0   0   0   1   0   0  88
Héctor_Moreno 30 mex  1 21  2  2 30 100 222  74  96   7   0  662   0   0   0  10   0   1   0   0   0   0   0  82
Sime_Vrsaljko 26 cro  1 20 12  6 30 100 959 546 356   8   1  726   0   0   0   8   4   1   0   0   0   4   0  84
Bruno_Peres   28 bra  1 20 12  4 30 100 477  96 769   6   0  575   1   0   0  11   6   2   0   0   0   0   0  88
Emerson       23 bra  1 20 12  5 30 100 421 276 989   7   0  662   2   0   0  15   6   4   0   0   0   0   0  82
Mário_Rui     26 por  1 20 11  5 30 100 200 940 729   5   1  339   0   0   0   9   5   0   0   0   2   0   0 100
Aleix_Vidal   28 esp  1 19 12  6 30 100 918 364 250   6   1  506   0   0   0   8   4   1   0   0   1   0   0 100
A_Nura        20 nga  1 18  8  4 30 100 202 884 661   5   0  477   0   0   0   7   4   0   0   0   1   0   0 100
J_Campuzano   22 col  1 15 18  3 30 100 179 236 165   2   0  188   0   0   0   1   3   0   0   0   0   0   0 100
R_Nainggolan  29 bel  1 16 23  6 30 100 321 205 249   7   0  631   0   0   0   4  17   4   0   1   6   0   0  86
A_Guardado    31 mex  1 12 21  9 30 100 562 411 247   6   1  529   0   0   0   1  11   2   0   2   0   0   0  88
Wilfried_Zaha 25 civ  1  2 21 20 30 100 630 140 743  11   2  718   0   0   0   0   6  12   1   2   2   0   0 100
Marko_Rog     22 cro  1  2 20 18 30 100 104 105 565  11  10  368   0   0   0   0  12   5   0   1   1   0   0 100
Cengiz_Ünder  20 tur  1  2 19 18 30 100 644 969 723  10   8  359   1   0   0   0   4   7   2   1   1   0   0 100
Ante_Coric    21 cro  1  2 19 18 30 100 621 956 694   9   6  360   1   0   0   0   8   9   2   0   0   0   0 100
J_Manzaneda   24 per  1  2 19 17 30 100 346 844 990  10   1  636   0   0   0   0  14   8   0   0   0   0   0 100
A_Sánchez     29 chi  1  1 20 24 30 100 930 694 411   8   1  641   0   0   0   0   9  20   2   0   0   0   0  82
Mohamed_Salah 25 egy  1  1 19 21 30 100 871 281 822  11   1  754   0   0   0   0  10  10   3   0   2   0   0  88
M_Balotelli   27 ita  1  2  2 21 30 100 189 213 526   7   1  588   1   0   0   1   0  15   3   0   0   0   0  94
Simone_Zaza   26 ita  1  1  1 20 30 100 621 623 515   7   1  487   0   0   0   0   0  16   1   0   5   0   0  98
Patrik_Schick 22 cze  1  1  1 20 30 100 158 158 378   5   0  477   0   0   0   0   0  10   2   0   1   0   0 100
