Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Claudio_Bravo 34 chi 23  1  1  1 30  76 100 100 100  20   0 1899   0  92  35   0   0   0   0   0   1   0   0 100
David_Soria   24 esp 18  1  1  1 30 507 100 100 100   1   1   27   0   1   1   0   0   0   0   0   0   0   0 100
Miguel_Layún  29 mex  1 21 12  7 30 100 393 223 710  17   0 1166   0   0   0  15   4   0   0   0   5   0   0  46
A_Kolarov     32 srb  1 21 11  7 30 100  59 302   3  16   0 1347   0   0   0   6   5   3   0   0  45   0   1   0
J_Mathieu     34 fra  1 21  1  1 30  85  36 995 952  14   0 1357   0   0   0  12   2   3   0   1   9   0   0  64
D_Carriço     29 por  1 20  1  1 30 100 813 337 347  17   1 1572   1   0   0  22   0   0   0   0   0   0   0   0
B_Trémoulinas 32 fra  1 20 11  6 30 100 729 911 428  15   9  827   0   0   0  20   7   0   0   1   2   0   0 100
Adil_Rami     32 fra  1 20  1  1 30 100 700 337 300  13  10  674   0   0   0   6   1   0   0   0   1   0   0 100
André_Almeida 27 por  1 20 10  6 30 100 213 125   1   4   0  377   0   0   0   7   3   0   0   0   1   0   0 100
N_Pareja      34 arg  1 20  1  1 30 100 213 368 355   3   0  286   0   0   0   5   1   2   0   0   1   0   0 100
Mariano       31 bra  1 19  9  5 30 100 819 540 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Mercado     31 arg  1 19  9  5 30 100 458 532 429   1   1   49   0   0   0   2   0   0   0   0   0   0   0 100
S_N'Zonzi     29 fra  1 18 21  2 30 100  18 147 397   8   0  758   0   0   0   4   8   2   0   1   1   0   0 100
V_Iborra      30 esp  1 18 20  2 30 100 196 591 404  13   0 1263   0   0   0  23   2   0   0   0   2   0   0   0
M_Krohn-Dehli 34 den  1  7 20 12 30 100 933 655 655   6   0  454   0   0   0   1   8   3   0   0   7   0   0 100
Lewis_Cook    21 eng  1 12 19  7 30 100 157 549 182  13   0 1002   0   0   0   1  37   3   1   0   0   0   0  28
Á_Di_María    30 arg  1  1 22 20 30 100 824  17 982  17   0 1643   1   0   0   0   6  60   3   1   0   0   0   0
Arda_Turan    31 tur  1  1 21 19 30 100 854 307 371   8   0  759   0   0   0   0  12  10   0   1   2   0   0 100
Samir_Nasri   30 fra  1  1 21 19 30 100 574   8 265  15   0 1449   0   0   0   0  28   8   1   3   1   0   0   0
Carlos_Bacca  31 col  1  2  2 21 30 100 315  19 869  17   0 1643   1   0   0   0   2  26   5   1   1   0   0   0
Carlos_Vela   29 mex  1  1 18 21 30 100 577 898 518  17   0 1300   1   0   0   0  12  34   4   0   5   0   0  44
Quaresma      33 por  1  2 19 21 30 100 169 324 172  14  10  712   0   0   0   0  19   3   0   0   0   0   0 100
S_Jovetic     28 mne  1  1  1 19 30 100 626 362 995   2   0  191   0   0   0   0   0   8   1   0   0   0   0 100
W_Ben_Yedder  27 fra  1  1  1 19 30 100 648 396 890   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Vietto      24 arg  1  1  1 19 30 100 645 405 428   1   0   95   0   0   0   0   0   1   0   0   0   0   0 100
