Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   31 fra 24  1  1  1 30 301 100 100 100   1   0   95   0   7   3   0   0   0   0   0   0   0   0 100
Michel_Vorm   34 ned 20  1  1  1 30 875 100 100 100   5   0  490   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Meret    21 ita 19  1  1  1 30 950 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Kompany     31 bel  1 22  2  2 30 100 550 128 198   1   0   57   0   0   0   2   0   0   0   0   0   0   0 100
Alderweireld  29 bel  1 22  2  2 30 100 523  10 137   6   0  390   0   0   0   1   0   0   0   0   0   0   0  58
V_van_Dijk    26 ned  1 22  1  2 30 100 127 994 111   6   0  585   0   0   0   5   0   0   0   0   0   0   0  28
J_Vertonghen  30 bel  1 22  2  2 30 100 110 110 106   6   0  585   0   0   0   1   5   1   0   5   6   0   0  28
Kyle_Walker   27 eng  1 21 12  7 30 100 893 549 340   6   1  528   5   0   0   2  15   5   0   0   0   0   0  40
Ben_Davies    24 wal  1 21 10  6 30 100 310 320 330   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Wimmer  25 aut  1 21  2  2 30 100   8  69 203   5   0  490   0   0   0   5   0   0   0   0   0   0   0  40
K_Trippier    27 eng  1 20 12  7 30 100 301 181 198   5   5  195   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Dier     24 eng  1 18 21  2 30 100 563 491 109   6   0  585   0   0   0   5   6   0   0   0   0   0   0  28
V_Wanyama     26 ken  1 18 20  2 30 100 529 817   3   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mousa_Dembélé 30 bel  1 14 21  8 30 100 389 979 405   6   0  440   0   0   0   0   3   0   0   0   0   0   0  48
M_Sissoko     28 fra  1  6 20 14 30 100 355 673 403   5   5  145   0   0   0   0   0   0   0   0   0   0   0 100
C_Eriksen     26 den  1  2 22 21 30 100 150 633  16   6   0  548   0   0   0   0   0   5   0   0   0   0   0  34
Dele_Alli     21 eng  1  2 22 19 30 100 107 255 908   6   0  585   0   0   0   0  12   7   0   1   0   0   0  28
C_Cueva       26 per  1  2 20 17 30 100 300 866 581   1   1   37   0   0   0   0   2   0   0   1   0   0   0 100
Josh_Onomah   20 eng  1  2 19 16 30 100 168 102 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Agüero 29 arg  1  2  2 24 30 100  54 118 671   6   0  415   0   0   0   0   0  13   7   0   0   0   0  58
C_Immobile    28 ita  1  2  1 21 30 100 116 993 499   6   5  233   0   0   0   0   0   1   0   0   0   0   0 100
Heung-Min_Son 25 kor  1  2 18 20 30 100 146 294 920   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Janssen     23 ned  1  2  2 20 30 100 192  67 160   1   1   32   0   0   0   0   0   0   0   0   0   0   0 100
G-K_N'Koudou  23 fra  1  2 18 19 30 100 158  54 922   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
