Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Romero 31 arg 20  1  1  1 30 142 100 100 100   1   0   93   0   3   0   0   0   0   0   0   0   0   0 100
Chris_Vargas  29 col 18  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ragnar_Klavan 32 est  1 20  1  1 30 100 307 909 938   1   0   93   0   0   0   0   0   0   0   0   0   0   0  88
Camilo_Zuñiga 33 col  1 19 15  7 30 100 230 100 100   1   0   71   0   0   0   2   0   0   0   0   0   0   0  92
Feli_Aguilar  25 col  1 19  1  1 30 100 160 100 100   1   1   22   0   0   0   1   0   0   0   0   0   0   0 100
H_Palacios    25 col  1 18 11  6 30 100 711 107 100   1   0   93   0   0   0   1   1   0   0   0   0   0   0  88
Rafa_Delgado  28 arg  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Sibille 20 arg  1 17  1  1 30 100 812 143 100   1   0   93   0   0   0   1   1   0   0   1   0   0   0  88
Carlos_Cuesta 19 col  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hadier_Borja  21 col  1 17 10  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafetraniaina 21 mad  1 15 18  3 30 100 404 594  89   1   0   93   0   0   0   2   1   0   0   0   0   0   0  88
B_Zuculini    25 arg  1 16 18  2 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ignacio_Fdez  28 arg  1 12 19 12 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrea_Poli   28 ita  1 10 19  8 30 100 587  26 584   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Érik_Lamela   26 arg  1  2 21 18 30 100 108 321 606   1   0   71   1   0   0   0   1   2   1   1   0   0   0  92
Diego_Perotti 29 arg  1  1 19 17 30 100 380 921 772   1   0   93   0   0   0   1   0   1   1   0   0   0   0  88
M_Torres      34 col  1  2 19 17 30 100 100 600 100   1   1   22   0   0   0   0   0   0   0   0   0   0   0 100
G_Castellani  31 arg  1  8 18 14 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Nieto      25 col  1  2 18 16 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nolito        31 esp  1  2 19 20 30 100 198 415 993   1   0   93   0   0   0   0   1   1   1   0   0   0   0  88
Danny_Welbeck 27 eng  1  1 11 20 30 100 860 118 937   1   0   66   0   0   0   0   0   0   0   0   1   0   0  94
E_Vargas      29 chi  1  1 17 19 30 100 100 100 600   1   0   93   0   0   0   0   0   0   0   0   0   0   0  88
J_Lucumí      23 col  1  1 15 18 30 100 100 100 650   1   1   27   0   0   0   0   0   0   0   0   0   0   0 100
