Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joel_Robles   27 esp 20  1  1  1 30 546 100 100 100   1   0   92   0   3   2   0   0   0   0   0   0   0   0 100
Stekelenburg  35 ned 17  1  1  1 30 811 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Baines      33 eng  1 20 11  6 30 100 773 618 157   1   0   92   0   0   0   1   2   0   0   0   0   0   0  88
A_Williams    33 wal  1 20  1  1 30 111 606 103  53   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
F_Fazio       31 arg  1 20  1  1 30 100 550 306 311   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
S_Coleman     29 irl  1 20 11  7 30  79 467 385  97   1   0   92   0   0   0   1   0   1   0   0   0   0   0  88
Phil_Jagielka 35 eng  1 19  1  1 30 100 175 161 191   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Tymon    19 eng  1 18 11  6 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eriq_Zavaleta 26 usa  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luke_Garbutt  24 eng  1 18  9  4 30 100 116 256 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pennington  23 eng  1 17  1  1 30 100  14  77  71   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Schneiderlin  28 fra  1 18 20  1 30 100 569 573  30   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
Muhamed_Besic 25 bih  1 17 19  1 30 100 274  17  64   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gareth_Barry  37 eng  1 18 18  1 30 100 543 931 102   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Idrissa_Gueye 28 sen  1 12 20  7 30 100 304 101 102   1   0   92   0   0   0   0   3   0   0   0   0   0   0  88
J_McCarthy    27 irl  1 12 19  7 30 100 159 861  87   1   1   26   0   0   0   0   1   0   0   0   0   0   0 100
Tom_Davies    19 eng  1  6 17 10 30 100 137 768 511   1   0   66   0   0   0   0   1   0   0   0   1   0   0  94
Ross_Barkley  24 eng  1  0 20 17 30 100 989 616 859   1   0   92   0   0   0   0   2   3   0   0   0   0   0  88
Aaron_Lennon  30 eng  1  1 19 17 30 100  36 255 502   1   0   71   0   0   0   0   0   0   0   0   0   0   0  92
Y_Bolasie     28 cod  1  1 19 17 30 100  98 176 318   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
Karim_Benzema 30 fra  1  1  1 22 30 100 875 803 558   1   0   81   0   0   0   0   0   2   0   0   0   0   0  90
Leon_Bailey   20 jam  1  1 18 20 30 100 914 224 411   1   1   11   0   0   0   0   1   1   1   0   0   0   0 100
K_Mirallas    30 bel  1  1 18 20 30 100  82 276 183   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Valencia    28 ecu  1  1  1 18 30 100  97  69 791   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arouna_Koné   34 civ  1  1  1 18 30 100  66  73 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lookman     20 eng  1  1 14 17 30 100  96 110  82   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_C-Lewin     21 eng  1  1  1 16 30 100  80  80 867   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
