Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      40 ita 22  1  1  1 30 907 100 100 100   1   0   96   0   3   1   0   0   0   0   0   0   0   0 100
Neto          28 bra 20  1  1  1 30 603 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Hummels  29 ger  1 23  2  2 30  79 212 165  81   1   0   96   0   0   0   2   0   0   0   0   0   0   0  88
G_Chiellini   33 ita  1 22  2  2 30 110 696 103 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Barzagli    36 ita  1 21  2  2 30 100 387 118 237   1   0   96   0   0   0   0   0   0   0   0   0   0   0  88
Iván_Marcano  30 esp  1 21  2  2 30 100 236  45 171   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rugani      23 ita  1 21  2  2 30 100 218 115 115   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
E_Garay       31 arg  1 21  1  1 30 100 127 610 513   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Lindelöf    23 swe  1 21  2  2 30 100 102 124  96   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
Sami_Khedira  30 ger  1 19 22  2 30 100 869 559 168   1   0   96   0   0   0   3   2   0   0   0   1   0   0  88
Luiz_Gustavo  30 bra  1 19 21  2 30 100 596 111 563   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Llorente    23 esp  1 17 20  3 30 100 404 473 327   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Marchisio   32 ita  1 14 22  8 30 100 409 832 487   1   0   96   0   0   0   0   3   0   0   0   0   0   0  88
Cesc_Fàbregas 30 esp  1  8 22 13 30 100 497  76   2   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrien_Rabiot 22 fra  1 13 21  8 30 100 374 992 466   1   0   96   0   0   0   1   1   0   0   0   0   0   0  88
Pizzi         28 por  1  6 21 14 30 100 987 276 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Silva   32 esp  1  2 23 21 30 100  66  57 219   1   0   96   0   0   0   0   2   1   0   0   0   0   0  88
A_Schürrle    27 ger  1  2 21 19 30 100 176 283 975   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Martins     22 por  1  2 20 19 30 100  33 851 612   1   0   96   0   0   0   0   0   1   0   0   1   0   0  88
Amine_Harit   21 mar  1  3 20 17 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arjen_Robben  34 ned  1  2 20 24 30 100 204 464  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Morata 25 esp  1  2  2 22 30 100  59 137 146   1   0   96   0   0   0   0   0   3   0   0   0   0   0  88
K_Coman       21 fra  1  1 18 21 30 100 862 193 762   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
