Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Anthony_Lopes 27 por 21  1  1  1 30 408 100 100 100   1   0   92   0   4   1   0   0   0   0   0   0   0   0 100
C_Toselli     29 chi 19  1  1  1 30 922 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gorgelin    27 fra 17  1  1  1 30 619 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Mocio   23 fra 16  1  1  1 30 806 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 22 den  1 20  1  1 30 100 769 835 836   1   0   92   0   0   0   1   1   0   0   0   0   0   0  88
J_Vestergaard 26 den  1 20  2  2 30 100 421 546 549   1   0   92   0   0   0   2   0   1   0   0   1   0   0  88
Rafael_P      27 bra  1 20 11  5 30 100  10 453 260   1   0   92   0   0   0   1   1   1   0   1   0   0   0  88
Issa_Diop     21 fra  1 19  1  1 30 100 867 794 799   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Mammana     22 arg  1 19  1  1 30 100 466 118 106   1   0   92   0   0   0   2   0   1   0   0   0   0   0  88
C_Jallet      34 fra  1 19 11  5 30 100 257 274  70   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maciej_Rybus  28 pol  1 19  9  5 30 100  70 226 217   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Diakhaby    21 fra  1 19  1  1 30 100  67 165 131   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Yanga-Mbiwa 28 fra  1 18  1  1 30 100 977  76  90   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jérémy_Morel  33 fra  1 18 11  5 30 100 761 272 140   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordy_Gaspar  20 fra  1 16 10  5 30 100 976 149 114   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Ndombèlé    22 fra  1 17 20  3 30 100 105 155 105   1   0   71   0   0   0   0   0   0   0   0   0   0   0  92
M_Gonalons    29 fra  1 18 20  1 30 100 633  27 128   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Tousart 20 fra  1 17 19  1 30 100 539 474  66   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Kranevitter 24 arg  1 14 19  4 30 100 289 275 198   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Tolisso     23 fra  1 14 21  5 30 100 494 202 165   1   0   92   0   0   0   1   1   0   0   0   0   0   0  88
Houssem_Aouar 19 fra  1  6 18 10 30 100 266 143 400   1   1   16   1   0   0   0   2   1   1   0   0   0   0 100
F_Anderson    24 bra  1  1 20 18 30 100 806 790 977   1   0   76   0   0   0   0   1   0   0   0   0   0   0  92
Nabil_Fekir   24 fra  1  1 20 17 30 100  91 265 764   1   0   92   0   0   0   1   1   1   0   0   0   0   0  88
Bernard       25 bra  1  1 20 18 30 100 660  48 312   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Valbuena    33 fra  1  1 19 17 30 100  44 967 334   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lacazette   26 fra  1  1  1 21 30 100  44  66 835   1   0   92   0   0   0   0   0   1   0   0   0   0   0  88
A_Martial     22 fra  1  2  1 21 30 100  55 949 763   1   1   26   0   0   0   0   0   4   1   0   0   0   0 100
Memphis_Depay 24 ned  1  1 17 20 30 100  78 406 905   1   0   66   0   0   0   0   0   0   0   0   0   0   0  94
R_Ghezzal     25 alg  1  1 16 19 30 100  78 215 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxwel_Cornet 21 fra  1  1 17 19 30 100  57 164 171   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gaëtan_Perrin 21 fra  1  1  1 17 30 100  70  70  77   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J-P_Mateta    20 fra  1  1  1 16 30 100 100 100 740   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
