Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  25 ita 22  1  1  1 30 372 100 100 100   1   0   92   0   3   3   0   0   0   0   0   0   0   0 100
W_Caballero   36 arg 19  1  1  1 30  42 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angus_Gunn    22 eng 18  1  1  1 30  90 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Otamendi    30 arg  1 22  2  2 30 100  91 160 132   1   0   92   0   0   0   2   0   0   0   0   0   0   0  88
Danny_Rose    27 eng  1 21 11  7 30 100 811 580 464   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
P_Zabaleta    33 arg  1 21 12  8 30 110 393 626 442   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
John_Stones   23 eng  1 21  2  2 30 100 387 161 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Grimaldo    22 esp  1 20 12  6 30 100 905 653 204   1   0   92   0   0   0   0   1   0   0   0   0   0   0  88
Rúben_Semedo  24 por  1 20  2  2 30 100 820 300 347   1   0   92   0   0   0   1   0   1   0   0   0   0   0  88
Gaël_Clichy   32 fra  1 20 10  6 30 100 433 588 252   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bacary_Sagna  35 fra  1 20 12  7 30 100 312 697 238   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Johannes_Geis 24 ger  1 17 20  2 30 100 274 624 917   1   0   92   0   0   0   0   3   0   0   1   0   0   0  88
D_Amartey     23 gha  1 17 19  1 30 100 862 144 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marek_Hamsik  30 svk  1  7 22 15 30 100 318 265 800   1   0   92   0   0   0   1   4   1   0   0   0   0   0  88
Yaya_Touré    34 civ  1 12 21  9 30 100 340 765 492   1   1   27   0   0   0   0   2   1   0   0   1   0   0 100
J_Kimmich     23 ger  1 14 21  7 30 100 350 672 158   1   0   65   0   0   0   0   0   0   0   0   0   0   0  94
Marco_Benassi 23 ita  1 11 20  9 30 100 158 989 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_De_Bruyne   26 bel  1  2 23 21 30 100  72 358 314   1   0   63   0   0   0   0   0   0   0   0   0   0   0  94
Max_Meyer     22 ger  1  1 20 18 30 100 875 345 544   1   1   29   0   0   0   0   1   1   1   0   0   0   0 100
L_Insigne     26 ita  1  2 19 23 30 100 155 467 452   1   0   92   0   0   0   0   0   4   0   0   1   0   0  88
R_Sterling    23 eng  1  2 19 22 30 100 105 675 265   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rashford    20 eng  1  2  2 21 30 100 292  37 984   1   0   67   0   0   0   0   0   1   0   0   0   0   0  94
Santi_Mina    22 esp  1  1 16 20 30 100 605 903 762   1   1   25   0   0   0   0   0   1   1   0   0   0   0 100
