Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Pepe_Reina    35 esp 20  1  1  1 30 519 100 100 100   1   0   96   0   2   2   0   0   0   0   0   0   0   0 100
Esteban_Conde 35 uru 18  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dusan_Basta   34 srb  1 20 12  8 30 100 786 622 635   1   0   96   0   0   0   1   1   0   0   0   0   0   0  88
Ignazio_Abate 31 ita  1 20 12  6 30 100 263 488 193   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Van_der_Wiel  30 ned  1 19 11  7 30 100 820 100 106   1   0   96   0   0   0   2   0   2   0   0   0   0   0  88
R_Erramuspe   28 arg  1 18  1  1 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gino_Peruzzi  26 arg  1 18 11  6 30 100 622 107 106   1   0   96   0   0   0   2   1   2   0   0   0   0   0  88
A_Espino      26 uru  1 18 11  6 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexis_Rolín  29 uru  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Agustín_Rogel 21 uru  1 17  1  1 30 100 162 100 100   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
D_Arismendi   30 uru  1 16 19  3 30 100 100 400 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Oliva       22 uru  1 15 17  2 30 100 112 269  98   1   0   96   0   0   0   1   3   0   0   0   1   0   0  88
Schwensteiger 33 ger  1 12 20  7 30 100 617 276 435   1   0   96   0   0   0   1   1   1   0   0   0   0   0  88
Álva_González 34 uru  1 12 19 12 30 100 100 807 101   1   0   96   0   0   0   0   1   1   0   0   0   0   0  88
Seb_Rodríguez 26 uru  1 11 18 10 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sant_Romero   28 uru  1 10 18 11 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tabaré_Viúdez 29 uru  1  2 19 17 30 100 127 157 105   1   0   68   0   0   0   1   1   1   0   0   0   0   0  92
Matias_Zunino 28 uru  1  2 18 16 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lea_Barcia    26 uru  1  3 18 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Müller   22 uru  1  2 17 15 30 100 100 800 100   1   1   28   0   0   0   0   0   0   0   0   0   0   0 100
L_Podolski    32 ger  1  2  2 20 30 100 546 559 954   1   0   73   0   0   0   0   0   0   0   0   0   0   0  92
F_Vázquez     29 ita  1  1 17 20 30 100 572 844 677   1   0   73   0   0   0   0   0   2   0   0   0   0   0  92
G_Bergessio   34 arg  1  1  1 19 30 100 100 100 228   1   1   23   0   0   0   0   0   1   1   0   0   0   0 100
Seb_Fernández 33 uru  1  1 10 19 30 100 100 100 151   1   1   23   0   0   0   0   0   1   0   0   0   0   0 100
C_de_Pena     26 uru  1  1 17 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
