Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Arrizabalaga  23 esp 20  1  1  1 30 897 100 100 100   1   0   95   0   2   2   0   0   0   0   0   0   0   0 100
Yohann_Pelé   35 fra 19  1  1  1 30 367 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brice_Samba   23 fra 17  1  1  1 30 670 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hiroki_Sakai  27 jpn  1 20 11  5 30 100  97 949 651   1   0   95   0   0   0   1   1   2   1   0   0   0   0  88
Dória         23 bra  1 20  1  1 30 100  19 550 577   1   0   95   0   0   0   0   0   0   0   0   1   0   0  88
Rolando       32 por  1 19  1  1 30 100 832 548 546   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Lenglet     22 fra  1 19  1  1 30 100 399 518 550   1   0   95   0   0   0   1   0   0   0   0   0   0   0  88
Karim_Rekik   23 ned  1 19  1  1 30 100  42 574 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Chilwell  21 eng  1 18 10  5 30 100 892 781 554   1   0   95   0   0   0   0   0   1   0   0   1   0   0  88
Pedro_Pereira 20 por  1 18  9  4 30 100 565 876 622   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_C-Vickers   20 usa  1 18  1  1 30 100 393 559 548   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Vainqueur   29 fra  1 17 20  2 30 100  59 425 537   1   0   95   0   0   0   1   3   1   0   0   0   0   0  88
A_Z_Anguissa  22 cmr  1 16 18  1 30 100 826 909 563   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Mandragora  20 ita  1 17 18  1 30 100  72 866 847   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Morgan_Sanson 23 fra  1 12 21  7 30 100 880 468 668   1   0   95   0   0   0   0   1   0   0   0   0   0   0  88
Maxime_López  20 fra  1  8 19 10 30 100 721 753 720   1   0   95   0   0   0   0   2   1   0   0   0   0   0  88
Z_Machach     22 fra  1 10 18  7 30 100 564 252 564   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dimitri_Payet 31 fra  1  1 21 20 30 100 545 708 165   1   0   95   1   0   0   0   5   3   0   2   0   0   0  88
J_Correa      23 arg  1  1 19 16 30 100 570  12 692   1   0   95   0   0   0   0   1   4   0   0   0   0   0  88
S-E_Khaoui    22 tun  1  1 17 15 30 100 580 841 610   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Thauvin     25 fra  1  1 18 21 30 100 570 704 241   1   0   95   0   0   0   0   0   5   1   0   1   0   0  88
B_Gomis       32 fra  1  1  1 20 30 100 503 503 154   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Richarlison   21 bra  1  1 16 19 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Clinton_N'Jie 24 cmr  1  1 16 18 30 100 569 656 964   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_L_Iseka     20 bel  1  1  1 17 30 100 540 547 965   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
