Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       25 arg 22  1  1  1 30 590 100 100 100   1   0   95   0   1   2   0   0   0   0   0   0   0   0 100
Iker_Casillas 36 esp 19  1  1  1 30  91 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Sá       25 por 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          35 por  1 21  2  2 30 100 483  66  95   1   0   58   0   0   0   1   0   1   0   0   0   0   0  94
Sebas_Coates  27 uru  1 21  2  2 30 100 106 161  99   1   0   95   0   0   0   2   0   0   0   0   0   0   0  88
N_Maksimovic  26 srb  1 20  1  1 30 100 917 598 557   1   0   95   0   0   0   0   0   0   0   0   0   0   0  88
Felipe        28 bra  1 20  1  1 30 100 407 481 470   1   1   37   0   0   0   1   0   0   0   0   0   0   0 100
D_Zappacosta  25 ita  1 20 12  7 30 100 259 500 517   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Pereira  33 uru  1 20 12  5 30 106 171 117 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Telles   25 bra  1 20 11  5 30 100 155 958 759   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafinha       32 bra  1 19  9  5 30 100 763 829 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Radoja      25 srb  1 18 20  3 30 100 534 531 436   1   0   95   1   0   0   2   5   0   0   1   0   0   0  88
Miguel_Veloso 31 por  1 17 20  2 30 100  50 450 594   1   0   95   0   0   0   0   2   0   0   0   0   0   0  88
Xabi_Alonso   36 esp  1 17 20  3 30 100 233 172 677   1   1   27   0   0   0   0   1   0   0   0   0   0   0 100
H_Herrera     27 mex  1  7 20 12 30 100 728 983 972   1   0   68   0   0   0   0   0   3   0   0   0   0   0  92
André_André   28 por  1  6 20 13 30 100 753 167 838   1   0   95   0   0   0   0   2   1   0   1   0   0   0  88
F_Melegoni    19 ita  1 10 18  8 30 100 100 850 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Denis_Suárez  24 esp  1  1 21 18 30 100 788 146 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Otávio        23 bra  1  1 19 18 30 100 621 785  72   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Cavani      31 uru  1  2  2 22 30 100  71 137 501   1   0   95   0   0   0   0   0   4   1   0   0   0   0  88
M_Mandzukic   31 cro  1  1  1 21 30 100 592 602 551   1   0   95   0   0   0   0   0   2   0   0   0   0   0  88
Wayne_Rooney  32 eng  1  1 17 21 30 100 546 890 228   1   0   63   0   0   0   0   2   3   0   0   0   0   0  94
Y_Brahimi     28 alg  1  1 17 20 30 100 513 811 867   1   1   32   0   0   0   0   1   1   1   0   0   0   0 100
Paco_Alcácer  24 esp  1  1  1 20 30 100 516 537   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
