Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Dawson  26 uru 18  1  1  1 30 280 100 100 100   1   0   96   0   2   0   0   0   0   0   0   0   0   0 100
A_Freitas     21 uru 17  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 200 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 508  98  98   1   0   96   0   0   0   1   0   0   0   0   1   0   0  88
Ramón_Arias   26 uru  1 19  1  1 30 100 170 100 100   1   0   96   0   0   0   2   0   0   0   0   0   0   0  88
Guille_Varela 25 uru  1 19 11  7 30 100 150 100 140   1   0   96   0   0   0   0   0   1   1   0   0   0   0  88
Luciano_Lollo 31 arg  1 18  1  1 30 100 800 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 160 100 105   1   0   96   0   0   0   0   0   1   0   0   0   0   0  88
M_Corujo      32 uru  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Miller      26 pan  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Gargano     34 uru  1 18 19  1 30 100 127 644 105   1   0   96   1   0   0   2   3   0   0   1   0   0   0  88
Marcel_Novick 35 uru  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Pereira     27 uru  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 696 269 679   1   0   96   0   0   0   2   1   0   0   0   0   0   0  88
Luis_Aguiar   33 uru  1 10 19 10 30 100 100 257 100   1   0   96   0   0   0   0   1   0   0   0   0   0   0  88
F_Martínez    20 uru  1 11 17 11 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rodríguez   37 arg  1  4 20 16 30 100 100 157 100   1   0   96   0   0   0   0   1   0   0   0   0   0   0  88
Ceb_Rodríguez 33 uru  1  1 19 18 30 100 105 705 135   1   0   96   0   0   0   0   0   2   1   0   0   0   0  88
Gio_González  24 uru  1  2 17 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matías_Moya   20 arg  1  1 17 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Viatri  31 arg  1  1  1 19 30 100 100 100 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Mora  31 uru  1  1 13 19 30 100 100 100 638   1   0   96   0   0   0   0   0   3   1   0   0   0   0  88
C_Palacios    28 uru  1  1  1 19 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Estoyanoff  36 uru  1  1 17 18 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Rodríguez   18 uru  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
