Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Asenjo 28 esp 22  1  1  1 30 247 100 100 100   1   0   92   0   1   0   0   0   0   0   0   0   0   0 100
Andrés_Fdez   31 esp 19  1  1  1 30 278 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Gaspar  27 esp  1 21 12  7 30 100 816 652 352   1   0   71   0   0   0   0   0   0   0   0   0   0   0  92
Víctor_Ruiz   29 esp  1 21  2  2 30 111 676 147 114   1   0   83   0   0   0   0   0   1   0   0   0   2   0  90
Ó_de_Marcos   28 esp  1 21 12  7 30 100 156 703 312   1   0   92   0   0   0   0   1   0   0   0   0   0   0  88
Jaume_Costa   30 esp  1 21 12  7 30 100 112 766 365   1   0   92   0   0   0   0   1   1   0   0   0   0   0  88
Á_González    28 esp  1 20  2  2 30 100 304 186 194   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Barreca     23 ita  1 20 12  6 30 100  25 430 409   1   1   21   0   0   0   0   1   0   0   0   0   0   0 100
José_Ángel    28 esp  1 19 12  6 30 100 911 641 222   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bruno_Soriano 33 esp  1 19 22  2 30 100 717 193 210   1   0   92   0   0   0   0   3   1   0   0   0   0   0  88
Thomas        24 gha  1 18 20  2 30 100 636 619 145   1   1   19   0   0   0   1   0   0   0   0   0   0   0 100
R_Hernández   21 esp  1 16 19  3 30 100 209 240 166   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Trigueros   26 esp  1  7 22 14 30 100 269 201 688   1   0   76   0   0   0   0   2   1   0   0   0   0   0  92
R_Soriano     27 ita  1  8 21 13 30 100 105 716 495   1   0   92   0   0   0   0   0   1   0   0   0   0   0  88
O_Özyakup     26 tur  1  8 20 13 30 100 546 854 607   1   1   16   0   0   0   0   0   0   0   0   0   0   0 100
Remo_Freuler  25 sui  1 10 19  9 30 100 369 572 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Hazard      25 bel  1  2 21 20 30 100  23 500 543   1   0   92   0   0   0   0   1   1   0   0   0   0   0  88
J_dos_Santos  27 mex  1  2 21 18 30 100 133 223 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_dos_Santos  28 mex  1  2  2 22 30 100  53 133 215   1   0   73   1   0   0   0   0   4   2   0   0   0   0  92
C_Bakambu     26 cod  1  2  2 21 30 100  25 159 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul-G_Ntep   25 fra  1  2 19 20 30 100 571 571 771   1   0   92   0   0   0   0   0   3   0   0   0   0   0  88
Alessio_Cerci 30 ita  1  2 17 19 30 100  23 283 928   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Santos_Borré  22 col  1  2  2 19 30 100   2 122 638   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
