Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alban_Lafont  19 fra 22  1  1  1 30 498 100 100 100  29   0 2696   0 167  62   0   0   0   0   0   2   0   0 100
André_Onana   21 cmr 19  1  1  1 30 350 100 100 100   2   1  149   0   8   4   0   0   0   0   0   0   0   0 100
N_Alblas      23 ned 17  1  1  1 30 391 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Meré    20 esp  1 20  1  1 30 100 646 452 451  15   0 1349   0   0   0  22   1   2   0   0   6   0   0  94
F_Benkovic    20 cro  1 20  2  2 30 100 598 279 241  15   0 1365   0   0   0  20   2   3   0   0   7   0   0 100
T_Hernández   20 fra  1 20 10  5 30 100 426 277 840  15   0 1421   0   0   0  21   9   4   0   0   0   0   0  88
T_A-Arnold    20 eng  1 20 12  7 30 100 410 204  85  15   0 1421   0   0   0  20  17   9   0   1   0   0   0  88
Malang_Sarr   19 fra  1 20  1  1 30 100 237 553 561  15   0 1407   0   0   0  22   1   2   0   0   1   0   0  85
A_Rahman_Baba 23 gha  1 19 11  5 30 100 725 779 597   5   4  314   0   0   0   5   2   1   1   0   0   0   0 100
O_Boscagli    20 fra  1 19  9  4 30 100 597 903 593   7   1  595   0   0   0  10   6   3   1   1   1   0   0  88
M_de_Ligt     18 ned  1 19  1  1 30 100 324 571 534  15   0 1424   0   0   0  26   1   2   0   0   1   0   0  88
Alec_Georgen  19 fra  1 18  9  5 30 100 980 582 326  15   0 1424   0   0   0  26  11   2   0   0   3   0   0  88
F_Passlack    19 ger  1 18  9  4 30 100 925 871 557   8   0  598   0   0   0   8   5   1   0   0   0   0   0 100
A_Diawara     20 gui  1 18 20  1 30 100 341 506 811  15   0 1421   0   0   0  14  30   1   0   4   3   0   0  88
T_Fosu-Mensah 20 ned  1 16 19  2 30 100  90 860 539  16   0 1520   1   0   0  11  49   0   0   5   2   0   0  88
André_Horta   21 por  1  8 20 12 30 100 111 723 666  16   0 1438   0   0   0   5  16  16   3   0   8   0   0  88
L_Pellegrini  21 ita  1 11 20  9 30 100 378 479 407  11   0 1045   0   0   0   2  15   7   1   1   1   0   0  88
Renato_S      20 por  1  7 20 11 30 100 778 224 949  14   0 1325   0   0   0   2  20  20   2   1   4   0   0 100
C_Nkunku      20 fra  1  8 19 11 30 100 276 865 608  14   0 1325   0   0   0   4  27  20   2   1   0   0   0 100
F_de_Jong     20 ned  1  8 18  9 30 100 778 936 649   5   0  475   0   0   0   1   5   4   0   0   1   0   0 100
M_Odegaard    19 nor  1  1 19 17 30 100 980 419 324  15   0 1424   1   0   0   1  16  23   3   1   1   0   0  88
Kai_Havertz   18 ger  1  1 18 15 30 100 516 860 986  14   0 1325   1   0   0   0  24  25   2   1   3   0   0 100
K_Dolberg     20 den  1  1  1 20 30 100 503 551 396  16   0 1520   0   0   0   0   1  27   2   0   2   0   0  88
L_Martínez    19 arg  1  1  1 19 30 100 544 532 202  15   0 1388   1   0   0   0   4  37   4   0   1   0   0 100
A_Isak        18 swe  1  1  1 19 30 100 603 542 134  16   1 1457   0   0   0   0   0  33   3   0   1   0   0  88
J_Kluivert    18 ned  1  1 15 19 30 100 554 780  64  14   0 1249   1   0   0   0  12  31   4   0   8   0   0 100
