Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     34 cze 22  1  1  1 30 259 100 100 100  31   1 2789   0 115  54   0   0   0   0   0   2   0   0 100
Timo_Horn     23 ger 20  1  1  1 30 691 100 100 100  11   1  905   0  33   7   0   0   0   0   0   0   0   0 100
Sergio_Romero 30 arg 19  1  1  1 30 696 100 100 100  10   1  897   0  37  15   0   0   0   0   0   0   0   0 100
Mats_Hummels  28 ger  1 21  1  1 30  79 753 538 447  40   6 3077   0   1   3  38   6   7   0   0   7   0   0  88
L_Koscielny   31 fra  1 21  1  1 30  90 118 540 555  36   0 3021   0   0   0  43   2   8   1   1   2   0   0 100
Javi_Martínez 28 esp  1 20 19  1 30 100 933 203 541  34   1 3100   2   0   0  32  67  11   0  11   8   0   0 100
P_Mertesacker 32 ger  1 20  1  1 30 100  97 536 488  25   3 2251   0   0   0  19   4   0   0   1  11   0   0 100
H_Bellerín    22 esp  1 20 11  6 30 100  72 821 720  33   4 2829   1   0   0  43  35  19   5   2   2   0   0 100
Kieran_Gibbs  27 eng  1 19 11  5 30  82 595 648 533  25   6 1993   1   1   4  23  10   7   0   3  11   0   0 100
L_Hernández   21 fra  1 19  1  1 30 100  62 557 580  15   4 1109   0   0   0  16   1   1   1   0   0   0   0 100
Molla_Wague   26 mli  1 18  1  1 30 100 672 238 239  19   1 1764   1   0   0  27   0   1   0   0   1   0   0 100
F_Coquelin    25 fra  1 18 20  1 30 100 594  74 549  27   0 2341   0   0   0  13  55   5   0   4  11   1   0 100
M_Elneny      24 egy  1 17 19  1 30 100 508 150 543   9   3  615   0   0   0   5  13   1   0   1   6   0   0 100
Santi_Cazorla 32 esp  1  6 21 14 30 100 478 349 736  30   1 2440   0   0   0   5  50  34   5   7  16   0   0 100
Aaron_Ramsey  26 wal  1  8 20 11 30 100 530 737 741  39   4 3137   3   0   0   8  56  32   5  10   3   0   0  98
M_Ritzmaier   23 aut  1  7 17 10 30 100 576 702 620   5   0  421   0   0   0   0   8   6   0   1   2   0   0 100
V_Jugovic     27 cro  1  5 17 11 30 100 580 301 611   2   0  159   0   0   0   0   0   1   0   0   0   0   0 100
Mesut_Özil    28 ger  1  1 22 20 30 100 426 428  87  39   4 3293   3   0   0   0  78  92  11  12   2   0   0  88
O-Chamberlain 23 eng  1  1 19 17 30 100 460 511 745  19   4 1533   0   0   0   1  19  35   4   2   1   0   0 100
A_Sánchez     28 chi  1  1 19 22 30 100 382 796 432  41   2 3495   8   0   0   0  32 125  28   5   9   0   0  88
O_Giroud      30 fra  1  1  1 20 30 100 424 509 792  33   6 2506   2   0   0   1   1  85  14   0   4   0   0 100
Danny_Welbeck 26 eng  1  1 10 19 30 100 446 619 931  20   6 1547   3   0   0   0   9  53   6   1   2   0   0 100
Alex_Iwobi    20 nga  1  1 16 18 30 100 460 585 695  10   4  504   0   0   0   0   5  17   2   0   0   0   0 100
