Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 821 100 100 100  21   0 1929   0  85  31   0   0   0   0   0   1   0   0 100
J_Cillessen   28 ned 21  1  1  1 30 104 100 100 100  10   2  858   0  31   8   0   0   0   0   0   0   0   0 100
Jordi_Masip   29 esp 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  31 esp  1 22  2  2 30 100 964 398 448  17   1 1515   0   0   0  13   3   6   1   1   8   0   0  94
Jordi_Alba    29 esp  1 22 14  7 30 100 803 181 635  18   0 1744   2   0   0  25  21  15   1   3   5   0   0  94
M_Musacchio   27 arg  1 22  2  2 30 100  97 509 425  16   1 1538   0   0   0  12   4   2   0   0   1   0   0  94
Joel_Matip    26 cmr  1 21  2  2 30 100 994 125 117  14   0 1339   0   0   0  14   1   4   0   0   1   0   0 100
Dante         34 bra  1 21  2  2 30 100 437 283 175  13   1 1263   0   0   0  10   0   2   1   0   1   0   0 100
V_Chiriches   28 rou  1 20  2  2 30 100 637 370 355  11   0 1047   1   0   0  10   1   2   0   0   0   0   0 100
Rick_Karsdorp 23 ned  1 20 12  6 30 100 605 972 823  16   0 1486   1   0   0  17  19   8   2   3   0   0   0  94
H_Badstuber   29 ger  1 19  1  1 30 100 983 770 753   4   0  384   0   0   0   3   1   2   0   0   0   0   0 100
David_Carmona 21 esp  1 18 11  6 30 100 891 331 321  10   0  867   1   0   0   6   8   2   1   0   5   0   0 100
S_Busquets    29 esp  1 20 23  3 30 100  21 611 613  21   2 1706   0   0   0  11  42   6   0   1   3   0   0  98
D_Pereira     26 por  1 19 22  2 30 100 695  45 409  20   8 1333   1   0   0   9  23   4   1   5   4   0   0 100
Kevin_Stewart 24 eng  1 17 19  2 30 100 309 375 160   4   0  384   0   0   0   3   5   1   0   1   1   0   0 100
Thiago        26 esp  1  8 23 15 30 100 485 438  23  20   2 1725   2   0   0   1  35  22   6   3   2   0   0  94
André_Gomes   24 por  1 14 22  7 30 100 633 711 548  19   3 1578   2   0   0   8  40  11   1   3   2   0   0  94
Sergi_Roberto 26 esp  1 13 21  8 30 100 538 320 570  14   0 1282   0   0   0   6  18   7   3   3   6   0   0 100
Bernardeschi  24 ita  1  2 21 20 30 100 332 897 402  17   1 1405   2   0   0   1  21  40   9   2   1   0   0  94
B_Silva       23 por  1  1 21 18 30 100 646 502 367  18   2 1527   2   0   0   0  15  35   5   3   2   0   0 100
Lionel_Messi  30 arg  1  2 22 26 30 100 343 327 332  25   1 1778   2   0   0   0  21  57  12   1   7   0   0  94
Paulo_Dybala  24 arg  1  2 19 24 30 100 191 555 310  25   6 1805   0   0   0   0   8  67  14   0  12   0   0  98
Mauro_Icardi  25 arg  1  1  1 21 30 100 830 845 846  25  14 1418   2   0   0   0   2  34   8   0   2   0   0 100
Ahmed_Musa    25 nga  1  2  2 19 30 100 239 401 966   7   3  458   0   0   0   0   1  11   0   1   1   0   0 100
