Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   27 sui 23  1  1  1 30 767 100 100 100  15   0 1380   0 103  25   0   0   0   0   0   1   0   0 100
Mile_Svilar   19 bel 20  1  1  1 30 120 100 100 100  16   1 1460   0  77  33   0   0   0   0   0   2   0   0 100
H_Bonmann     24 ger 17  1  1  1 30 960 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      29 gre  1 22  2  2 30 100 521 257 405  15   0 1417   0   0   0  24   1   4   0   0   0   0   0  88
L_Piszczek    32 pol  1 22 11  6 30 100 179 887 498   3   1  222   0   0   0   6   3   0   0   1   0   0   0  88
Sven_Bender   28 ger  1 21  2  2 30 100 719 317 414  14   0 1288   0   0   0  11   3   1   0   0   0   1   0 100
R_Guerreiro   24 por  1 21 11  6 30 100 714 567 339  15   0 1368   0   0   0  18  10  14   0   0   6   0   0  88
Marc_Bartra   27 esp  1 21  2  2 30 100 549 360 497  15   0 1417   0   0   0  16   3   3   0   1   0   0   0  88
M_Schmelzer   30 ger  1 21 12  8 30 100 498 884 670  15   0 1347   1   0   0  19  17  10   1   5   7   0   0  88
M_Ginter      24 ger  1 21  2  2 30 100 300 272 513  14   0 1321   0   0   0  23   3   6   1   0   0   0   0  85
Erik_Durm     25 ger  1 20 12  6 30 100 755 597 529  15   0 1423   0   0   0  19  16   5   1   1   3   0   0  88
J_Riedewald   21 ned  1 20  2  2 30 100 494 277 400  15   0 1423   0   0   0  17   5   6   0   0   1   0   0  88
Joo-Ho_Park   31 kor  1 19  8  5 30 100 578 295 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julian_Weigl  22 ger  1 18 22  3 30 100 932 636 519  15   0 1365   1   0   0  17  26   5   0   8   6   0   0  88
Dzenis_Burnic 19 ger  1 15 17  3 30 100 381 560 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Castro      30 ger  1 13 21  8 30 100 778 632 518  12  12  389   0   0   0   4  17   3   0   2   0   0   0 100
A_Bertolacci  27 ita  1 13 20  7 30 100 597 722 461  15   0 1068   0   0   0   4  17   8   0   4   0   0   0 100
Mikel_Merino  21 esp  1 12 20  8 30 100 640 615 600  15   0 1423   0   0   0   6  31  19   2   2   4   0   0  88
Nuri_Sahin    29 tur  1 13 20  7 30 100 497 279 399  10   9  384   0   0   0   0   9   6   1   1   0   0   0 100
P_Coutinho    25 bra  1  2 23 21 30 100  54  43 475  15   0 1417   3   0   0   0  21  40   6   4   1   0   0  88
X_Shaqiri     26 sui  1  2 22 20 30 100 397 417 543  15   0  933   1   0   0   1  22  19   5   5   3   0   0  94
Mario_Götze   25 ger  1  2 22 19 30 100 428 242 331  15   0 1392   2   0   0   2  37  25   6   4  11   0   0  88
Davy_Klaassen 25 ned  1  2 20 19 30 100   9 911 728  23   9 1489   4   0   0   0  35  40   8   3   2   0   0  84
A_Schöpf      24 aut  1  1 20 18 30 100 756  43 110  15   0 1330   0   0   0   0  21  17   3   0  10   0   0 100
O_Dembélé     20 fra  1  2 19 23 30 100 354 954 312  30  15 1483   0   0   0   0  23  55   9   1   4   0   0  78
Romelu_Lukaku 24 bel  1  1  1 23 30 100 563 525  48  15   0  933   1   0   0   1   1  30   8   0   1   0   0  94
C_Pulisic     19 usa  1  2 17 21 30 100 367 309 255  30  15 1424   0   0   0   1   2  58   5   0   1   0   0  82
Emre_Mor      20 tur  1  2 17 19 30 100 342 357 828  28  13 1357   0   0   0   0  10  41   9   0   3   0   0  98
Vaclav_Cerny  20 cze  1  2 16 19 30 100 377 363 476  15  15  483   1   0   0   0   2  17   4   0   0   0   0 100
