Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  31 ger 24  1  1  1 30 231 100 100 100  50   0 4663   0 188  73   0   0   0   0   0   5   0   0 100
Sven_Ulreich  28 ger 19  1  1  1 30 229 100 100 100   5   1  450   0  19   6   0   0   0   0   0   0   0   0 100
M_Sarr        20 sen 16  1  1  1 30 970 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Boateng     28 ger  1 21  1  1 30 100 915 544 441  36   4 2885   0   0   0  22   4   6   1   1  12   0   0  88
Philipp_Lahm  33 ger  1 21 18  6 30  93 891 938 584  35   2 2744   1   0   1  44  45  22   4   6  16   0   0 100
David_Alaba   24 aut  1 21 18  6 30 100 467 896 572  44   1 3309   3   0   0  45  40  27   3   5  12   0   0  96
S_Mustafi     24 ger  1 20  1  1 30 100 890 534 497  35   3 3146   0   0   0  48   3   5   0   0   6   0   0 100
Luke_Shaw     21 eng  1 20 11  6 30 100   2 798 535  29   8 2247   1   0   0  24  22  20   1   5   3   0   0 100
Iñigo_Mtnez   25 esp  1 19  1  1 30 100 952 221 182  29   3 2518   1   0   0  36   3   4   0   0   5   0   0 100
Mau_Lemos     21 uru  1 19  1  1 30 100 416 533 468  32  15 2096   0   0   0  20   1   3   1   0   2   0   0  88
N_N'Koulou    27 cmr  1 19  1  1 30 100 267 272 208  14   4 1062   0   0   0  19   2   0   0   1   1   0   0 100
F_Coentrão    28 por  1 19  9  5 30 100 101 554 460   5   3  333   0   0   0   5   2   2   0   0   0   0   0 100
Granit_Xhaka  24 sui  1 17 20  2 30 100 712 467 474  31   1 2753   1   0   0  16  61   7   1   4  15   0   0 100
Paul_Pogba    24 fra  1 10 22 10 30 100 708  68 684  46   6 3413   0   0   0  15  77  41   5  10   1   0   0  88
M_Verratti    24 ita  1 14 21  6 30 100 686 561 511  42   9 3176   3   0   0  14  76  27   0   8   1   0   0 100
M_Pjanic      26 bih  1 12 21  8 30 100 552   1 498  21   2 1733   0   0   0   6  45  12   0   4   8   0   0 100
Leon_Goretzka 22 ger  1  6 19 13 30 100 278 878 447  20   0 1770   3   0   0   5  40  29   6   6   6   0   0 100
Sergi_Darder  23 esp  1 10 19  8 30 100 330 366 300  17   5 1315   3   0   0   8  33  14   2   5   3   0   0 100
Douglas_Costa 26 bra  1  1 20 17 30 100 528 683 969  34   7 2723   3   0   0   0  42  83  12   3   1   0   0 100
Gareth_Bale   27 wal  1  1 20 22 30 100 494 778 452  44   3 3532   3   0   0   0  32 114  14   3   8   0   0  75
G_Higuaín     29 arg  1  1  1 22 30 100 520 520 233  35   7 2484   2   0   0   0   0  63  15   0   3   0   0  88
Vitolo        27 esp  1  1 18 20 30 100 228 445 108  28   5 2165   1   0   0   1  27  46   7   2   2   0   0 100
M_Oyarzabal   19 esp  1  1 17 19 30 100 458 602 539  19   6 1356   2   0   0   0  12  46  10   0   6   0   0 100
