Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    25 bel 24  1  1  1 30  29 100 100 100  29   0 2746   0 215  78   0   0   0   0   0   1   0   0 100
Keylor_Navas  31 crc 21  1  1  1 30  10 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Dragowski   21 pol 19  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Smalling    28 eng  1 21  2  2 30 100 695  50  71  21   1 1643   0   0   0  25   1   2   0   0   1   0   0  93
D_Sidibé      25 fra  1 21 12  8 30  86 425 529 272  21   0 1992   1   0   0  30  23   7   1   1   0   0   0  79
Kurt_Zouma    23 fra  1 21  1  1 30 100 258 575 557  23   2 1948   0   0   0  37   0   7   0   0   3   0   0  79
Daley_Blind   28 ned  1 20 10  6 30 100 920 983 778  18   3 1437   2   0   0  23  11  10   1   1   0   0   0  86
G_Arana       21 bra  1 20 11  7 30 100 261 476 310  17   1 1477   0   0   0  27  20   5   1   3  11   0   0 100
Kenedy        22 bra  1 19  9  4 30 100 650 887 656  14   5 1034   0   0   0  20   7   4   0   1   1   0   0 100
Jorginho      26 ita  1 18 21  3 30 100 915 956 401  19   0 1771   0   0   0  23  29   6   1   1   3   0   0  93
T_Stepanenko  29 ukr  1 19 21  2 30 100 877 268 727  23  10 1365   0   0   0  10  22   1   0   2   0   0   0  96
J-P_Gbamin    23 civ  1 19 20  2 30 100 819 261 720  10   3  810   0   0   0   9  14   1   0   1   1   0   0 100
Ander_Herrera 28 esp  1 13 22  8 30 100 788 228 794  17   0 1389   1   0   0   4  26  13   4   3   7   0   0 100
D_Drinkwater  28 eng  1 11 20  8 30 100 728 285 856   9   0  738   0   0   0   6  17   6   2   1   0   0   0 100
Álvaro_Medrán 24 esp  1 13 19  6 30 100  59 866 816   6   0  520   0   0   0   6  14   3   0   1   0   0   0 100
Marco_Reus    28 ger  1  2 23 20 30 100 390 614 604  20   0 1874   3   0   0   0  38  43   4   5   7   0   0  93
Willian       29 bra  1  1 21 20 30 100 568 595 733  18   0 1575   0   0   0   2  41  33   4   1   0   0   0  79
G_Wijnaldum   27 ned  1  1 21 19 30 100 958 516 900  16   1 1372   2   0   0   0  31  26   6   3   5   0   0  79
Victor_Moses  27 nga  1  1 19 17 30 100 527 599  94  10   7  504   0   0   0   0   6   8   3   0   0   0   0  93
C_Musonda     21 bel  1  1 19 17 30 100 538 425 926   4   0  374   1   0   0   0   4  13   3   0   0   0   0 100
Chicharito    29 mex  1  1  1 21 30 100 547 529 520  19   1 1630   0   0   0   1   0  36   5   0   1   0   0  79
Timo_Werner   22 ger  1  2  2 21 30 100 231 358 176  22   3 1779   1   0   0   0   0  37   6   0   4   0   0  79
Pedro         30 esp  1  1 18 20 30 100 575 802 885  12   2  856   1   0   0   0   4  24   4   1   1   0   0 100
Rodrigo       27 esp  1  1  1 20 30 100 743 733 101  13   6  707   0   0   0   0   0  18   2   0   9   0   0 100
M_El_Haddadi  22 esp  1  1 17 19 30 100 753 995 331   1   1   31   0   0   0   0   0   2   0   0   0   0   0 100
