Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  32 svn 22  1  1  1 30 512 100 100 100  42   0 3986   1 180  65   0   0   0   0   0   2   0   0 100
J_P_Carrizo   32 arg 18  1  1  1 30 550 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommaso_Berni 34 ita 16  1  1  1 30 930 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   19 rou 16  1  1  1 30 365 100 100 100   2   1  117   0   2   5   0   0   0   0   0   0   0   0 100
Miranda       32 bra  1 21  1  1 30 100  84 312 324  29   4 2446   0   0   0  25   4   2   0   1   3   0   0  88
C_Ansaldi     30 arg  1 19 11  6 30 100 993 686 506  33   2 2939   2   0   0  43  37  20   4   7   4   0   0 100
J_Murillo     24 col  1 19  1  1 30 100 766 271 359  27   1 2557   0   0   0  31   1   4   1   0   8   0   0 100
L_Antonelli   30 ita  1 19 11  5 30 100 289 587 489  10   0  956   1   0   0  15   7   1   0   1   1   0   0 100
M_Andreolli   30 ita  1 19  1  1 30 100  75 286 329  24   0 2217   0   0   0  21   2   3   0   0   4   0   0  88
Davide_Santon 26 ita  1 18 11  5 30 100 994 453 410  22   1 1911   1   0   0  26  23   9   3   2   9   0   0  88
D_D'Ambrosio  28 ita  1 18  9  5 30 100 754 422 380  21   1 1942   0   0   0  19  18   9   1   1   2   0   0 100
T_Sainsbury   25 aus  1 18  1  1 30 100 685 296 317  20   1 1795   0   0   0  20   3   3   0   1   5   0   0 100
Eloge_Yao     21 civ  1 17  1  1 30 100 652 312 378   9   4  498   0   0   0   2   2   1   1   0   1   0   0 100
Gary_Medel    29 chi  1 18 20  1 30 100 564 117 334  31   1 2546   1   0   0  20  46   2   0   4   8   0   0 100
Éver_Banega   28 arg  1  5 20 14 30 100 374 527 473  32   2 2812   2   0   0   3  54  33   2   3   6   0   0  88
João_Mário    24 por  1  7 20 12 30 100 336 127 386  22   0 1891   0   0   0   5  30  16   2   3   7   0   0 100
M_Brozovic    24 cro  1 12 19  7 30 100 478 989 424  26   1 2304   4   0   0  11  39  17   1   8   2   0   0 100
R_Gagliardini 22 ita  1 13 19  5 30 100 452  95 429  24   1 2223   0   0   0   9  40  16   1   1   3   0   0  88
Ivan_Perisic  28 cro  1  1 20 18 30 100 340 377 676  32   4 2617   3   0   0   1  37  53   7   2   1   0   0 100
A_Candreva    30 ita  1  1 19 18 30 100 360 774 772  26   6 1989   2   0   0   1  28  54  10   1   1   0   0  88
S_El_Shaarawy 24 ita  1  1 18 19 30 100 236 476 804  34   4 2627   2   0   0   0  30  65  11   3   7   0   0 100
G_Lapadula    27 ita  1  1  1 19 30 100 520 490  24  16   1 1151   0   0   0   0   0  25   5   0   5   0   0 100
Gabriel_B     20 bra  1  1 16 18 30 100 334 388 963  23   5 1814   1   0   0   0  12  42   5   1   3   0   0 100
J_Biabiany    28 fra  1  1 17 18 30 100 352 345 868  16   5 1145   0   0   0   1   5  26   4   1   5   0   0 100
G_Simeone     20 arg  1  1 12 18 30 100 606 590 698   6   1  473   0   0   0   0   2   5   1   0   2   0   0 100
P_Cutrone     19 ita  1  1  1 17 30 100 550 520 222  12  11  321   0   0   0   0   0   5   1   0   0   0   0 100
A_Pinamonti   17 ita  1  1  1 16 30 100 340 297 744  19  19  352   0   0   0   0   1   7   1   0   0   0   0 100
