Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      39 ita 23  1  1  1 30 273 100 100 100  43   0 4041   0 163  42   0   0   0   0   0   1   0   0 100
Neto          27 bra 19  1  1  1 30 703 100 100 100   5   1  396   0   9   6   0   0   0   0   0   0   0   0 100
Emil_Audero   20 ita 17  1  1  1 30 570 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Chiellini   32 ita  1 21  1  1 30 110 592 479 515  28   1 2429   0   1   0  21   0   5   0   0   5   0   0 100
L_Bonucci     29 ita  1 21  1  1 30 100 547 521 509  26   0 2339   2   0   0  31   3   3   0   1   2   0   0 100
A_Barzagli    35 ita  1 21  1  1 30 100 228 519 530  26   0 2381   0   0   0  23   1   0   0   0   1   0   0 100
Lichtsteiner  33 sui  1 20 11  7 30 100 703 657 580  32   2 2652   4   0   0  38  23  12   2   1   9   0   0  97
L_Kurzawa     24 fra  1 19 11  6 30 100 964 741 663  25   3 2160   1   0   0  34  25  15   4   3  11   0   0 100
D_Rugani      22 ita  1 19  1  1 30 100 801 502 506  20   2 1779   0   0   0  15   3   2   0   0   4   0   0 100
V_Lindelöf    22 swe  1 19  1  1 30 100 606 500 457  26   1 2251   0   0   0  23   0   3   0   0  14   0   0  73
A_Rüdiger     24 ger  1 19  1  1 30 100 462 268 247  18   1 1613   0   0   0  13   6   3   0   0   1   0   0 100
Sami_Khedira  29 ger  1 18 20  1 30 100 850 880 573  41   4 2903   1   0   0  31  66   7   2   7   8   0   0  88
Tomás_Rincón  29 ven  1 17 19  1 30 100 708 263 556  36  16 2149   0   0   0  15  32   3   1   2   3   0   0 100
Johannes_Geis 23 ger  1 16 19  2 30 100 296  81 234  20   9 1249   0   0   0   9  29   3   1   2  10   0   0 100
C_Marchisio   31 ita  1 13 21  7 30 100 604 326 657  30   0 2642   3   0   0  10  53  19   4   6   5   0   0 100
J_Kimmich     22 ger  1 13 19  6 30 100 634 888 496  26   3 2261   1   0   0  11  38  10   0   2   3   0   0 100
K_Asamoah     28 gha  1  7 19 12 30 100 576 822 618  17   0 1596   0   0   0   7  30  13   3   2  11   0   0 100
Mario_Lemina  23 gab  1 12 19  6 30 100 498 139 542  15   6  988   0   0   0   0  20   6   0   0   3   0   0 100
S_Sturaro     24 ita  1 10 19  8 30 100 538 105 581   5   0  413   0   0   0   2  13   8   1   0   0   0   0 100
Oscar         25 bra  1  1 20 17 30 100 498 349 982  35  16 2142   3   0   0   0  30  51  11   1   8   0   0 100
Óliver_Torres 22 esp  1  1 19 16 30 100 534 652 810  24   4 1868   3   0   0   0  34  38   8   4   2   0   0 100
Davy_Klaassen 24 ned  1  1 19 18 30 100 226 472 437  12   4  770   2   0   0   0  18  24   5   2   6   0   0  81
Max_Meyer     21 ger  1  1 19 17 30 100 204  89 394  19   6 1289   0   0   0   0  12  41   3   0   7   0   0 100
G_Lo_Celso    20 arg  1  1 18 17 30 100 500 695 763  19   8 1267   2   0   0   0  15  18   7   2   2   0   0 100
F_Mattiello   21 ita  1  1 17 15 30 100 514 924 544   3   1  225   0   0   0   0   0   4   0   0   0   0   0 100
Luis_Suárez   30 uru  1  1  1 22 30 100 462 462 927  40   8 2881   1   0   0   0   0  78  15   0   6   0   0  88
Arjen_Robben  33 ned  1  1 19 22 30 100 546 706 104  50  12 3245   5   0   0   1  16 130  24   3   2   0   0  97
André_Silva   21 por  1  1  1 19 30 100 510 505 396  29  14 1575   0   0   0   1   1  42   4   0   3   0   0 100
