Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  30 den 21  1  1  1 30  36 100 100 100  32   1 3076   0 146  52   0   0   0   0   0   1   0   0 100
R-R_Zieler    28 ger 19  1  1  1 30 535 100 100 100   9   0  760   0  33   9   0   0   0   0   0   1   0   0 100
Ben_Hamer     29 eng 16  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Mallo    25 esp  1 19 11  6 30 100 580 253 110  23   0 1991   0   0   0  33  17  12   0   3   8   0   0 100
Robert_Huth   32 ger  1 19  1  1 30 100 169  80  95  23   1 2130   2   0   0  29   0   3   0   0   5   0   0 100
M_Debuchy     31 fra  1 19 11  5 30 100  53 189 105  18   0 1516   0   0   0  14  15   5   0   0   8   0   0 100
Wes_Morgan    33 jam  1 18  1  1 30 100 965  90  75  22   0 2095   0   0   0  28   3   1   0   0   3   0   0 100
C_Fuchs       30 aut  1 18  9  5 30 100 936 265 130  28   2 2526   2   0   0  31  23  13   1   2   3   0   0 100
Danny_Simpson 30 eng  1 18  7  4 30 100 652 212  98  23   4 1990   0   0   0  28  18   4   0   0   2   0   0 100
Y_Benalouane  30 tun  1 18  1  1 30 100 348  88  93  14   0 1361   0   0   0  15   0   1   0   0   1   0   0 100
M_Wasilewski  36 pol  1 17  1  1 30 100 584 103  97   7   1  575   0   0   0   4   1   1   0   0   2   0   0 100
Ben_Chilwell  20 eng  1 17 10  5 30 100 524 148 101   6   1  525   0   0   0  12   4   1   0   1   0   0   0 100
Illarramendi  27 esp  1 17 19  1 30 100 472 527 353  25   4 1996   1   0   0  15  42   1   0   4  14   0   0 100
N_Mendy       24 fra  1 17 18  1 30 100 386 946  97  24   3 1993   2   0   0  25  40   3   0   4   7   0   0 100
D_Amartey     22 gha  1 17 18  1 30 100 314 310  92  18   4 1464   0   0   0  19  22   2   0   1   2   0   0 100
Dani_Ceballos 20 esp  1  8 18 10 30 100 218 917 170  21   0 1876   1   0   0  11  23  15   1   1   2   0   0 100
Andy_King     28 wal  1 10 17  7 30 100 152 814 161  13   1 1171   0   0   0   6  22  11   2   2   5   0   0 100
Franck_Ribéry 33 fra  1  1 20 19 30 100  98 684 464  28   2 2444   2   0   0   1  24  50   8   4   7   0   0 100
Riyah_Mahrez  26 alg  1  1 20 17 30 100  86 138 309  23   1 2022   1   0   0   1  29  30   5   3  13   0   0 100
Ashley_Young  31 eng  1  1 18 17 30 100  76 908 290  18   2 1430   0   0   0   1  22  24   6   2   8   0   0 100
M_Albrighton  27 eng  1  1 18 17 30 100  88 694 125  12   2  878   0   0   0   1  14  12   1   1   7   0   0 100
Demarai_Gray  20 eng  1  1 17 15 30 100 102 870 108   7   2  556   0   0   0   1  10   6   0   2   0   0   0  88
B_Kapustka    20 pol  1  1 17 15 30 100 100 149 746   4   1  330   1   0   0   0   7   7   3   0   0   0   0 100
Islam_Slimani 28 alg  1  1  1 19 30 100  88  95 814  23   3 1999   2   0   0   0   1  40   7   0   1   0   0 100
Lucas_Pérez   28 esp  1  1  1 19 30 100  88  88 703  21   4 1600   2   0   0   0   0  35   9   0   1   0   0 100
Jamie_Vardy   30 eng  1  1  1 19 30 100  80  56 680  23   3 1758   2   0   0   2   0  41   8   0   7   0   0 100
I_Williams    22 esp  1  1 18 19 30 100 100 204 478  16   2 1396   1   0   0   0  12  39   6   1   0   0   0 100
L_Ulloa       30 arg  1  1  1 18 30 100  90  92 197   7   2  533   0   0   0   1   2  12   1   0   1   0   0 100
