Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  24 ger 23  1  1  1 30 585 100 100 100  23   0 2159   1 112  32   0   0   0   0   0   0   0   0 100
S_Mignolet    30 bel 20  1  1  1 30 229 100 100 100   6   0  574   0  26  12   0   0   0   0   0   2   0   0 100
N_Clyne       26 eng  1 21 12  7 30 100 997 935 431  13   0 1195   0   0   0  21  15   9   3   1  10   0   0  94
Dejan_Lovren  28 cro  1 21  2  2 30 100 880 178 171  15   0 1419   0   0   0  21   4   4   0   0   2   0   0  94
A_Valencia    32 ecu  1 21 12  7 30 155 807 768 513  14   1 1238   0   5   5  17  12   6   1   0  12   0   0 100
Raúl_Albiol   32 esp  1 21  2  2 30 100 457   7 107  15   0 1355   0   0   0  18   0   0   0   0   6   0   0  94
Gary_Cahill   32 eng  1 21  1  1 30 100 349 510 595  12   1  976   1   0   0  16   0   2   2   0   7   0   0 100
A_Moreno      25 esp  1 21 12  5 30 100 215 765 203  14   0 1334   0   0   0  24  12   4   0   1   5   0   0 100
Mamadou_Sakho 28 fra  1 21  2  2 30 100 157 736 729  14   0 1285   0   0   0  11   1   0   0   0   7   0   0 100
Glen_Johnson  33 eng  1 20 12  5 30 100 235 836 780   8   0  691   0   0   0   4   6   3   0   1   1   0   0 100
Joe_Gomez     20 eng  1 19  2  2 30 100 771 166 143  11   0 1042   0   0   0  12   2   1   0   0   1   0   0  94
C_Randall     22 eng  1 17  9  5 30 100 762 296 160   2   0  189   0   0   0   2   1   0   0   0   5   0   0 100
Lucas_Leiva   31 bra  1 19 21  2 30 100 605 225 128  14   2 1211   0   0   0  11  38   2   0   4   0   0   0 100
Emre_Can      24 ger  1 18 21  2 30 100 575  27 181  15   0 1426   1   0   0  15  26   3   1   3   2   0   0  94
Ivan_Rakitic  30 cro  1  9 23 14 30 100 433 453 104  15   0 1412   2   0   0   3  30  22   7   2   8   0   0  94
J_Henderson   27 eng  1 14 22  7 30 100 766 519 461  12   0 1137   3   0   0   9  35   7   3   4   2   0   0 100
James_Milner  32 eng  1  7 21 14 30 100 121 307 649  14   0 1281   1   0   0   2  29  21   3   1   6   0   0 100
M_Dahoud      22 ger  1 12 20  8 30 100 148 795 300  14   0 1320   2   0   0   1  27   9   1   5   6   0   0 100
Marko_Grujic  21 srb  1  9 19 10 30 100  33  85 235   3   0  282   0   0   0   1   2   3   0   0   0   0   0  94
Oscar         26 bra  1  2 22 19 30 100 284 126 382  22   7 1208   1   0   0   0  21  37   5   5   2   0   0 100
Adam_Lallana  29 eng  1  2 22 20 30 100 170 103 151  26  10 1264   1   0   0   2  25  32   6   3   2   0   0 100
Sheyi_Ojo     20 eng  1  2 18 15 30 100  28 161 317  10  10  397   0   0   0   0   9   6   1   0   0   0   0 100
Harry_Kane    24 eng  1  2  2 23 30 100 421 282 556  26   1 1520   1   0   0   1   1  57   8   0   1   0   0 100
D_Sturridge   28 eng  1  1  2 22 30 100 925  21 178  28   6 1509   1   0   0   0   0  45   4   0   3   0   0 100
Sadio_Mané    25 sen  1  2 19 21 30 100  18 448 878  28  17 1273   1   0   0   2  23  53   9   1   4   0   0 100
Leo_Baptistão 25 bra  1  1  2 20 30 100 994 128 887  16  16  675   1   0   0   0   1  38   5   1   1   0   0 100
Divock_Origi  22 bel  1  2 18 20 30 100  21 237 405  14  14  529   0   0   0   0   2  17   2   0   0   0   0 100
