Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  26 esp 23  1  1  1 30 609 100 100 100  37   0 3435   0 170  62   0   0   0   0   0   2   0   0 100
David_Ospina  28 col 19  1  1  1 30 908 100 100 100  15   2 1327   0  74  33   0   0   0   0   0   1   0   0 100
Rafael        26 bra 18  1  1  1 30 617 100 100 100   3   0  286   0   8   9   0   0   0   0   0   0   0   0 100
Alex_Sandro   26 bra  1 20 11  7 30 100 610 751 627  25   0 2319   3   0   0  25  41  20   2   2   3   0   0  88
Marcos_Rojo   27 arg  1 20  1  1 30 100 591 445 542  31   4 2326   0   0   0  30   2   4   0   0   2   0   0 100
Eric_Bailly   22 civ  1 20  1  1 30 100 551 465 497  29   3 2231   0   0   0  32   7   3   0   1  12   0   0 100
A_Valencia    31 ecu  1 20 11  6 30 100 370 647 572  23   2 2019   0   0   0  31  27   7   1   1   6   0   0 100
Phil_Jones    25 eng  1 19  1  1 30 100 862 444 518  33  18 1911   0   0   0  23   4   4   0   0   2   0   0 100
D_Sánchez     20 col  1 19  1  1 30 100 692 411 516  34   5 2494   1   0   0  50   0   2   0   0   2   0   0 100
Elseid_Hysaj  23 alb  1 19  9  5 30 100 622 666 545  23   2 1984   0   0   0  25  25  11   0   3   7   0   0 100
Marcos_Alonso 26 esp  1 19 11  6 30 100 584 679 583  22   1 1964   0   0   0  19  29  12   1   2   2   0   0 100
Nemanja_Matic 28 srb  1 18 20  1 30 100 771 771 564  23   0 2172   1   0   0  19  54   4   0   7   1   0   0 100
W_Carvalho    24 por  1 18 20  1 30 100 659 387 494  24   1 2161   1   0   0  16  40   6   0   5   4   0   0 100
Marek_Hamsik  29 svk  1  6 20 14 30 100 582 881 704  30   9 1889   0   0   0   4  36  22   4   3   8   0   0 100
Jack_Wilshere 25 eng  1  8 20 11 30 100 606  72 616  11   3  770   0   0   0   0   8   2   0   0   2   0   0 100
J_Rodríguez   25 col  1  1 21 18 30 100 492 406 885  31   2 2505   1   0   0   2  39  54   7   3   1   0   0 100
H_Mkhitaryan  28 arm  1  1 21 19 30 100 530 236 908  28   3 2272   3   0   0   1  51  53   9   5   6   0   1 100
Juan_Mata     28 esp  1  1 20 18 30 100 520 935 889  33  11 2168   2   0   0   0  40  62   7   5   5   0   0 100
Juan_Cuadrado 28 col  1  1 20 19 30 100 536 457  35  33   9 2327   2   0   0   2  42  58  13   6   4   0   0 100
Karim_Benzema 29 fra  1  1  1 21 30 100 516 453 433  26   2 2064   4   0   0   0   1  60  15   1  12   0   0 100
Falcao        31 col  1  1  1 20 30 100 512 431 613  36   1 2794   1   0   0   1   3  87  13   0  10   0   0 100
A_Martial     21 fra  1  1  1 20 30 100 520 437 377  29  12 1762   0   0   0   0   1  58   9   0   5   0   0 100
M_Rashford    19 eng  1  1  1 19 30 100 556 442 603  26  12 1580   0   0   0   2   0  50  10   0   4   0   0 100
Leon_Bailey   19 jam  1  1 17 19 30 100 540 681 449  29  13 1938   3   0   0   1  29  73  13   2   6   0   0 100
