Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  24 ita 21  1  1  1 30 151 100 100 100  27   0 2529   0 101  42   0   0   0   0   0   3   0   0 100
Pepe_Reina    34 esp 20  1  1  1 30 733 100 100 100  16   2 1367   0  64  23   0   0   0   0   0   1   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   25 sen  1 20  1  1 30 100 521 463 547  22   0 2089   0   0   0  27   1   1   0   0   2   0   0 100
Raúl_Albiol   31 esp  1 20  1  1 30 100 272 443 549  22   0 2050   0   0   0  23   1   7   0   0   7   0   0 100
M_Darmian     27 ita  1 20 10  6 30 100 135 583 565  29   1 2641   1   0   0  39  18  13   0   1   4   0   0 100
Iván_Marcano  29 esp  1 20  1  1 30 100  35 433 551  23   3 1868   0   0   0  29   1   6   1   0  12   0   0 100
D_Criscito    30 ita  1 19 11  5 30 100 757 561 617  26   2 2213   2   0   0  32  14  13   2   2   6   0   0 100
L_Tonelli     27 ita  1 19  1  1 30 100 612 461 535  21   3 1695   0   0   0  21   3   1   0   0   5   0   0 100
F_Ghoulam     26 alg  1 19 11  5 30 100 589 590 620  20   3 1659   2   0   0  18  21  16   2   1   6   0   0 100
C_Maggio      35 ita  1 18  9  5 30 100 906 539 595  19   3 1511   0   0   0  14  13  12   1   0   6   0   0 100
J_Mascherano  32 arg  1 18 20  1 30 100 676 884 582  30   1 2668   3   0   0  11  67   5   1   8   3   0   0  88
Jorginho      25 ita  1 17 20  2 30 100 654 180 547  25   3 2149   1   0   0  10  48   5   0   7   3   0   0 100
Ander_Herrera 27 esp  1 12 20  7 30 100 624 489 561  24   0 2235   0   0   0   8  53  13   0   3   1   0   0 100
Allan         26 bra  1 12 19  7 30 100 546 825 529  25   8 1402   0   0   0   3  35   7   0   4   5   0   0 100
P_Zielinski   22 pol  1  6 19 12 30 100 568 677 738  28   3 2244   1   0   0   4  41  29   5   8   0   0   0  81
Bernardeschi  23 ita  1  1 19 18 30 100 534 955 881  28   3 2232   1   0   0   0  33  51   8   1   8   0   0 100
Bernard       24 bra  1  1 19 17 30 100 520 445 842  29   4 2239   2   0   0   0  22  47   7   3   5   0   0 100
E_Giaccherini 31 ita  1  1 19 17 30 100 540 310 727  19   6 1345   3   0   0   1  26  31   4   2   1   0   0 100
Dries_Mertens 29 bel  1  1 19 21 30 100 536 654 432  36   4 3002   4   0   0   0  24  89  19   2   7   0   0  75
L_Insigne     25 ita  1  1 18 21 30 100 532 589 112  27   0 2504   5   0   0   0  21 108  17   0   4   0   0 100
José_Callejón 30 esp  1  1 18 20 30 100 538 735 756  30   6 2413   5   0   0   2  33  97  13   4   3   0   0 100
A_Milik       23 pol  1  1  1 19 30 100 546 470 919  24   3 1994   2   0   0   0   2  87  13   0   2   0   0  81
