Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Yohann_Pelé   34 fra 19  1  1  1 30 511 100 100 100  35   0 3237   0 142  46   0   0   0   0   0   5   0   0 100
Brice_Samba   22 fra 16  1  1  1 30 960 100 100 100   7   2  610   0  18  10   0   0   0   0   0   0   0   0 100
F_Escales     21 fra 16  1  1  1 30 272 100 100 100   1   0   97   0   6   4   0   0   0   0   0   0   0   0 100
Patrice_Evra  35 fra  1 20 10  5 30 100 155 238 120  33   2 2350   1   0   0  49  16   9   1   3   2   0   0 100
Rolando       31 por  1 18  1  1 30 100 794  87  67  27   2 2457   3   0   0  29   3   1   0   0   7   0   0 100
Rod_Fanni     35 fra  1 18  1  1 30 100 647  93 105  24   0 2290   0   0   0  27   0   3   0   0   1   0   0 100
Henri_Bedimo  32 cmr  1 18  9  5 30 100 630 254 101  26   4 2186   2   0   0  36  18   5   0   2   1   0   0 100
Hiroki_Sakai  26 jpn  1 18 11  5 30 100 432 220 135  24   6 1818   1   0   0  22  16   6   1   1   6   0   0 100
Dória         22 bra  1 18  1  1 30 100 370  87 114  25   4 2205   1   0   0  20   1   5   1   0   5   0   0 100
Tomas_Hubocan 31 svk  1 18  1  1 30 100 316  80  81  15   2 1154   0   0   0  13   0   1   0   0   0   0   0 100
Karim_Rekik   22 ned  1 18  1  1 30 100 173 103  98  18   7 1258   0   0   0  18   1   2   0   0   2   0   0 100
W_Vainqueur   28 fra  1 16 19  2 30 100 328 192  71  24   0 2062   0   0   0  17  41   3   0   2   8   0   0 100
G_Sertic      27 fra  1 16 18  2 30 100 298 643  86  26   5 2049   0   0   0  19  29   4   0   1  10   0   0 100
A_Z_Anguissa  21 cmr  1 16 17  1 30 100 224 778  80  19  10 1019   1   0   0  12  14   0   0   3   0   0   0 100
Bill_Tuiloma  22 nzl  1 14 16  1 30 100 100 254 100   2   2   53   0   0   0   0   2   0   0   0   0   0   0 100
Morgan_Sanson 22 fra  1 12 19  7 30 100 210 618 150  31   1 2442   0   0   0  12  36  10   2   2   2   0   0 100
Maxime_López  19 fra  1  8 18 10 30 100 198 374 195  28   3 2310   0   0   0  11  34  18   3   1   2   0   0 100
Abou_Diaby    30 fra  1 11 17  6 30 100 210 942 119  17   6 1069   3   0   0  11  22   4   1   2   1   0   0 100
Z_Machach     21 fra  1 10 17  7 30 100 114 585 113  10   7  500   1   0   0   3  11  11   0   1   6   0   0 100
Dimitri_Payet 30 fra  1  1 20 19 30 100  82 697 355  36   5 2927   3   0   0   0  50  44   5   7   9   0   0 100
Rémy_Cabella  27 fra  1  1 18 16 30 100  96 553 248  21   2 1783   0   0   0   0  31  30   2   2   2   0   0 100
Bouna_Sarr    25 gui  1  1 17 16 30 100  90 583 114   9   5  567   0   0   0   0   9  12   0   1   0   0   0 100
S-E_Khaoui    21 tun  1  1 17 15 30 100 100 134 125   1   0   95   0   0   0   0   2   9   0   0   0   0   0 100
F_Thauvin     24 fra  1  1 18 19 30 100 100 192 874  34   7 2593   2   0   0   1  12  65  12   1   6   0   0 100
B_Gomis       31 fra  1  1  1 19 30 100  52  52 434  32   6 2322   1   0   0   0   0  51  16   0   4   0   0 100
Clinton_N'Jie 23 cmr  1  1 16 18 30 100  96 169 141  29   8 1929   0   0   0   2  11  46   6   1   9   0   0 100
A_L_Iseka     19 bel  1  1  1 17 30 100  60  67 225  18   8 1039   0   0   0   0   1  22   3   0   5   0   0 100
A_Rabillard   21 fra  1  1  1 16 30 100 100 100 467   4   4  156   0   0   0   0   0   3   0   0   0   0   0 100
