Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       25 arg 22  1  1  1 30 621 100 100 100  23   0 2153   0  97  38   0   0   0   0   0   2   0   0 100
Iker_Casillas 36 esp 19  1  1  1 30  41 100 100 100   6   1  544   0  16  12   0   0   0   0   0   1   0   0 100
José_Sá       25 por 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          35 por  1 21  2  2 30 100 609  54  69  17   0 1283   1   0   0  20   2   1   0   0   3   3   0  90
Sebas_Coates  27 uru  1 21  2  2 30 100 235 152  91  15   1 1353   0   0   0  18   0   1   0   0   2   0   0  96
N_Maksimovic  26 srb  1 20  1  1 30 100 998 595 548  14   0 1331   0   0   0   9   1   1   0   0   0   0   0 100
Felipe        28 bra  1 20  1  1 30 100 528 468 446  16   2 1403   1   0   0  16   3   2   0   0   2   0   0  88
D_Zappacosta  25 ita  1 20 12  7 30 100 360 558 543  15   2 1305   1   0   0  13   7   3   1   1   3   0   0  88
Alex_Telles   25 bra  1 20 11  5 30 100 320 966 743  15   2 1337   1   0   0  21   6   6   0   0   2   0   0 100
Maxi_Pereira  33 uru  1 20 12  5 30 106 274 195 787  15   3 1149   1   0   0  11  12   6   0   0   3   0   0 100
Rafinha       32 bra  1 19  9  5 30 100 951 954 649  14   2 1267   0   0   0  21   9   5   0   3   6   0   0  88
N_Radoja      25 srb  1 18 20  3 30 100 610 741 409  15   0 1433   1   0   0  12  35   3   0   3   7   0   0  88
Miguel_Veloso 31 por  1 17 20  2 30 100 195 656 600  17   4 1333   1   0   0  12  24   1   0   3   2   0   0  96
Xabi_Alonso   36 esp  1 17 20  3 30 100 340 326 683  15   5 1123   0   0   0   8  18   1   0   2   2   0   0  88
H_Herrera     27 mex  1  7 21 13 30 100 818 152 111  20   2 1561   1   0   0   5  27  17   4   0   0   0   0  76
André_André   28 por  1  6 20 13 30 100 849 342 941  18   2 1485   1   0   0   4  24  14   2   2   3   0   0  88
F_Melegoni    19 ita  1 10 18  8 30 100 123 947 138  16   3 1288   0   0   0   2  16   7   1   0   0   0   0  88
Denis_Suárez  24 esp  1  1 21 18 30 100 823 262 369  13   0 1221   0   0   0   2  15  17   0   2   3   0   0  90
Otávio        23 bra  1  1 19 18 30 100 644 932 158  14   2 1210   1   0   0   1  14  23   1   3   0   0   0 100
E_Cavani      31 uru  1  2  2 22 30 100  74 140 746  16   1 1361   0   0   0   0   0  37   8   0   1   0   0  88
M_Mandzukic   31 cro  1  1  1 21 30 100 598 580 665  16   3 1279   0   0   0   1   0  27   3   0   1   0   0 100
Wayne_Rooney  32 eng  1  1 17 21 30 100 538 910 312  16   2 1330   2   0   0   1  10  24   3   0   3   0   0 100
Y_Brahimi     28 alg  1  1 17 20 30 100 503 870 984  14   1  967   0   0   0   0   8  22   4   1   5   0   0  88
Paco_Alcácer  24 esp  1  1  1 20 30 100 544 544 114  15   9  857   0   0   0   1   1  15   3   0   0   0   0 100
