Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   26 ned 21  1  1  1 30 315 100 100 100  42   0 3947   0 246  83   0   0   0   0   0   6   0   0 100
Remko_Pasveer 33 ned 18  1  1  1 30 388 100 100 100   4   1  317   0  19   4   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  23 ned 17  1  1  1 30 984 100 100 100   2   0  186   0  17   3   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 23 ned 17  1  1  1 30 445 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Héctor_Moreno 29 mex  1 19  1  1 30 100 848 380 401  35   1 2921   0   0   0  37   3   5   1   0   8   0   0  73
Jetro_Willems 23 ned  1 19 11  5 30 100 252 650 430  29   0 2574   0   0   0  36  35  12   1   1   5   0   0 100
S_Arias       25 col  1 18 11  5 30 100 980 582 412  32   2 2813   0   0   0  29  25  12   1   3  14   0   0  89
Isimat-Mirin  25 fra  1 18  1  1 30 100 970 388 373  28   1 2452   0   0   0  34   3   2   0   0  14   0   0 100
Joshua_Brenet 23 ned  1 18 11  5 30 100 824 560 518  29   7 2284   1   0   0  32  15  12   3   3   5   0   0 100
D_Schwaab     28 ger  1 18  1  1 30 100 617 388 390  21   3 1713   0   0   0  19   2   3   0   0   3   0   0 100
Menno_Koch    22 ned  1 17  1  1 30 100 407 402 400  16   6 1130   1   0   0  18   1   1   0   0   0   0   0 100
S_Alberto     20 ned  1 16  1  1 30 100 772 405 405   5   1  316   0   0   0   6   0   0   0   0   0   0   0 100
J_Hendrix     22 ned  1 17 18  1 30 100 496 883 390  28   7 1968   0   0   0  16  42   5   0   1  13   0   0 100
A_Guardado    30 mex  1 11 19  8 30 100 526 861 473  33   1 2925   0   0   0  15  50  17   1   1   2   0   0  97
Davy_Pröpper  25 ned  1  8 19 10 30 100 428 394 509  25   1 2288   2   0   0   8  41  17   3   3   4   0   0 100
M_van_Ginkel  24 ned  1  8 19 10 30 100 480 190 443  29   3 2478   0   0   0  13  43  14   0   0   3   0   0 100
B_Ramselaar   20 ned  1  1 18 17 30 100 346 997 689  23   4 1793   4   0   0   0  28  40   6   2   2   0   0 100
Siem_de_Jong  28 ned  1  1 18 17 30 100 358 961 674  20   1 1851   1   0   0   0  24  46   5   1   1   0   0 100
O_Zinchenko   20 ukr  1  1 18 15 30 100 344 376 538  15   0 1371   1   0   0   0  21  14   3   1   3   0   0 100
R-P_Lundqvist 19 swe  1  1 17 14 30 100 358  65 492  12   7  590   0   0   0   0   6   7   2   1   1   0   0 100
Kenneth_Paal  19 ned  1  1 16 14 30 100 370 680 424   4   3  217   0   0   0   1   1   1   0   0   1   0   0 100
Luuk_de_Jong  26 ned  1  1  1 19 30 100 316 376 236  32   4 2711   1   0   0   1   1  71   6   0   3   0   0 100
G_Pereiro     21 uru  1  1 17 18 30 100 336 618 973  32   2 2493   4   0   0   1  27  55   8   2   8   0   0 100
J_Locadia     23 ned  1  1  1 18 30 100 330 395 691  20   6 1428   0   0   0   0   0  13   2   0   5   0   0 100
S_Bergwijn    19 ned  1  1 15 17 30 100 346 494 884  16   3 1257   0   0   0   0   9  23   0   1   2   0   0 100
Sam_Lammers   19 ned  1  1  1 17 30 100 360 432 337   9   2  619   0   0   0   0   1  17   2   0   0   0   0 100
