Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    27 pol 22  1  1  1 30 861 100 100 100  24   0 2283   0 117  35   0   0   0   0   0   5   0   0 100
Alisson       25 bra 20  1  1  1 30 364 100 100 100   5   0  472   0  29   9   0   0   0   0   0   0   0   0 100
Raúl_Gudiño   22 mex 18  1  1  1 30 621 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Manolas     26 gre  1 21  1  1 30 100 805 795 743  19   1 1679   1   0   0  26   2   4   0   0   2   0   0  94
Héctor_Moreno 30 mex  1 21  2  2 30 100 472 222 203  19   2 1686   0   0   0  28   1   2   0   1   7   0   0  94
Sime_Vrsaljko 26 cro  1 21 12  6 30 100 237 756 506  18   2 1704   1   0   0  26  15   6   0   0   1   0   0  84
Bruno_Peres   28 bra  1 20 12  4 30 100 683 338 913  15   0 1374   1   0   0  18  13   3   0   2   1   0   0 100
Emerson       23 bra  1 20 12  6 30  95 655 550 185  17   0 1539   2   1   2  24  14   9   1   3   1   0   0  94
Mário_Rui     26 por  1 20 12  5 30 100 369  79 872  10   0  731   0   0   0  12   6   3   0   0   6   1   0 100
Aleix_Vidal   28 esp  1 20 12  6 30 100 159 562 392  14   2 1274   0   0   0  18   9   1   0   1   2   0   0 100
A_Nura        20 nga  1 18  9  4 30 100 375  59 802  10   1  899   0   0   0  10   9   1   0   0   1   0   0 100
J_Campuzano   22 col  1 15 18  3 30 100 351 413 306   6   0  566   0   0   0   4   7   3   0   1   0   0   0 100
R_Nainggolan  29 bel  1 16 23  6 30 100 547 451 449  17   1 1560   0   0   0  10  31   8   1   1   7   0   0  94
A_Guardado    31 mex  1 12 21  9 30 100 782 592 413  14   1 1309   0   0   0   7  20   5   1   2   1   0   0 100
Wilfried_Zaha 25 civ  1  2 21 21 30 100 770 385  16  28   6 1846   0   0   0   0  21  37   3   2   2   0   0 100
Marko_Rog     22 cro  1  2 20 18 30 100 222 338 722  27  19 1163   0   0   0   0  26  12   1   2   2   0   0 100
J_Manzaneda   24 per  1  2 20 18 30 100 462 194 257  22   1 1401   1   0   0   0  35  27   4   5   2   0   0 100
Cengiz_Ünder  20 tur  1  2 20 18 30 100 824 161 911  26  21 1042   1   0   0   2  11  21   3   2   3   0   0 100
Ante_Coric    21 cro  1  2 20 18 30 100 795 125 871  22  14 1013   1   0   0   2  15  18   3   0   0   0   0 100
A_Sánchez     29 chi  1  2 20 24 30 100  86 956 702  17   1 1518   2   0   0   0  17  35   6   3   0   0   0 100
Mohamed_Salah 25 egy  1  1 19 22 30 100 997 565 101  27   4 1730   1   0   0   0  30  24   8   1   4   0   0 100
M_Balotelli   27 ita  1  2  2 21 30 100 349 346 894  17   3 1501   2   0   0   2   0  37  10   0   1   0   0  94
Simone_Zaza   26 ita  1  1  1 20 30 100 764 773 679  11   0  928   0   0   0   0   1  25   1   0   6   0   0 100
Patrik_Schick 22 cze  1  1  1 20 30 100 293 293 569  13   0 1154   0   0   0   0   0  24   3   0   6   0   1 100
