Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ralf_Fährmann 29 ger 22  1  1  1 30 752 100 100 100  26   0 2449   0  97  29   0   0   0   0   0   0   0   0  85
Wellenreuther 22 ger 18  1  1  1 30 560 100 100 100   3   0  285   0  20   8   0   0   0   0   0   0   0   0 100
A_Nübel       21 ger 17  1  1  1 30 278  90  90  90   1   1   29   0   0   0   0   0   0   0   0   0   0   0 100
Jonas_Hector  27 ger  1 21 11  6 30 100 461 791 467  22   1 1413   0   0   0  20  15   5   0   2   7   0   0  78
B_Höwedes     30 ger  1 21  1  1 30 111 445 799 776  17   1 1404   1   1   1  22   2   3   0   0   1   0   0  90
C_Azpilicueta 28 esp  1 21 11  5 30 100 254 133 560  15   0 1354   2   0   0  16   8   2   0   0   1   0   0  88
A_Granqvist   32 swe  1 21  2  2 30 100  87 446 437  17   2 1451   0   0   0  19   1   2   0   0   3   0   0  83
A_Rüdiger     25 ger  1 21  1  1 30 100   1 991 959  19   6 1283   0   0   0  19   1   1   0   0   2   0   0  96
Coke          30 esp  1 20 12  6 30 100 808 246 916  16   2 1352   2   0   0  18  22   6   2   2   1   0   0  76
S_Escudero    28 esp  1 20 12  5 30 100 154  67 926  17   5 1310   0   0   0   8   9   5   0   0   5   0   0  88
Nathan_Aké    23 ned  1 19  1  1 30 100 696 494 486  17   6 1239   1   0   0  17   0   2   0   0   5   0   0  78
Tomás_Rincón  30 ven  1 18 20  2 30 100 784 786 313  22  10 1388   0   0   0   6  27   1   0   0   0   0   0  88
Thiago_Maia   21 bra  1 16 19  2 30 100 353 871 232  17   9  977   0   0   0   9  11   2   0   1   2   0   0 100
Fernandinho   32 bra  1 16 22  5 30 100 780   5 414  18   3 1481   0   0   0   7  29   2   0   0   2   0   0  80
S_M-Savic     23 srb  1  9 21 14 30 100 598 983   8  22   2 1511   2   0   0   2  26  16   3   1   6   0   0  74
Allan         27 bra  1 13 21  8 30 100 509 482 514  16   0 1380   0   0   0   4  25   9   0   0   1   0   0  82
João_Mário    25 por  1  7 21 13 30 100 906 395  58  15   2 1251   1   0   0   3  22  12   3   1   2   0   0  76
Daniel_Wass   29 den  1  9 21 13 30 100 699 103 681   9   2  717   0   0   0   3   9  14   2   2   2   0   0  88
Y_Konoplyanka 28 ukr  1  1 21 19 30 100 660  28 236  15   2 1220   1   0   0   0  19  11   2   0   5   0   0  88
Pablo_Sarabia 25 esp  1  1 20 18 30 100 714 202 370  14   3 1126   2   0   0   3  14  22   5   2   0   0   0  88
K_Mitroglou   30 gre  1  2  2 21 30 100 128 271 979  17   0 1461   0   0   0   0   0  30   3   0   7   0   0  78
S_Giovinco    31 ita  1  1 15 21 30 100 259 231 417  20   2 1533   0   0   0   1   0  20   3   0   2   0   0  80
Danny_Ings    25 eng  1  1  2 19 30 100 966 129 867  22  11 1180   0   0   0   1   5  24   2   1   6   0   0  82
Marko_Pjaca   22 cro  1  2 17 19 30 100   2 120 831  18   6 1157   0   0   0   1   7  16   0   0   1   0   0 100
