Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  25 ger 22  1  1  1 30 159 100 100 100  20   0 1741   0  54  26   0   0   0   0   0   0   1   0 100
Franco_Israel 18 uru 17  1  1  1 30 205 100 100 100  13   3 1096   0  31  19   0   0   0   0   0   1   0   0 100
J_Murillo     25 col  1 21  1  1 30 100 338 851 961  20   1 1578   0   0   0  25   2   3   0   0   7   0   0 100
Mau_Lemos     22 uru  1 21  2  2 30 100 190 151  28  19   4 1353   0   0   0  15   1   2   0   0   0   0   0 100
Jardel        32 bra  1 21  2  2 30 100 147 173 131  19   3 1662   2   0   0  19   4   2   0   0   0   0   0  94
Kenny_Tete    22 ned  1 20 10  6 30 100 852 722 511  18   1 1556   0   0   0  19  14  11   0   1   2   0   0 100
G_Paulista    27 bra  1 20  1  1 30 100 402 506 576  19   4 1487   0   0   0  17   1   1   0   0   9   0   0  94
Diego_Polenta 26 uru  1 19  1  1 30 100 876 103  97  18   4 1452   1   0   0  17   1   1   0   0   2   0   0  94
D_Sinkgraven  22 ned  1 19 11  6 30 100 722 454 273  15   2 1235   0   0   0  14  12   3   0   0   1   0   0 100
Jorge_Moreira 28 par  1 19 11  7 30 100 386 168  95  13   2  927   0   0   0   9   8   5   0   1   2   0   0  93
A_Samaris     28 gre  1 18 20  2 30 100 491 958 148  15   1 1360   0   0   0  12  21   1   0   2   0   0   0  94
L_Torreira    22 uru  1 17 20  3 30 100 681 592 279  16   2 1362   0   0   0  17  22   4   0   2   9   0   0 100
Leon_Goretzka 23 ger  1  7 21 14 30 100  93 688 503  22   4 1540   1   0   0   4  19  20   3   3   1   0   0 100
Rafinha_Alc   25 bra  1  7 21 14 30 100 254 576 579  20   3 1570   0   0   0   2  36  15   1   3   3   0   0 100
Wylan_Cyprien 23 fra  1  9 20 11 30 100 231 627 163  17   3 1418   1   0   0   4  14  10   1   2   1   0   0  94
J_T_L_Amani   20 civ  1 10 19 10 30 100 619 151 629  14   3  990   1   0   0   3  16  11   1   1   7   0   0 100
Carles_Aleña  20 esp  1  8 18 10 30 100 151 734  92   7   0  600   0   0   0   3  11   4   0   1   6   0   0 100
Rafa_Silva    24 por  1  1 21 19 30 100 995 463 267  18   3 1517   2   0   0   0  21  28   2   3   5   0   0 100
Franco_Cervi  23 arg  1  2 20 19 30 100 110 539 132  16   2 1271   3   0   0   1  15  36   5   2   2   0   0 100
G_Arrascaeta  24 uru  1  3 19 16 30 100 114 642 220  13   2 1059   1   0   0   1  22  18   3   0   1   0   0  94
Diego_Costa   29 esp  1  1  1 22 30 100 327 333 799  23   3 1701   1   0   0   0   1  43   9   0   0   0   0 100
C_Benteke     27 bel  1  2  2 21 30 100 573 560 265  22   6 1521   1   0   0   1   1  34   8   0   6   0   0  94
J-K_Augustin  20 fra  1  2  2 19 30 100  57 191 322  15   6 1022   0   0   0   1   1  12   2   0   4   0   0  98
