Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 23  1  1  1 30  82 100 100 100  47   0 4291   0 192  73   0   0   0   0   0   7   0   0 100
Michel_Vorm   33 ned 19  1  1  1 30 901 100 100 100   7   2  638   0  39  17   0   0   0   0   0   0   0   0 100
Pau_López     22 esp 18  1  1  1 30 351 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  28 bel  1 21  1  1 30 100 183 435 562  39   1 3132   0   0   0  43   2   5   1   0  12   0   0  74
J_Vertonghen  29 bel  1 20  1  1 30 100 629 416 501  35   1 2991   1   0   0  43   2   5   0   0   9   0   0  74
V_van_Dijk    25 ned  1 20  1  1 30 100 580 426 521  31   1 2665   0   0   0  45   1   3   0   0  13   0   0  75
Kyle_Walker   26 eng  1 20 11  6 30 100 470 621 637  30   2 2596   1   0   0  39  20  19   2   2   2   0   0 100
Danny_Rose    26 eng  1 20 10  6 30 100 334 578 585  32   3 2610   0   0   0  42  14  18   1   3  10   0   0 100
Ben_Davies    23 wal  1 19  9  5 30 100 690 540 623  36  10 2565   1   0   0  40  20  13   4   1   5   0   0  81
Kevin_Wimmer  24 aut  1 19  1  1 30 100 538 466 563  26   6 2055   0   0   0  30   4   2   1   0   6   0   0  81
K_Trippier    26 eng  1 19 11  6 30 100 208 533 582  16  15  708   0   0   0   9   9   5   1   1   0   0   0 100
Eric_Dier     23 eng  1 17 19  1 30 100 651 659 531  35  11 2320   1   0   0  12  46   7   0   6   9   0   0 100
V_Wanyama     25 ken  1 17 19  1 30 100 690 488 538  25   7 1836   1   0   0  14  28   4   0   3   4   0   0 100
Mousa_Dembélé 29 bel  1 13 20  7 30 100 654 468 661  35   2 2873   1   0   0  11  68  24   3   6   4   0   0 100
M_Sissoko     27 fra  1  5 19 13 30 100 646 554 667  27   8 2026   1   0   0  10  34  27   2   4   7   0   0 100
C_Eriksen     25 den  1  1 20 20 30 100 536 976   2  31   1 2598   4   0   0   0  55  49  12   1   2   0   0 100
Dele_Alli     20 eng  1  1 20 18 30 100 514 207 870  32   2 2578   2   0   0   2  41  47   9   4   5   0   0 100
Érik_Lamela   25 arg  1  1 19 17 30 100 524 964 758  23   4 1883   1   0   0   0  30  33   5   3   3   0   0 100
Josh_Onomah   19 eng  1  1 18 15 30 100 550 185 657   9   8  395   2   0   0   0  15   8   3   4   0   0   0 100
Harry_Kane    23 eng  1  1  1 21 30 100 514 479 174  37   2 2756   3   0   0   0   5  66  12   1   3   0   0 100
C_Immobile    27 ita  1  1  1 20 30 100 506 399 106  29   2 2058   0   0   0   2   1  45   2   0   9   0   0 100
Heung-Min_Son 24 kor  1  1 17 19 30 100 548 566 676  28   9 1640   1   0   0   2  16  56   7   1   8   0   0 100
V_Janssen     22 ned  1  1  1 19 30 100 562 460 113  14  14  512   0   0   0   1   0  14   1   0   0   0   0 100
G-K_N'Koudou  22 fra  1  1 17 19 30 100 538 450 109  10  10  370   0   0   0   1   2  13   2   0   2   0   0 100
