Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Asenjo 27 esp 20  1  1  1 30 911 100 100 100  36   1 3305   0 137  69   0   0   0   0   0   1   0   0 100
Andrés_Fdez   30 esp 18  1  1  1 30 828 100 100 100  10   2  904   0  45  16   0   0   0   0   0   0   0   0 100
M_Barbosa     32 arg 18  1  1  1 30 300  98  98  98   1   0   95   0   0   0   0   0   0   0   0   1   0   0 100
Víctor_Ruiz   28 esp  1 20  1  1 30 100 507 505 488  30   1 2443   2   0   0  51   3   4   0   0  13   0   0 100
Mario_Gaspar  26 esp  1 20 11  6 30 100 138 759 561  27   0 2414   3   0   0  37  25   9   0   3   3   0   0 100
Ó_de_Marcos   27 esp  1 20 11  6 30 100 117 743 604  30   1 2725   1   0   0  30  27  12   2   2   8   0   0 100
Jaume_Costa   29 esp  1 19 11  6 30 100 801 733 610  31   4 2718   1   0   0  41  25  10   2   1   1   0   0 100
Á_González    27 esp  1 19  1  1 30 100 270 513 513  22   2 1933   0   0   0  27   1   3   0   0   7   0   0 100
José_Ángel    27 esp  1 18 11  5 30 100 916 799 585  25   6 2042   2   0   0  35  29   8   1   3   7   0   0 100
Bruno_Soriano 32 esp  1 18 20  1 30 100 798 676 596  26   1 2359   0   0   0  31  40   4   2   4  12   0   0 100
Thomas        23 gha  1 17 19  1 30 100 866 152 528  26   5 1990   0   0   0  34  32   2   0   3  11   0   1 100
R_Hernández   20 esp  1 15 18  2 30 100 568 199 534  19   4 1509   1   0   0  11  36   4   0   7   2   0   0 100
M_Trigueros   25 esp  1  6 20 13 30 100 498 373 664  28   0 2469   1   0   0   6  51  25   3   3   7   0   0 100
R_Soriano     26 ita  1  7 19 12 30 100 468 902 579  21   0 1867   0   0   0   4  36  12   1   3  10   0   0 100
T_Hazard      24 bel  1  1 19 19 30 100 446 950 178  33   3 2854   6   0   0   1  38  73  17   4   3   0   0  88
J_dos_Santos  26 mex  1  1 19 17 30 100 498 864 773  30   3 2620   1   0   0   5  28  44   5   3   1   0   0  86
J_Gallardo    22 mex  1  1 18 16 30 100 446 282 664  18   4 1415   0   0   0   0  18  17   3   4   2   0   0 100
G_dos_Santos  27 mex  1  1  1 20 30 100 458 536 403  35   0 2895   3   0   0   1   0  61  15   0   7   0   0  78
C_Bakambu     25 cod  1  1  1 20 30 100 450 554  69  24   4 2005   0   0   0   0   2  37   6   0   5   0   0 100
N_Sansone     25 ita  1  1  1 19 30 100 440 530 560  21   5 1523   0   0   0   0   0  32   5   0   0   0   0 100
R_Soldado     31 esp  1  1  1 19 30 100 470 536 346  22   9 1506   0   0   0   2   0  32   3   0   2   0   0 100
Alessio_Cerci 29 ita  1  1 16 18 30 100 438 598 912  13   0 1266   0   0   0   0  10  28   4   0   1   0   0 100
Santos_Borré  21 col  1  1  1 18 30 100 406 496 750  14   3  902   0   0   0   0   0  18   0   0  12   0   0  88
