Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Malik_Asselah 32 alg 19  1  1  1 30 257 100 100 100   5   0  475   0  45  18   0   0   0   0   0   0   0   0 100
H_Djemili     31 alg 19  1  1  1 30  32 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raïs_M'Bolhi  32 alg 19  1  1  1 30  26 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Ghoulam     27 alg  1 21 13  6 30 100 228  21 726  26   0 2356   2   0   0  19  28  14   2   6   4   0   0 100
Aïssa_Mandi   27 alg  1 20  2  2 30 100 751 853 842   5   0  326   0   0   0   5   0   1   0   0   0   0   0 100
R_Bensebaini  23 alg  1 20  2  2 30 100 396 756 719  27   5 2169   0   0   0  22   6   3   0   0   7   0   0 100
E_Belkalem    29 alg  1 20  2  2 30 100 116 898 878   2   0  160   0   0   0   2   0   0   0   0   0   0   0 100
Carl_Medjani  33 alg  1 19  2  2 30 100 723 902 882   4   1  315   1   0   0  11   2   0   0   0   0   0   0 100
M_Benmoussa   32 alg  1 19 10  6 30 100 473 864 866   4   4  149   0   0   0   4   0   2   0   0   1   0   0 100
D_Benlamri    28 alg  1 19  2  2 30 100 379 879 879   3   3   83   0   0   0   0   0   0   0   0   1   0   0 100
H_Ferhani     25 alg  1 19 10  5 30 100  93 917 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mehdi_Lacen   34 alg  1 19 19  2 30 100   1 879 889   2   0  187   1   0   0   4   4   1   0   0   0   0   0 100
Ahmed_Kashi   29 alg  1 17 19  3 30 100 883 560 903   2   0  187   0   0   0   1   0   1   1   0   0   0   0 100
N_Bentaleb    23 alg  1 13 21  7 30 100 239 114 196  28   3 2161   2   0   0   9  49  14   1   8   2   0   0 100
Saphir_Taider 26 alg  1 13 20  8 30 100 951 277 951   5   2  351   0   0   0   3   3   2   2   1   0   0   0 100
R_Aït-Atmane  25 alg  1 12 19  8 30 100 926 610 914   2   1  119   0   0   0   0   5   0   0   0   0   0   0 100
Mehdi_Abeid   26 alg  1 11 19  9 30 100 881 554 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Riyah_Mahrez  27 alg  1  1 21 18 30 100 574 554 523  25   1 2302   4   0   0   2  38  51  13   4   3   0   0 100
R_Boudebouz   28 alg  1  2 21 20 30 100 871 293 964   3   0  288   0   0   0   0   9   4   0   1   0   0   0 100
Islam_Slimani 29 alg  1  1  1 21 30 100 757 716 508  21   1 1742   2   0   0   1   2  41   5   1   1   0   0 100
E_A_H_Soudani 30 alg  1  2 19 21 30 100 881 927 127   4   1  285   0   0   0   0   2   4   1   1   0   0   0 100
Y_Brahimi     28 alg  1  1 17 21 30 100 489 925  59  23   3 1689   0   0   0   0  15  45   5   2   7   0   0 100
S_Feghouli    28 alg  1  2 19 20 30 100 849 870 723   3   1  158   0   0   0   0   2   1   0   0   0   0   0 100
