Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ramazan_Özcan 33 aut 21  1  1  1 30 102 100 100 100   8   1  746   0  23  13   0   0   0   0   0   0   0   0 100
Robert_Almer  34 aut 19  1  1  1 30 645 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Heinz_Lindner 27 aut 19  1  1  1 30 564 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Langer      33 aut 19  1  1  1 30 281 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Strebinger  25 aut 19  1  1  1 30 210 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andreas_Lukse 30 aut 19  1  1  1 30 201 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Siebenhandl 28 aut 19  1  1  1 30   1 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gspurning   36 aut 18  1  1  1 30 395 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Manninger   40 aut 18  1  1  1 30 241 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Alaba   25 aut  1 23 20  7 30 100 414 694 841  35   6 2629   0   0   0  25  49  18   3   4   8   0   0  94
A_Dragovic    27 aut  1 22  2  2 30  89 174 358 463  38   1 3492   2   0   0  58   5   5   0   0   2   0   0 100
Kevin_Wimmer  25 aut  1 21  2  2 30 100 486 445 558  39  24 2280   0   0   0  27   6   3   1   1  13   0   0 100
S_Prödl       30 aut  1 20  2  2 30 100 596 869 905   5   1  415   0   0   0   9   0   1   0   0   1   0   0 100
M_Hinteregger 25 aut  1 20  2  2 30 100 528 904 893   5   1  379   1   0   0   1   1   1   0   0   0   0   0 100
C_Fuchs       31 aut  1 20 10  5 30 100  26  15 653  25  10 1803   0   0   0  19  13   4   0   2   3   0   0 100
M_Suttner     30 aut  1 19 11  6 30 100 857 922 895   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Margreitter 29 aut  1 19  2  2 30 100 802 917 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andreas_Ulmer 32 aut  1 19 11  6 30 100 552 937 869   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Florian_Klein 31 aut  1 19 11  7 30 100 550 929 920   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Netzer      32 aut  1 19  2  2 30 100 192 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Baumgartinger 30 aut  1 19 21  2 30 100 206 768 532  42  17 2753   1   0   0  21  57   3   0   2  11   0   0 100
S_Ilsanker    28 aut  1 18 20  2 30 100 996 130 866   4   2  249   0   0   0   2   4   0   0   0   0   0   0 100
Veli_Kavlak   29 aut  1 17 19  2 30 100 952 833 884   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Holzhauser  25 aut  1 16 19  3 30 100 911 581 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Schwab      27 aut  1 16 19  2 30 100 922 238 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Íldiz       26 aut  1 17 19  2 30 100 922 217 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Kulovits    34 aut  1 17 19  2 30 100 911 178 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dominik_Wydra 24 aut  1 16 19  2 30 100 911 141 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Junuzovic   30 aut  1  7 20 13 30 100 976 871 963   5   0  391   0   0   0   1   6   4   0   0   1   0   0 100
Konrad_Laimer 21 aut  1 12 20  8 30 100 178 499 221  28   4 2209   1   0   0   5  46  20   2   2   6   0   0  94
F_Grillitsch  22 aut  1 11 20  8 30 100 892  30 892   1   1   27   0   0   0   0   1   1   0   1   0   0   0 100
Robert_Gucher 27 aut  1 12 19  7 30 100 911 588 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Leitgeb     32 aut  1 11 19  8 30 100 946 477 921   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Gartner     23 aut  1 11 19  8 30 100 929 331 912   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ritzmaier   24 aut  1  8 19 11 30 100 754  98 742   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Arnautovic  28 aut  1  2 21 19 30 100 890 540  63   4   0  379   0   0   0   0   6   3   0   0   0   0   0 100
M_Sabitzer    24 aut  1  2 20 19 30 100 870 487  16   2   0  188   0   0   0   0   2   2   0   0   0   0   0 100
A_Schöpf      24 aut  1  1 20 18 30 100 894 244 270  22   0 1992   0   0   0   0  30  27   3   0  11   0   0 100
Florian_Kainz 25 aut  1  2 20 18 30 100 911 116 918   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Louis_Schaub  23 aut  1  2 19 16 30 100 911 900 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gregoritsch 23 aut  1  2 19 17 30 100 911 770 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Liendl      32 aut  1  2 19 16 30 100 911 530 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matin_Harnik  30 aut  1  2  2 20 30 100 860 855 649   5   0  419   1   0   0   0   0   5   3   0   0   0   0  98
Marc_Janko    34 aut  1  2  2 20 30 100 844 851 226   5   2  281   0   0   0   0   0   4   0   0   0   0   0 100
G_Burgstaller 28 aut  1  2  2 20 30 100 524 510  35   3   2  116   0   0   0   0   0   2   0   0   0   0   0 100
L_Hinterseer  27 aut  1  2  2 19 30 100 910 898 829   1   1   32   0   0   0   0   0   0   0   0   0   0   0 100
Robert_Zulj   26 aut  1  2  2 19 30 100 911 911 741   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ashley_Barnes 28 aut  1  2  2 19 30 100 908 908 663   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Hosiner     28 aut  1  2  2 19 30 100 911 911 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Weimann     26 aut  1  2 17 19 30 100 942 916 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
