Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_Ospina  29 col 21  1  1  1 30 200 100 100 100  11   0 1003   0  46  22   0   0   0   0   0   0   0   0 100
Camilo_Vargas 29 col 20  1  1  1 30 295 100 100 100   3   1  234   0   9   2   0   0   0   0   0   0   0   0 100
R_Zapata      40 col 19  1  1  1 30 751 100 100 100  34   0 3200   1 148  52   0   0   0   0   0   2   0   0 100
José_Cuadrado 32 col 19  1  1  1 30 713 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Bonilla     24 col 19  1  1  1 30 434 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Castellanos 34 col 18  1  1  1 30 930 100 100 100   7   1  629   0  24  13   0   0   0   0   0   1   0   0 100
D_González    35 col 18  1  1  1 30 790 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chris_Vargas  29 col 18  1  1  1 30 574 100 100 100  10   1  902   0  23   9   0   0   0   0   0   1   0   0 100
J_D_Ramírez   21 col 17  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Mosquera    22 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sánchez     21 col  1 22  2  2 30 100  41 342 450  30   6 2121   0   0   0  32   5   2   0   0   1   0   0 100
J_Murillo     25 col  1 21  1  1 30 100 431 823 932  34   1 2570   0   0   0  41   3   5   0   0  12   0   0 100
Éder_Balanta  26 col  1 21  2  2 30 100 391 864 925  32   0 2437   2   0   0  32   4   5   1   0  13   0   0 100
C_Zapata      31 col  1 21  2  2 30 100  19 469 315  23   2 1947   0   0   0  38   4   1   0   0  10   0   0 100
B_Espinosa    28 col  1 20  2  2 30 100 867 923 915   3   1  270   0   0   0   6   1   0   0   0   2   0   0 100
S_Arias       26 col  1 20 12  6 30 100 734 628 229  20   2 1779   0   0   0  17  14   6   2   1   3   0   0 100
Frank_Fabra   27 col  1 20 12  5 30 100 286 880 945  26   0 2387   3   0   0  38  28  20   7   3   8   0   1 100
L_Jiménez     28 col  1 20  2  2 30 100  58 865 863   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Camilo_Zuñiga 33 col  1 19 15  7 30 100 830 602 549  30   3 2217   0   0   0  28  18  10   3   3  10   0   0 100
Feli_Aguilar  25 col  1 19  1  1 30 100 826 423 427  30   4 2545   0   0   0  34   1   3   0   0   7   0   0 100
Farid_Díaz    34 col  1 19  6  5 30 100 752 899 879   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Bocanegra   31 col  1 19 11  7 30 100 619 265 184  32   0 3039   0   0   0  34  28  13   2   0   3   0   0 100
Pedro_Franco  26 col  1 19  2  2 30 100 596 878 878   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Piedrahita  32 col  1 19  6  5 30 100 514 877 870   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Balanta     28 col  1 19 11  7 30 100 512 183 144  29   1 1891   0   0   0  24  13   5   1   0   4   0   0 100
Stefan_Medina 25 col  1 19  6  5 30 100 406 959 859  19   2 1642   0   0   0  14  17   9   0   0   1   0   0 100
W_Tesillo     28 col  1 19  1  1 30 100 313  67  63  24   0 1961   1   0   0  14   2   2   0   0  16   0   0 100
H_Palacios    25 col  1 19 11  6 30 100 305 568 499  32   4 2619   0   0   0  24  16   8   1   1   0   0   0 100
Javier_López  30 col  1 19  1  1 30 100 156  73  78  26   0 2258   0   0   0  37   1   3   0   0  12   0   0 100
A_Henríquez   35 col  1 19  1  1 30 100  41 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Giraldo     33 col  1 18 11  6 30 100 904 193  57  26   3 2214   1   0   0  20  19   7   0   1  13   0   0 100
Fran_Meza     27 col  1 18  1  1 30 100 443 107 105  14   7  855   0   0   0  13   1   1   0   0   0   0   0 100
Héctor_Urrego 26 col  1 18  1  1 30 100 371  77  70  23   5 1696   0   0   0  21   1   0   0   0  10   0   0 100
Carlos_Henao  30 col  1 18  1  1 30 100 307  62  94  25  12 1590   1   0   0  19   2   1   1   0  11   0   0 100
C_Arboleda    32 col  1 18 11  6 30 100 287 198  94  19   5 1437   0   0   0  14   9   3   0   2   1   0   0 100
J_D_Valencia  32 col  1 18 11  6 30 100 236 164 119  20   8 1400   1   0   0  10  14   5   1   0   2   0   0 100
Chris_Mafla   25 col  1 18 10  6 30 100 141 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Velasco     27 col  1 18 10  6 30 100  41 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Cuesta 19 col  1 17  1  1 30 100 791 404 413  22   7 1599   0   0   0  27   1   3   0   0   9   0   0 100
Hadier_Borja  21 col  1 17 10  6 30 100 660 484 451  18   3 1507   0   0   0  17  14   9   1   0  12   0   0 100
Nicolás_Gil   21 col  1 17  1  1 30 100 200  78  78  15  10  757   0   0   0   6   0   0   0   0   6   0   0 100
José_Moya     26 col  1 17  1  1 30 100 174  88  90   9   7  442   0   0   0   3   0   2   0   0   1   0   0 100
W_Barrios     25 col  1 17 21  3 30 100 647  96 474  25   0 2336   0   0   0  19  51   4   1  13   8   0   0 100
A_Mejía       29 col  1 19 20  2 30 100 134 783 953  32   2 2806   0   0   0  21  54   4   1   7   7   0   0 100
Carlos_Sáncez 32 col  1 17 20  3 30 100 989 515 910   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
G_Cuéllar     26 col  1 17 20  2 30 100 794 387 398  27   4 2312   1   0   0  34  44   3   0  11   2   0   0 100
G_Celis       24 col  1 17 19  2 30 100 942 881 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Arias   33 col  1 16 19  3 30 100 702 735 278  32   8 2509   0   0   0  21  34   7   0   1   3   0   0 100
Sebastian_Prz 25 col  1 17 19  2 30 100 577 698 416  22   1 1938   1   0   0  14  31   3   0   4   8   0   0 100
J_Campuzano   22 col  1 15 18  3 30 100 542 609 472  15   0 1368   0   0   0   9  15   5   1   2   7   0   0 100
B_Perlaza     26 col  1 16 18  2 30 100 309 596  99  25   2 2142   1   0   0  17  43   3   0   3   1   0   0 100
Edw_Valencia  33 col  1 15 18  3 30 100 440 490 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Gordillo    26 col  1 15 18  3 30 100 224 387 110  26  12 1680   1   0   0   9  26   4   0   3   1   0   0 100
C_Marrugo     32 col  1  7 20 13 30 100 911  50 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Carbonero   27 col  1  7 19 13 30 100  75 894 261  40  34 1639   0   0   0   1  39  24   2   2   4   0   0 100
Didier_Moreno 26 col  1 13 19  6 30 100 895 720 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mateus_Uribe  27 col  1 11 19  8 30 100 546 701 327  33   6 2598   2   0   0   7  35  15   1   2  10   0   0 100
Andrés_Tello  21 col  1 11 19  9 30 100 950 629  42  24   2 1941   2   0   0   5  38  20   4   6   2   0   0 100
Daniel_Torres 28 col  1 10 19  8 30 100 931 499 944  24   5 1877   0   0   0   3  24  11   1   1   9   0   0 100
H_Henao       31 col  1 13 19  6 30 100 904 495 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Loaiza   24 col  1 11 18  9 30 100 440 190 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Larry_Vásquez 26 col  1 10 18 11 30 100 196  42 179  29   0 2564   2   0   0   8  34  17   2   3   8   0   0 100
Seba_Salazar  23 col  1 10 17  7 30 100 172 399 159  25   2 2089   1   0   0   6  33  11   2   3  11   0   0 100
D_Mosquera    20 col  1 10 17 10 30 100 132 340 125  26   0 1952   1   0   0   4  22  13   1   4   7   0   0 100
Valdelamar    21 col  1 10 17 10 30 100 160 194 174  23   6 1662   1   0   0   6  14   8   3   0   7   0   0 100
J_Rodríguez   26 col  1  2 23 20 30 100 563 462 644  32   5 2391   5   0   0   2  46  38   9   6   8   0   0 100
Juan_Cuadrado 29 col  1  2 22 20 30 100 465  67 661  26   6 1964   2   0   0   1  33  34   6   0   9   0   0 100
Edwin_Cardona 26 col  1  1 20 18 30 100 484 826 844  22   0 2096   0   0   0   1  24  60   8   6   2   0   0 100
JF_Quintero   25 col  1  1 20 18 30 100 436 780 655  24  10 1565   2   0   0   0  37  31   5   5   2   0   0 100
M_Torres      34 col  1  2 20 17 30 100 426 152 728  26   7 1713   2   0   0   1  31  36   9   2   8   0   0 100
J_D_Roa       27 col  1  4 19 15 30 100 101 359 170  18   0 1629   0   0   0   1  19  23   1   0   7   0   0 100
R_Aponzá      28 col  1  2 19 16 30 100 881 100 892   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Nieto      25 col  1  2 19 16 30 100 403  64 509  18  11  859   0   0   0   0  15  14   2   3   6   0   0 100
M_Molina      37 col  1  2 18 16 30 100 911 781 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Salazar     22 col  1  3 18 15 30 100 168 332 258  13   0 1212   2   0   0   3  22  23   3   2   5   0   0 100
Jona_Herrera  22 col  1  3 17 14 30 100 141 194 107   6   1  524   0   0   0   2   5   6   0   1   3   0   0 100
Almir_Soto    24 col  1  2 17 15 30 100 127 178 174   6   0  522   0   0   0   1   4   4   2   0   0   0   0 100
Falcao        32 col  1  2  2 22 30 100 510 378 627  32  12 1947   0   0   0   1   2  61   6   0   2   0   0 100
Carlos_Bacca  31 col  1  2  2 22 30 100 662 327 594  38   2 3394   4   0   0   3   3  77  18   2   3   0   0  89
Dorlan_Pabón  30 col  1  2 19 21 30 100 552 888 715  36   5 2481   1   0   0   2  18  52  12   3   5   0   0 100
Victor_Ibarbo 28 col  1  2 11 21 30 100 258 483 602  34   8 2458   3   0   0   3   7  53   9   0   8   0   0 100
Roger_Mtnez   24 col  1  1 14 21 30 100 440 514 572  33  10 2392   4   0   0   1   8  76  23   2   9   0   0 100
Duván_Zapata  27 col  1  2  2 20 30 100 913 913 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Muriel   26 col  1  2  2 20 30 100 920 915 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe_Pardo  27 col  1  2 18 20 30 100 911 911 520   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrián_Ramos  32 col  1  2  2 20 30 100 911 911 490   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Laborde     30 col  1  2 18 20 30 100 908 908  78   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Uribe       30 col  1  2  2 20 30 100 868 868  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ibargüen    26 col  1  1 17 19 30 100 445 501 976  27  14 1270   2   0   0   0   8  26   5   0   0   0   0 100
Santos_Borré  22 col  1  2  2 19 30 100 202 322 862   3   1  210   0   0   0   0   0  12   0   0   0   0   0 100
C_D_Quintero  30 col  1  2  2 19 30 100 879 879 798   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Tréllez     28 col  1  1  1 19 30 100 426 412 710  15   9  872   0   0   0   1   2  22   2   0   1   0   0 100
Wilson_Morelo 31 col  1  1  1 19 30 100  66  66 372  28   5 2031   0   0   0   0   0  27   3   0   2   0   0 100
J_Agudelo     26 col  1  1  1 19 30 100  63  70 317  27   7 1722   1   0   0   0   1  21   6   0   1   0   0 100
J_Lucumí      23 col  1  1 15 19 30 100 461 609 229  32  14 2016   3   0   0   3  22  53   4   2   3   0   0 100
A_Rentería    25 col  1  1 16 19 30 100  95 151 159  24  13 1274   0   0   0   0   5  10   0   1   0   0   0 100
O_Berrío      27 col  1  1 16 19 30 100 440 440  41   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cassierra   20 col  1  2  2 18 30 100 498 498 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Asprilla    26 col  1  1 16 18 30 100 440 440 940   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marlos_Moreno 22 col  1  1 16 18 30 100 409 472 727  21   6 1284   0   0   0   0   6  24   3   1   3   0   0 100
Brayan_Fdez   26 col  1  1  1 18 30 100 100 100 642  11   6  544   0   0   0   0   0  10   1   0   0   0   0 100
Arm_Vargas    30 col  1  1 15 18 30 100 105 112 195   2   1  145   0   0   0   0   1   4   1   0   0   0   0 100
J_Fredy_Pajoy 30 col  1  1 16 18 30 100 100 107 150   2   0  140   0   0   0   0   1   0   0   0   0   0   0 100
G_Torres      22 col  1  1  1 18 30 100 440 440 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
