Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     33 cro 22  1  1  1 30 354 100 100 100  43   0 4036   0 203  74   0   0   0   0   0   1   0   0 100
Lovre_Kalinic 28 cro 20  1  1  1 30 187 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josip_Posavec 22 cro 20  1  1  1 30  16 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrian_Semper 20 cro 19  1  1  1 30 464 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matej_Delac   25 cro 19  1  1  1 30 330 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dejan_Lovren  28 cro  1 22  2  2 30 100 107 308 351  27   0 2499   0   0   0  33   5   8   1   0   3   0   0 100
V_Corluka     32 cro  1 21  2  2 30 100 730 988 958  23   1 2076   0   0   0  27   8   3   0   2   3   0   0 100
Sime_Vrsaljko 26 cro  1 21 13  6 30 100 485   1 698  33   3 3102   1   0   0  40  27  10   1   1   3   0   0 100
Tin_Jedvaj    22 cro  1 21  2  2 30 100 209 481 506  29  10 2221   1   0   0  30   4   8   0   1   0   0   0 100
F_Benkovic    20 cro  1 20  2  2 30 100 720 275 242  24   3 1996   0   0   0  34   2   4   0   0   9   1   0 100
Darijo_Srna   35 cro  1 20 13  8 30 100 450 166 988   3   0  202   0   0   0   3   1   1   0   0   0   0   0 100
Antonio_Milic 24 cro  1 20  2  2 30 100 226 858 858   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mitrovic    24 cro  1 19  2  2 30 100 682 870 870   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Caleta-Car  21 cro  1 19  2  2 30 100 583 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marin_Leovac  29 cro  1 19 10  5 30 100 502 908 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Strinic  30 cro  1 19 10  6 30 100 435 255 198   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Tomecak  28 cro  1 18  9  5 30 100 810 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Milan_Badelj  29 cro  1 18 20  2 30 100 943 881 861   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Radosevic   24 cro  1 16 19  3 30 100 911 296 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Modric   32 cro  1  8 24 16 30 100 389 978 281  29   0 2620   2   0   0   3  81  42   8  10   3   0   0 100
Ivan_Rakitic  30 cro  1  9 23 14 30 100 655 722 395  28   0 2631   4   0   0   8  47  33  11   4  12   0   0 100
Mateo_Kovacic 23 cro  1  8 22 13 30 100 591 675 891  29   1 2583   1   0   0   6  63  37   1   5   3   0   0 100
M_Brozovic    25 cro  1 13 22  8 30 100 821 564 726  34   1 2925   2   0   0   5  77  27   3   5   3   0   0  94
Mario_Pasalic 23 cro  1 12 20  8 30 100 753 763 437  14   1 1251   1   0   0   5  22  11   1   3   1   0   0 100
D_Kreilach    28 cro  1  8 20 12 30 100 909  33 910   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Jugovic     28 cro  1  6 18 12 30 100 145  42 324   4   3  161   0   0   0   0   4   1   0   1   0   0   0 100
Ivan_Perisic  29 cro  1  2 21 20 30 100 335 963 168  17   1 1460   3   0   0   3  24  22   3   2  10   0   0 100
A_Halilovic   21 cro  1  2 20 19 30 100 713 672  62   9   2  655   0   0   0   0   6  18   2   1   1   0   0 100
Marko_Rog     22 cro  1  2 20 18 30 100 352 510 857  32  23 1369   0   0   0   0  32  13   1   2   2   0   0 100
Ante_Coric    21 cro  1  2 20 19 30 100 935 272  47  26  18 1127   1   0   0   2  16  22   4   0   0   0   0 100
Mijo_Caktas   25 cro  1  2 19 17 30 100 911 710 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrija_Balic 20 cro  1  2 19 17 30 100 906 466 944   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marin_Tomasov 30 cro  1  2 19 17 30 100 911   7 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josip_Brekalo 19 cro  1  2 18 15 30 100 148 551 269   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabian_Benko  19 cro  1  2 18 15 30 100 911 420 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mandzukic   31 cro  1  1  1 21 30 100 598 580 846  26   4 2148   0   0   0   1   0  58   7   0   1   0   0 100
N_Kalinic     30 cro  1  2  2 21 30 100 859 859 462   2   0  106   0   0   0   0   0   5   1   0   5   0   0 100
A_Kramaric    26 cro  1  2  2 20 30 100 880 876 903   3   0  282   0   0   0   0   1   5   1   0   0   0   0 100
Marko_Pjaca   22 cro  1  2 17 20 30 100 147 265   8  27  12 1540   0   0   0   1   7  21   1   0   1   0   0 100
Stipe_Perica  22 cro  1  2  2 19 30 100 908 908 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Santini  28 cro  1  2  2 19 30 100 911 911 765   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ante_Rebic    24 cro  1  2 16 19 30 100 911 911 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ante_Budimir  26 cro  1  2  2 19 30 100 911 911 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
