Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  32 ger 25  1  1  1 30 527 100 100 100  45   0 4256   1 239  62   0   0   0   0   0   1   0   0 100
Bernd_Leno    26 ger 24  1  1  1 30 241 100 100 100  44   0 4133   0 238  56   0   0   0   0   0   8   0   0 100
Loris_Karius  24 ger 23  1  1  1 30 640 100 100 100  39   0 3520   1 163  55   0   0   0   0   0   1   0   0 100
Ralf_Fährmann 29 ger 22  1  1  1 30 737 100 100 100  40   0 3779   0 126  51   0   0   0   0   0   1   0   0 100
Kevin_Trapp   27 ger 22  1  1  1 30 613 100 100 100  34   0 2978   0 155  62   0   0   0   0   0   6   4   0 100
M_ter_Stegen  25 ger 22  1  1  1 30 165 100 100 100  27   0 2321   0  88  39   0   0   0   0   0   0   0   0 100
Timo_Horn     24 ger 21  1  1  1 30 988 100 100 100  19   2 1476   0  98  29   0   0   0   0   0   2   0   0 100
Sven_Ulreich  29 ger 20  1  1  1 30 220 100 100 100   7   4  488   0  17   8   0   0   0   0   0   0   0   0 100
R-R_Zieler    29 ger 19  1  1  1 30 789 100 100 100   3   0  287   0  11   7   0   0   0   0   0   1   0   0 100
Weidenfeller  37 ger 19  1  1  1 30 584 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_Starke    37 ger 18  1  1  1 30 870 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wellenreuther 22 ger 18  1  1  1 30 700 100 100 100   3   0  285   0  20   8   0   0   0   0   0   0   0   0 100
Niklas_Lomb   24 ger 18  1  1  1 30 531 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bonmann     24 ger 18  1  1  1 30 101 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Nübel       21 ger 17  1  1  1 30 418  90  90  90   1   1   29   0   0   0   0   0   0   0   0   0   0   0 100
J_Boateng     29 ger  1 23  2  2 30 100 989 683 423  30   3 2651   0   0   0  37   6   6   0   1   1   0   0 100
Philipp_Lahm  34 ger  1 23 20  7 30  98 778 785 711  47   1 3147   1   0   0  41  57  28   2   6  12   0   0  94
Mats_Hummels  29 ger  1 23  2  2 30  79 720 486 388  35   4 2676   0   0   0  35   3   3   0   0   5   0   0 100
Jonathan_Tah  22 ger  1 22  2  2 30 125 873 509 568  39   0 3658   1   0   0  59   6   9   1   1  10   0   0 100
S_Mustafi     25 ger  1 22  2  2 30 100 777 516 634  29   5 2387   1   0   0  33   3   9   2   0   6   2   0 100
Niklas_Süle   22 ger  1 22  2  2 30 100 163 545 386  30   8 2291   0   0   0  35   2   3   0   0   3   3   0 100
Sven_Bender   28 ger  1 21  2  2 30 100 859 457 554  14   0 1288   0   0   0  11   3   1   0   0   0   0   0 100
M_Schmelzer   30 ger  1 21 13  8 30 100 714  52 816  22   0 2006   1   0   0  26  21  12   1   5   7   0   0 100
B_Höwedes     30 ger  1 21  1  1 30 111 665 946 917  28   1 2147   1   1   1  32   3   4   0   0   1   2   0 100
Jonas_Hector  27 ger  1 21 11  6 30 100 651 988 648  34   1 2330   0   0   0  27  24   8   1   2  10   0   0  90
P_Mertesacker 33 ger  1 21  2  2 30 100 608 485 430  26   5 2115   0   0   0  26   4   4   0   0   7   0   0  94
M_Ginter      24 ger  1 21  2  2 30 100 492 407 643  21   0 1983   0   0   0  31   4   8   1   0   1   0   0 100
A_Rüdiger     25 ger  1 21  2  2 30 100 211 121  99  29   9 2060   0   0   0  29   1   3   0   0   2   0   0 100
Erik_Durm     25 ger  1 20 12  6 30 100 980 822 672  22   0 2085   2   0   0  30  23  10   1   3   5   0   0 100
B_Henrichs    21 ger  1 20 12  6 30 100 733 724 616  21   8 1491   2   0   0  16   7   5   0   0   2   0   0 100
Y_Gerhardt    24 ger  1 20 10  6 30 100 430 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Robert_Huth   33 ger  1 20  1  1 30 100 360 677 683  16   0 1493   0   0   0  12   0   5   0   0   7   0   0 100
H_Badstuber   29 ger  1 20  1  1 30 100 123 910 893   4   0  384   0   0   0   3   1   2   0   0   0   0   0 100
D_Schwaab     29 ger  1 19  1  1 30 100 958 958 920  23   5 1830   0   0   0  25   1   3   0   1   3   0   0 100
R_Hilbert     33 ger  1 19 12  6 30 100 873 706 548  14   7  736   0   0   0   3   6   8   0   0  10   0   0 100
D_da_Costa    24 ger  1 19 11  6 30 100 512 404 522   7   7  298   0   0   0   4   0   2   0   0   0   0   0 100
Dennis_Aogo   31 ger  1 19 10  6 30 100 466 244 182   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Westermann  34 ger  1 19  2  2 30 100 401 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Passlack    19 ger  1 19  9  4 30 100   3 882 547  12   0  913   0   0   0  16   8   1   0   0   0   0   0  97
Thilo_Kehrer  21 ger  1 18  2  2 30 100 851 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Riether     35 ger  1 18 10  5 30 100 648 548 549   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Abu_Hanna   20 ger  1 17  2  2 30 100 931 401 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Phil_Neumann  20 ger  1 17 11  6 30 100 578 177 170   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sami_Khedira  30 ger  1 20 23  2 30 100 393 268 495  32   3 2737   1   0   0  24  51   2   0   3   3   0   0 100
Lars_Bender   28 ger  1 20 23  2 30 100 543 212 610  39   0 3592   2   0   0  26  79   6   3   5   8   0   0 100
Julian_Weigl  22 ger  1 19 22  3 30 100 166 986 674  25   0 2308   2   0   0  25  56  12   0   8   6   0   0 100
