Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  19 ita 23  1  1  1 30 710 100 100 100  46   0 4314   0 166  57   0   0   0   0   0   1   0   0 100
G_Buffon      40 ita 23  1  1  1 30 178 100 100 100  33   0 2858   0 149  58   0   0   0   0   0  12   0   0 100
Mattia_Perin  25 ita 22  1  1  1 30 857 100 100 100  37   0 3322   0 117  43   0   0   0   0   0   7   0   0 100
E_Viviano     32 ita 21  1  1  1 30 270 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sportiello  25 ita 21  1  1  1 30 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Meret    21 ita 20  1  1  1 30 340 100 100 100   7   2  579   0  20   8   0   0   0   0   0   1   0   0 100
S_Scuffet     21 ita 20  1  1  1 30 263 100 100 100   5   0  510   0  10   3   0   0   0   0   0   0   0   0 100
F_Marchetti   35 ita 20  1  1  1 30  41 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nicola_Leali  25 ita 19  1  1  1 30 581 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luigi_Sepe    26 ita 19  1  1  1 30 432 100 100 100   7   2  616   0   9   4   0   0   0   0   0   0   0   0 100
M_De_Sanctis  41 ita 19  1  1  1 30 430 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marco_Storari 41 ita 19  1  1  1 30 243 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emil_Audero   21 ita 19  1  1  1 30 152 100 100 100   2   0  189   0   6   3   0   0   0   0   0   0   0   0 100
A_Plizzari    18 ita 17  1  1  1 30 850 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommaso_Berni 35 ita 17  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Chiellini   33 ita  1 23  2  2 30 110 243 509 528  27   3 2286   0   0   0  31   8   7   0   1  10   0   0 100
