Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Ochoa       32 mex 21  1  1  1 30 152 100 100 100   1   0   95   0   5   1   0   0   0   0   0   0   0   0 100
J_Orozco      31 mex 20  1  1  1 30 201 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodolfo_Cota  31 mex 19  1  1  1 30 740 100 100 100  35   0 3237   1 180  71   0   0   0   0   0   2   0   0 100
C_Rodríguez   29 mex 19  1  1  1 30 631 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Talavera    35 mex 19  1  1  1 30 523 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_de_J_Corona 37 mex 19  1  1  1 30 304 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Saldívar    28 mex 19  1  1  1 30  78 100 100 100  38   0 3463   0 145  73   0   0   0   0   0   2   1   0 100
Ó_Jiménez     30 mex 18  1  1  1 30 774 100 100 100  12   3 1037   0  26  11   0   0   0   0   0   0   0   0 100
Raúl_Gudiño   22 mex 18  1  1  1 30 767 100 100 100   2   0  189   0  20   4   0   0   0   0   0   0   0   0 100
Ant_Rodríguez 26 mex 18  1  1  1 30 324 100 100 100   5   2  363   0  11   6   0   0   0   0   0   0   0   0 100
M_Jiménez     28 mex 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Pineda   26 mex 17  1  1  1 30 640 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Magaña      25 mex 17  1  1  1 30 509 100 100 100   6   2  523   0  12   8   0   0   0   0   0   0   0   0 100
Edu_Fernández 26 mex 17  1  1  1 30 395 100 100 100   6   1  565   0  29  14   0   0   0   0   0   0   0   0 100
José_Castillo 23 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Torres      22 mex 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Layún  29 mex  1 21 12  8 30 100 829 629  47  34   0 2313   0   0   0  35  19   5   1   1   7   0   0 100
Héctor_Moreno 30 mex  1 21  2  2 30 100 759 386 397  29   2 2503   0   0   0  46   4   5   1   1   8   0   0 100
Diego_Reyes   25 mex  1 20  2  2 30 100 761 892 910   2   0  134   0   0   0   3   0   1   0   0   5   0   1 100
C_Salcedo     24 mex  1 20  2  2 30 100 493 873 873   3   1  218   0   0   0   4   0   0   0   0   0   0   0 100
César_Montes  21 mex  1 20  2  2 30 100 268 663 659  24   0 1706   0   0   0  18   1   2   0   0   3   0   0 100
Paul_Aguilar  32 mex  1 19 11  7 30 100 990 569 316  29   1 2529   2   0   0  28  19  17   1   1  10   0   0 100
Néstor_Araujo 26 mex  1 19  2  2 30 100 874 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Érick_Aguirre 21 mex  1 19 10  6 30 100 809 916 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Salcido     38 mex  1 19  1  1 30 100 658  65  58  27   2 1968   0   0   0  39   1   0   0   0   6   0   0 100
Luis_Fuentes  32 mex  1 19 11  7 30 100 614 449 509  24   0 2213   0   0   0  28  27  13   2   1   8   0   0 100
Jorge_Torres  30 mex  1 19 11  7 30 100 608 464 130  31   2 2776   2   0   0  34  32  13   1   7   6   0   0 100
Jesús_Sánchez 29 mex  1 19 11  7 30 100 556 254 139  23   0 2068   1   0   0  28  18  12   1   2   2   0   0 100
Raúl_López    25 mex  1 19 10  5 30 100 517 638 569  24   3 2005   1   0   0  29  13   6   0   0   7   0   0 100
Luis_Rdguez   27 mex  1 19 11  7 30 100 515 273  99  33  11 2377   1   0   0  33  26  10   0   1   5   0   0 100
F_Navarro     28 mex  1 19 11  7 30 100 506 913 906   2   1   87   0   0   0   1   1   0   0   0   5   0   0 100
J_Domínguez   30 mex  1 19  2  2 30 100 501 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Edwin_Hdez    32 mex  1 19 11  7 30 100 470 233 240  22   0 1896   0   0   0  18  13  13   3   2   0   0   0 100
I_Jiménez     29 mex  1 19 11  7 30 100 385 205  97  30  13 1848   2   0   0  23  14  10   0   2  15   0   0 100
Hiram_Mier    28 mex  1 19  2  2 30 100 370 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Velarde     31 mex  1 19 11  6 30 100 290 908 913   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Rodríguez   32 mex  1 19 10  5 30 100 281 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_van_Rankin  25 mex  1 19 11  6 30 100 192 369 486  23   3 2003   0   0   0  25  20  16   1   0   3   0   0 100
O_Alanís      29 mex  1 19  1  1 30 100 130 300 300   9   5  496   0   0   0   8   0   0   0   0   0   0   0 100
Alan_Mendoza  25 mex  1 19 11  6 30 100  84 473 440   1   0   96   0   0   0   4   1   0   0   1   0   0   0 100
Hugo_Ayala    31 mex  1 18  1  1 30 100 942  90  91  23  14 1296   0   0   0  12   0   1   0   0   0   0   0 100
Jair_Pereira  32 mex  1 18  1  1 30 100 696  85  78  23   7 1696   0   0   0  18   1   0   0   0   1   0   0 100
Edson_Álvarez 21 mex  1 18  1  1 30 100 453 438 261   9   4  575   0   0   0   2   1   0   0   0   7   0   0 100
J_I_Estrada   35 mex  1 18 11  6 30 100 334 144  91   7   4  430   0   0   0   4   4   1   0   1   0   0   0 100
Luis_Quintana 26 mex  1 18  1  1 30 100 167 255 413  20   3 1624   0   0   0  18   1   0   0   0   6   0   0 100
Carlos_Vargas 19 mex  1 18  1  1 30 100  62 457 280   4   2  265   0   0   0   1   1   0   0   0   0   0   0 100
H_Marín       25 mex  1 18  1  1 30 100  59  98  82  23   9 1613   1   0   0  27   3   1   0   0   4   0   0 100
Alan_Mozo     21 mex  1 18 10  6 30 100  49 476 527  22   4 1908   1   0   0  24  23  14   2   2   2   0   0 100
Rodrigo_Glez  23 mex  1 18  1  1 30 100  29 250 389  20   2 1725   0   0   0  30   3   0   0   0   8   0   0 100
M_Basulto     26 mex  1 17  1  1 30 100 888  95 103  22  11 1362   0   0   0  20   1   2   0   0   6   0   0 100
Pablo_Jáquez  23 mex  1 17  1  1 30 100 840 440 440   1   1   38   0   0   0   0   0   0   0   0   0   0   0 100
