Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Pedro_Gallese 28 per 20  1  1  1 30 850 100 100 100   8   1  702   0  18   6   0   0   0   0   0   0   0   0 100
Carlos_Cáceda 26 per 19  1  1  1 30 630 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Carvallo 32 per 19  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leao_Butrón   41 per 19  1  1  1 30 432 100 100 100  40   0 3712   0 149  66   0   0   0   0   0   8   0   0 100
Daniel_Prieto 23 per 18  1  1  1 30 201 100 100 100   2   1  187   1  12   1   0   0   0   0   0   0   0   0 100
Ángelo_Campos 25 per 17  1  1  1 30 454 100 100 100   1   0   96   0   0   1   0   0   0   0   0   0   0   0 100
C_Ramos       29 per  1 21  2  2 30 100  66 844 892  27   5 2290   0   0   0  28   3   8   0   0   2   0   0 100
L_Advíncula   28 per  1 21 12  7 30 100  39  18  49  25   0 2104   0   0   0  26  27  20   3   2   8   0   0 100
C_Zambrano    28 per  1 20  2  2 30 100 806 891 891   3   0  281   0   0   0   3   1   1   0   0   0   0   0 100
A_Rodríguez   34 per  1 19  2  2 30 100 786 875 885   2   0  188   0   0   0   3   0   0   0   0   0   0   0 100
Carlos_Ascues 26 per  1 19 15  1 30 100 759 820 410  25   1 2314   1   0   0  23  43   1   0   5   3   0   0 100
Luis_Abram    22 per  1 19  2  2 30 100 430 911 911   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Cuba  26 per  1 19 10  7 30 100 380 925 912   1   0   93   0   0   0   1   2   1   0   0   0   0   0 100
H_Riojas      27 per  1 19  1  1 30 100 300 391 383  21   2 1938   1   0   0  33   2   1   0   0   9   0   0 100
Miguel_Trauco 26 per  1 19 11  6 30 100 279 488 405  26   9 1798   0   0   0  19  15   6   0   0  11   0   0 100
