Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Hopf        30 swe 20  1  1  1 30 459 100 100 100   2   0  187   0   9   4   0   0   0   0   0   0   0   0 100
K-J_Johnsson  28 swe 19  1  1  1 30 991 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Lindelöf    23 swe  1 21  2  2 30 100 594 452 467  22   5 1573   0   0   0  22   2   5   1   0  13   0   0 100
A_Granqvist   32 swe  1 21  2  2 30 100 315 593 578  29   4 2472   0   0   0  30   2   3   0   0   3   0   0  98
Oscar_Wendt   32 swe  1 20 10  6 30 100 747 945 868   1   0   93   0   0   0   0   2   0   0   0   1   0   0 100
P_Jansson     27 swe  1 20  2  2 30 100 699 864 864   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
Martin_Olsson 29 swe  1 20 12  6 30 100 302 903 897   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
F_Helander    24 swe  1 20  2  2 30 100 284 889 873   1   0   94   0   0   0   2   0   0   0   0   0   0   0 100
A_Tinnerholm  27 swe  1 20 11  7 30 100  98 453 478  36   2 2504   1   0   0  27  23  13   1   2  10   0   1 100
Niklas_Hult   28 swe  1 20 13  7 30 100  38  25 877   1   0   94   0   0   0   2   0   3   0   0   0   0   0 100
E_Johansson   29 swe  1 20  2  2 30 100  11 881 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ludwig_A      23 swe  1 19 11  6 30 100 946 961 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emil_Krafth   23 swe  1 19 11  6 30 100 782 965 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pierre_B      29 swe  1 19 11  6 30 100 760 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Johan_Larsson 27 swe  1 19 11  6 30 100 728 899 899   2   0  189   0   0   0   3   0   0   0   0   1   0   0 100
Mikale_Lustig 31 swe  1 19 10  5 30 100 690 901 901   2   0  112   0   0   0   3   0   0   0   0   5   0   0 100
Rasmus_B      31 swe  1 19  2  2 30 100 528 909 909   1   0   95   0   0   0   0   0   0   0   0   1   0   0 100
Jonas_Olsson  35 swe  1 19  2  2 30 100 512 922 908   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
M_Bjarsmyr    32 swe  1 19  2  2 30 100 411 911 911   1   0   95   0   0   0   1   0   0   0   0   0   0   0 100
Rasmus_Elm    30 swe  1 18 20  3 30 100  83 744 891   1   0   93   0   0   0   0   0   0   0   0   0   0   0 100
A_Fransson    24 swe  1 16 20  3 30 100 967   1 955   1   0   94   0   0   0   0   6   0   0   0   0   0   0 100
Marcus_Rohdén 26 swe  1 16 19  3 30 100 955 761 906   2   0  189   0   0   0   1   2   0   0   0   1   0   0 100
Oscar_Lewicki 25 swe  1 17 19  2 30 100 933 715 909   2   0  189   0   0   0   2   1   0   0   0   1   0   0 100
S_Larsson     32 swe  1  8 20 12 30 100 885 179 895   1   0   93   0   0   0   0   0   0   0   0   1   0   0 100
S_Tibbling    23 swe  1 12 20  7 30 100 865  39 857   3   0  283   0   0   0   1   1   3   0   0   1   0   0 100
E_Forsberg    26 swe  1  2 21 19 30 100 331 275 931  18   3 1436   1   0   0   1  15  27   5   2   1   0   0 100
V_Claesson    26 swe  1  2 19 17 30 100 900 872 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Simon_Hedlund 25 swe  1  2 19 17 30 100 901 474 918   1   0   84   0   0   0   0   0   2   0   0   5   0   0 100
R-P_Lundqvist 20 swe  1  1 18 15 30 100 938 153 208  12   7  662   0   0   0   0   6  12   1   0   0   0   0 100
Z_Ibrahimovic 36 swe  1  2  2 23 30 100 469 509 950  29   0 2743   4   0   0   2   1 102  19   0   1   0   0 100
Marcus_Berg   31 swe  1  2  2 20 30 100 885 858 812   1   0   94   0   0   0   0   0   1   0   0   0   0   0 100
J_Guidetti    25 swe  1  2  2 20 30 100 844 844 747   1   0   94   0   0   0   0   0   3   0   0   0   0   0 100
Sam_Larsson   24 swe  1  2 17 20 30 100 890 899 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ola_Toivonen  31 swe  1  2  2 19 30 100 911 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Armenteros  27 swe  1  2  2 19 30 100 911 911 710   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Hrgota      25 swe  1  2  2 19 30 100 900 900 701   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Gerndt   31 swe  1  2  2 19 30 100 911 911 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Nyman       25 swe  1  2  2 19 30 100 911 911 455   2   0  189   0   0   0   0   0   0   0   0   0   0   0 100
A_Isak        18 swe  1  1  1 19 30 100 571 517 127  26   2 2310   0   0   0   0   1  42   3   0   7   0   0 100
M_Rosenberg   35 swe  1  2  2 18 30 100 911 911 950   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
