Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Hennessey   31 wal 20  1  1  1 30 713 100 100 100   5   0  476   0  12   5   0   0   0   0   0   0   0   0 100
Chris_Maxwell 27 wal 19  1  1  1 30 270 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Boaz_Myhill   35 wal 18  1  1  1 30 956 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Davies    24 wal  1 21 10  6 30 111 973 760 761  36   7 2727   0   1   1  39  17  14   2   0   2   0   0 100
A_Williams    33 wal  1 21  1  1 30 111 238 436 418  34   4 2972   0   0   0  36   5   4   1   0  11   0   0 100
James_Collins 34 wal  1 20  2  2 30 100 454 841 824   2   0  189   0   0   0   3   0   0   0   0   0   0   0 100
Chris_Gunter  28 wal  1 19 11  6 30 100 716 936 912   3   0  196   0   0   0   3   2   1   0   0   0   4   0 100
Adam_Matthews 26 wal  1 19 11  6 30 100 701 862 828   1   0   93   0   0   0   2   2   0   0   0   0   0   0 100
Paul_Dummett  26 wal  1 19 11  6 30 100 577 872 794   2   1  133   0   0   0   1   2   2   0   0   0   0   0 100
Joel_Lynch    30 wal  1 19  2  2 30 100 532 906 906   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jazz_Richards 26 wal  1 19 10  5 30 100 462 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rhoys_Wiggins 30 wal  1 19 10  5 30 100 250 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Craig_Morgan  32 wal  1 19  2  2 30 100 150 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Ledley    31 wal  1 18 20  3 30 100  74 350 877   4   0  294   0   0   0   3  11   0   0   1   5   0   0 100
Emyr_Huws     24 wal  1 16 19  3 30 100 944 233 886   4   1  291   0   0   0   3  10   0   0   1   0   0   0 100
S_MacDonald   29 wal  1 17 19  2 30 100 934   7 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Vaughan 35 wal  1 17 18  2 30 100 934 444 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aaron_Ramsey  27 wal  1  9 23 13 30 100 537 380 228  29   2 2469   1   0   0   2  62  40   5   7   0   0   0 100
Joe_Allen     28 wal  1 12 20  9 30 100  37 794 879   4   0  383   0   0   0   1  11   4   0   0   2   0   0 100
Andrew_Crofts 33 wal  1 11 19  8 30 100 838  78 838   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andy_King     29 wal  1 10 18  7 30 100 827 766 785  14   1 1125   0   0   0   1  27   8   0   1   2   0   0 100
J_Williams    24 wal  1  2 19 17 30 100 853 993 985   5   4  197   0   0   0   0   5   3   1   0   0   0   0 100
Tom_Lawrence  24 wal  1  2 19 17 30 100 831 827  48   5   1  334   1   0   0   0   5  11   2   1   0   0   0 100
D_Cotterill   30 wal  1  2 19 16 30 100 875 459 833   1   0   72   0   0   0   1   1   2   0   0   0   0   0 100
L_Isgrove     25 wal  1  2 19 16 30 100 911 101 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   28 wal  1  2 21 25 30 100 397 896 377  44   3 3035   8   0   0   0  10 130  24   0  12   0   0  88
Sam_Vokes     28 wal  1  2  2 19 30 100 776 790 843   4   3  122   0   0   0   0   0   6   0   0   0   0   0 100
Tom_Bradshaw  25 wal  1  2  2 19 30 100 890 885 205   1   1   11   0   0   0   0   0   0   0   0   0   0   0 100
H_Robson-Kanu 28 wal  1  2 16 18 30 100 830 873 932   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Steve_Morison 34 wal  1  2  2 18 30 100 868 875 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
