Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alban_Lafont  18 fra 21  1  1  1 30 903 100 100 100  45   0 4261   1 225  81   0   0   0   0   0   1   0   0 100
André_Onana   20 cmr 19  1  1  1 30 172 100 100 100   1   1   19   0   3   1   0   0   0   0   0   0   0   0 100
N_Alblas      22 ned 17  1  1  1 30 221 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Meré    19 esp  1 20  1  1 30 100 130 427 423  25   0 2368   0   0   0  41   0   1   0   0   3   0   0  88
F_Benkovic    19 cro  1 20  2  2 30 100  77 251 220  23   0 2169   1   0   0  33   5   3   0   0   2   0   0  88
T_Hernández   19 fra  1 19 10  5 30 100 972 162 782  19   0 1792   0   0   0  24  19  10   0   1   5   0   0 100
Malang_Sarr   18 fra  1 19  1  1 30 100 678 515 528  22   0 2042   1   0   0  30   3   4   0   0   3   0   0 100
A_Rahman_Baba 22 gha  1 19 11  5 30 100 515 705 495   4   2  287   0   0   0   3   5   0   0   1   2   0   0 100
O_Boscagli    19 fra  1 19  9  4 30 100 114 780 495  27   0 2198   0   0   0  38  20   5   0   1  12   0   0  88
M_de_Ligt     17 ned  1 18  1  1 30 100 776 516 480  19   0 1761   0   0   0  26   4   3   0   0   3   0   0 100
F_Passlack    18 ger  1 18  9  4 30 100 515 744 506  20   0 1860   0   0   0  24  16  11   0   2   3   0   0 100
Alec_Georgen  18 fra  1 18  9  5 30 100 238 446 272  24   0 2194   0   0   0  36  25   9   1   2   8   0   1 100
A_Diawara     19 gui  1 18 19  1 30 100 131 980 776  21   0 1984   0   0   0  13  43   5   0   4   8   0   0  88
T_Fosu-Mensah 19 ned  1 15 19  2 30 100 899  67 523  23   0 2178   0   0   0  16  37   3   0   1  10   0   0 100
André_Horta   20 por  1  7 20 12 30 100 982 273 503  25   0 2368   3   0   0   1  49  32   8   5   2   0   0  88
L_Pellegrini  20 ita  1 11 20  9 30 100 304 112 309  22   3 1834   0   0   0   4  26  13   1   5   0   0   0 100
Renato_S      19 por  1  7 19 11 30 100 677 769 722  20   1 1845   0   0   0   7  31  13   1   0   4   0   0 100
C_Nkunku      19 fra  1  8 19 11 30 100 142 264 420  22   0 2100   0   0   0   6  34  29   3   2   1   0   0  88
F_de_Jong     19 ned  1  8 18  9 30 100 709 613 597  16   0 1511   0   0   0   8  32  17   0   2   1   0   0 100
M_Odegaard    18 nor  1  1 18 17 30 100 904 881 117  22   0 2100   1   0   0   2  23  35   5   0   2   0   0  88
Kai_Havertz   17 ger  1  1 18 15 30 100 472 269 806  22   0 2082   0   0   0   0  28  28   1   0   4   0   0 100
K_Dolberg     19 den  1  1  1 19 30 100 452 486 867  24   1 2175   3   0   0   0   1  71  13   0   3   0   0 100
L_Martínez    18 arg  1  1  1 18 30 100 496 456 721  22   0 2037   1   0   0   1   0  51   5   0  14   0   2 100
A_Isak        17 swe  1  1  1 18 30 100 550 489 544  24   0 2290   2   0   0   2   0  53   6   0   3   0   0 100
J_Kluivert    17 ned  1  1 15 18 30 100 510 645 465  25   0 2368   1   0   0   1  15  63   3   0   3   0   0  88
