Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Leao_Butrón   41 per 18  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Prieto 23 per 17  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ángelo_Campos 25 per 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Ascues 26 per  1 19 15  1 30 100 200 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Riojas      27 per  1 18  1  1 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Gambetta    27 per  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Garro    22 per  1 18 11  6 30 100 320 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Godoy 30 uru  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Araujo 24 per  1 18  1  1 30 100 200 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Duclós      22 per  1 17 10  6 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Guidino  22 per  1 17 10  6 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Marina   21 per  1 17 10  6 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomás_Costa   33 arg  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fuentes     20 per  1 15 17  2 30 100 100 350 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Cotrina  21 per  1 14 17  3 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Ramírez  34 per  1 12 19 12 30 100 100 630 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Cruzado     34 per  1 12 19 12 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Óscar_Vilchez 32 per  1 10 19 11 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Lemos    25 uru  1 10 17  7 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Hohberg     27 per  1  2 18 16 30 100 100 400 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Velarde 28 per  1  3 18 15 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Leyes 28 uru  1  1  1 18 30 100 100 100 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Janio_Pósito  29 per  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Quevedo 21 per  1  1 15 17 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Ramírez     20 per  1  1 15 17 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Ferreyra    19 per  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
