Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  32 ger 25  1  1  1 30 527 100 100 100  45   0 4256   1 239  62   0   0   0   0   0   1   0   0 100
Hugo_Lloris   31 fra 24  1  1  1 30 927 100 100 100  40   0 3670   0 234  50   0   0   0   0   0   0   0   0 100
David_de_Gea  27 esp 24  1  1  1 30 818 100 100 100  43   0 4009   0 184  68   0   0   0   0   0   2   0   0 100
Bernd_Leno    26 ger 24  1  1  1 30 241 100 100 100  44   0 4133   0 238  56   0   0   0   0   0   8   0   0 100
T_Courtois    25 bel 24  1  1  1 30 219 100 100 100  43   0 3994   0 298  98   0   0   0   0   0   2   2   0 100
Roman_Bürki   27 sui 23  1  1  1 30 946 100 100 100  24   0 2226   0 139  36   0   0   0   0   0   1   0   0 100
Jan_Oblak     25 svn 23  1  1  1 30 778 100 100 100  42   0 3985   0 178  74   0   0   0   0   0   1   0   0 100
S_Handanovic  33 svn 23  1  1  1 30 777 100 100 100  41   0 3718   0 221  82   0   0   0   0   0   3   0   0 100
G_Donnarumma  19 ita 23  1  1  1 30 710 100 100 100  46   0 4314   0 166  57   0   0   0   0   0   1   0   0 100
Loris_Karius  24 ger 23  1  1  1 30 640 100 100 100  39   0 3520   1 163  55   0   0   0   0   0   1   0   0 100
Claudio_Bravo 34 chi 23  1  1  1 30 282 100 100 100  48   0 4463   1 272 102   0   0   0   0   0   7   0   0 100
Ederson       24 bra 23  1  1  1 30 203 100 100 100  39   0 3588   0  97  37   0   0   0   0   0   2   1   0 100
G_Buffon      40 ita 23  1  1  1 30 178 100 100 100  33   0 2858   0 149  58   0   0   0   0   0  12   0   0 100
W_Szczesny    27 pol 23  1  1  1 30  83 100 100 100  38   1 3501   0 190  50   0   0   0   0   0  12   0   0 100
Mattia_Perin  25 ita 22  1  1  1 30 857 100 100 100  37   0 3322   0 117  43   0   0   0   0   0   7   0   0 100
Sergio_Rico   24 esp 22  1  1  1 30 849 100 100 100  33   0 3121   0 162  54   0   0   0   0   0   0   0   0 100
Sergio_Asenjo 28 esp 22  1  1  1 30 843 100 100 100  44   0 4163   0 184  61   0   0   0   0   0   3   0   0 100
Ralf_Fährmann 29 ger 22  1  1  1 30 737 100 100 100  40   0 3779   0 126  51   0   0   0   0   0   1   0   0 100
Jeroen_Zoet   27 ned 22  1  1  1 30 651 100 100 100  40   0 3712   0 218  83   0   0   0   0   0   5   0   0 100
Rui_Patrício  30 por 22  1  1  1 30 646 100 100 100  41   4 3689   0 177  75   0   0   0   0   0   2   0   0 100
Kevin_Trapp   27 ger 22  1  1  1 30 613 100 100 100  34   0 2978   0 155  62   0   0   0   0   0   6   4   0 100
Diego_Alves   32 bra 22  1  1  1 30 565 100 100 100  46   1 4226   0 167  60   0   0   0   0   0   2   1   0 100
Alban_Lafont  19 fra 22  1  1  1 30 550 100 100 100  41   0 3831   0 257  93   0   0   0   0   0   3   0   0 100
G_Rulli       25 arg 22  1  1  1 30 453 100 100 100  40   0 3704   0 160  74   0   0   0   0   0   2   0   0 100
D_Subasic     33 cro 22  1  1  1 30 354 100 100 100  43   0 4036   0 203  74   0   0   0   0   0   1   0   0 100
Joe_Hart      30 eng 22  1  1  1 30 302 100 100 100   3   0  269   0  10   7   0   0   0   0   0   0   5   0 100
Y_Cardinale   24 fra 22  1  1  1 30 223 100 100 100  39   0 3600   0 140  52   0   0   0   0   0   3   0   0 100
M_ter_Stegen  25 ger 22  1  1  1 30 165 100 100 100  27   0 2321   0  88  39   0   0   0   0   0   0   0   0 100
Timo_Horn     24 ger 21  1  1  1 30 988 100 100 100  19   2 1476   0  98  29   0   0   0   0   0   2   0   0 100
S_Ruffier     31 fra 21  1  1  1 30 945 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Schmeichel  31 den 21  1  1  1 30 924 100 100 100  45   0 4287   0 215  85   0   0   0   0   0   1   0   0 100
F_Muslera     31 uru 21  1  1  1 30 915 100 100 100   2   1  168   0  10  10   0   0   0   0   0   1   0   0 100
Petr_Cech     35 cze 21  1  1  1 30 892 100 100 100  31   2 2788   0 140  54   0   0   0   0   0   2   0   0 100
Arrizabalaga  23 esp 21  1  1  1 30 738 100 100 100  41   0 3841   0 179  75   0   0   0   0   0   7   0   0 100
Asmir_Begovic 30 bih 21  1  1  1 30 700 100 100 100  16   4 1370   0  82  33   0   0   0   0   0   3   0   0 100
Jack_Butland  25 eng 21  1  1  1 30 692 100 100 100  36   0 3068   0 122  36   0   0   0   0   0  10   0   0 100
S_Mandanda    33 fra 21  1  1  1 30 683 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yann_Sommer   29 sui 21  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anthony_Lopes 27 por 21  1  1  1 30 448 100 100 100  36   0 3367   1 166  76   0   0   0   0   0   2   0   0 100
O_Karnezis    33 gre 21  1  1  1 30 394 100 100 100   5   0  451   1  16   3   0   0   0   0   0   0   1   0 100
Benoît_Costil 30 fra 21  1  1  1 30 360 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Keylor_Navas  31 crc 21  1  1  1 30 283 100 100 100   7   2  544   0  45  12   0   0   0   0   0   0   0   0 100
M_Ángel_Moyá  33 esp 21  1  1  1 30 277 100 100 100   4   1  381   0  20   3   0   0   0   0   0   0   0   0 100
A_Aréola      25 fra 21  1  1  1 30 273 100 100 100  11   1  764   0  21   7   0   0   0   0   0   0   0   0 100
E_Viviano     32 ita 21  1  1  1 30 270 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Cillessen   28 ned 21  1  1  1 30 224 100 100 100  16   4 1329   0  42  15   0   0   0   0   0   0   0   0 100
