Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Marchesín   30 arg 20  1  1  1 30 698 100 100 100  30   0 2677   0  97  36   0   0   0   0   0   1   0   0 100
Ó_Jiménez     30 mex 18  1  1  1 30 774 100 100 100  12   3 1037   0  26  11   0   0   0   0   0   0   0   0 100
Drew_Moor     34 usa  1 20  1  1 30 100 262 461 249  35   1 2144   0   0   0  22   1   1   0   1   1   0   0 100
Paul_Aguilar  32 mex  1 19 11  7 30 100 990 569 316  29   1 2529   2   0   0  28  19  17   1   1  10   0   0 100
Bruno_Valdez  26 par  1 19  1  1 30 100 701 425 256  30   1 2744   1   0   0  25   2   3   0   0  12   0   0 100
Ema_Aguilera  29 arg  1 19  1  1 30 100 293 403 233  26   5 1965   0   0   0  17   0   0   0   0   6   0   0 100
Nick_Hagglund 26 usa  1 19  1  1 30 100 146 404 227  27   7 1978   0   0   0  12   1   0   0   0  14   0   0 100
Todd_Kane     24 eng  1 18 10  5 30 100 822 951 584  27  12 1819   0   0   0  26  11   2   0   1   1   0   0 100
Milton_Casco  30 arg  1 18 11  6 30 100 627 500 271  16   8 1095   0   0   0   7  10   3   0   0   0   0   0 100
Edson_Álvarez 21 mex  1 18  1  1 30 100 453 438 261   9   4  575   0   0   0   2   1   0   0   0   7   0   0 100
Carlos_Vargas 19 mex  1 18  1  1 30 100  62 457 280   4   2  265   0   0   0   1   1   0   0   0   0   0   0 100
Diego_Arias   33 col  1 16 19  3 30 100 702 735 278  32   8 2509   0   0   0  21  34   7   0   1   3   0   0 100
N_Chalobah    23 eng  1 16 19  2 30 100 178 459 500  24   7 1727   1   0   0  13  33   4   1   5   7   0   0 100
Andrea_Pirlo  39 ita  1 14 21  8 30 100   1 664 528  34   0 2506   0   0   0   7  40  14   2   2   4   0   0 100
Mateus_Uribe  27 col  1 11 19  8 30 100 546 701 327  33   6 2598   2   0   0   7  35  15   1   2  10   0   0 100
Joe_Corona    28 usa  1 10 19 10 30 100 509 127 299  23   7 1728   1   0   0   5  25   7   1   2   3   0   0 100
Ager_Aketxe   25 esp  1  3 19 16 30 100 440 682 548  23   0 2167   1   0   0   1  26  42   7   2   3   0   0 100
C_Domínguez   24 par  1  2 18 16 30 100 472 981 381  15   1 1306   3   0   0   1  29  22   2   7   0   0   0 100
Diego_Lainez  18 mex  1  1 17 16 30 100 440 640 326   3   1  212   0   0   0   0   0   6   1   0   0   0   0 100
I_Scocco      33 arg  1  1 14 21 30 100 454 535  24  32   2 2655   2   0   0   1   9  63  12   2   7   0   0 100
Breel_Embolo  21 sui  1  1 18 20 30 100 961 250 866  36   7 2518   3   0   0   0  12  49  10   2   0   0   0 100
A_Ibargüen    26 col  1  1 17 19 30 100 445 501 976  27  14 1270   2   0   0   0   8  26   5   0   0   0   0 100
Jozy_Altidore 29 usa  1  1  1 19 30 100 467 494 744  16  12  732   0   0   0   2   8  17   1   0   1   0   0 100
