Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     34 cze 22  1  1  1 30 265 100 100 100   9   0  828   0  32   9   0   0   0   0   0   0   0   0 100
Timo_Horn     23 ger 21  1  1  1 30 420 100 100 100  30   0 2808   1 130  44   0   0   0   0   0   1   0   0 100
Sergio_Romero 30 arg 20  1  1  1 30 113 100 100 100   6   3  422   1  15   4   0   0   0   0   0   0   0   0 100
Javi_Martínez 28 esp  1 21 20  1 30 100 968 140 948  31   3 2693   2   0   0  42  47   3   0   2   7   0   0  88
L_Koscielny   31 fra  1 21  1  2 30  90 867 989  36  29   3 2246   0   0   0  29   4   5   1   0   9   0   0 100
H_Bellerín    22 esp  1 21 12  7 30 100 284 505 302  27   1 2493   0   0   0  33  21  18   2   2   3   0   0 100
S_de_Vrij     25 ned  1 21  1  1 30 100  33 996 949  25   1 2209   0   0   0  24   1   3   0   0  10   0   0 100
Kieran_Gibbs  27 eng  1 20 12  6 30  82 374 218  41  24   1 2201   1   0   0  30  17  15   1   0   3   0   0  88
N_N'Koulou    27 cmr  1 20  1  1 30 100  30 681 585  27   0 2553   0   0   0  32   2   4   0   0   8   0   0 100
L_Hernández   21 fra  1 19  1  1 30 100 824 966 974  24   2 2252   0   0   0  23   2   2   0   0   3   0   0  88
Molla_Wague   26 mli  1 19  1  1 30 100 598 638 700  19   0 1613   0   0   0  28   0   3   1   0  11   0   0  88
F_Coquelin    25 fra  1 19 21  2 30 100 177 278  47  22   1 1994   2   0   0  13  49   4   1   7   2   0   0 100
M_Elneny      24 egy  1 18 20  2 30 100 131 148   7  23   2 2048   1   0   0  19  44   3   1   7   6   0   0  88
C_Kramer      26 ger  1 17 20  1 30 100 704  27 445  18   0 1643   0   0   0  11  49   5   0   4  11   0   0  88
Arturo_Vidal  29 chi  1 11 22 11 30 100 128 622 265  22   0 2061   1   0   0   4  37  20   0   1   2   0   0 100
Juraj_Kucka   30 svk  1 13 20  7 30 100  94 374  56  20   0 1805   0   0   0   4  48  21   2   6   5   0   1  88
Mario_Lemina  23 gab  1 13 19  7 30 100 106 939  90  16   3 1297   1   0   0   6  15   8   0   3   1   0   0 100
M_Fernández   30 chi  1  6 19 12 30 100 445 491 543  15   1 1414   0   0   0   3  21  15   1   2   3   0   0 100
Mesut_Özil    28 ger  1  1 23 21 30 100 765 729   9  33   0 3064   5   0   0   0  64  80   8   6   8   0   0 100
J_Pastore     27 arg  1  1 21 19 30 100 611  76 514  25   2 2209   1   0   0   1  32  66  10   4  10   0   2  88
E_Forsberg    25 swe  1  2 20 19 30 100 140 818 550  26   1 2295   1   0   0   0  49  41   8   7   4   0   0 100
Theo_Walcott  28 eng  1  1 20 17 30 100 544 337 965  10   1  851   2   0   0   0  14  14   2   1   6   0   0 100
Diego_Perotti 28 arg  1  1 19 17 30 100 316 859 700  12   0 1174   0   0   0   0  15  10   0   2   2   0   0 100
V_Jugovic     27 cro  1  6 17 12 30 100 104 907 276  14   0 1366   1   0   0   6  14  13   2   0   2   0   0 100
A_Yarmolenko  28 ukr  1  2 20 21 30 100 290 378  96  18   1 1524   0   0   0   0  10  48   6   0   4   0   0 100
A_Belotti     23 ita  1  2  2 20 30 100 115  81 887  20   1 1777   0   0   0   1   0  50   9   0   8   0   0  88
Danny_Welbeck 26 eng  1  1 11 20 30 100 826  78 785  11   2  939   1   0   0   1   3  41   4   0   0   0   0  88
Alex_Iwobi    20 nga  1  1 17 19 30 100 848 100 499  13   0 1191   3   0   0   1   8  36   4   1   5   0   0 100
