Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     25 svn 23  1  1  1 30 915 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ángel_Moyá  33 esp 21  1  1  1 30 279 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Moreira 22 por 19  1  1  1 30 264 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Godín   32 uru  1 23  2  2 30 100 647 608 526   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Filipe_Luís   32 bra  1 23 14  8 30 100  38 511   7   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Giménez  23 uru  1 23  2  2 30 100   1 685 543   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Umtiti 24 fra  1 22  2  2 30 100 572 620 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juanfran      33 esp  1 21 13  7 30 100 846  68 674   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dante         34 bra  1 21  2  2 30 100 176 482 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nacho_Monreal 32 esp  1 20 12  8 30 100 903 757 688   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Arias       26 col  1 20 12  6 30 100 900 665 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Biglia  31 arg  1 20 24  2 30 100 691 138 715   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fernández   31 arg  1 19 23  3 30 100 499 410 648   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Dendoncker  22 bel  1 19 22  2 30 100 418 290 702   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Koke          26 esp  1  7 24 15 30 100 727 458 715   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Saúl_Ñíguez   23 esp  1  8 22 14 30 100 911 848 407   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabi          34 esp  1 13 21  8 30 100 743 410 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Carrasco    24 bel  1  2 24 21 30 100 459 184 791   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Gaitán   30 arg  1  2 22 20 30 100 537 693 234   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Silva       23 por  1  1 22 18 30 100 836 132 815   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Griezmann   27 fra  1  2 16 25 30 100 635 924 853   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kévin_Gameiro 30 fra  1  2  2 23 30 100 449 477 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ángel_Correa  23 arg  1  2 17 22 30 100 411 623 135   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Torres      34 esp  1  2  2 21 30 100 463 501 139   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
