Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Romero 31 arg 21  1  1  1 30 478 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chris_Vargas  29 col 18  1  1  1 30 624 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Erazo       31 ecu  1 20  2  2 30 100 939 257 292   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Feli_Aguilar  25 col  1 20  1  1 30 100 136 443 448   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Camilo_Zuñiga 33 col  1 19 15  7 30 100 931 691 575   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Palacios    25 col  1 19 11  6 30 100 695 689 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Sibille 20 arg  1 18  1  1 30 100 773 501 468   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Delgado  28 arg  1 18 11  6 30 100 765 684 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Cuesta 19 col  1 18  1  1 30 100 151 422 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hadier_Borja  21 col  1 17 10  6 30 100 912 501 462   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Peña   22 per  1 15 19  3 30 100 854 596 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Zuculini    25 arg  1 16 19  2 30 100 613 357 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ignacio_Fdez  28 arg  1 12 20 12 30 100 567 622 617   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Torres 28 col  1 10 19  8 30 100 951 583 964   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Perotti 29 arg  1  1 20 18 30 100 701 666 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Torres      34 col  1  2 19 17 30 100 451 828 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Nieto      25 col  1  2 19 16 30 100 450 165 560   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Castellani  31 arg  1  8 19 14 30 100 582 148 643   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Victor_Ibarbo 28 col  1  2 11 21 30 100 310 515 892   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dorlan_Pabón  30 col  1  2 19 21 30 100 565 908 864   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Vargas      29 chi  1  1 17 20 30 100 446 523 607   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Lucumí      23 col  1  1 15 19 30 100 481 629 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
