Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 744 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Cillessen   28 ned 20  1  1  1 30 754 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordi_Masip   29 esp 18  1  1  1 30 650 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  31 esp  1 22  2  2 30 100 704 173 217   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordi_Alba    29 esp  1 22 13  7 30 100 443 798 375   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Musacchio   27 arg  1 21  2  2 30 100 826 303 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joel_Matip    26 cmr  1 21  1  1 30 100 694 940 923   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dante         34 bra  1 21  2  1 30 100 164 110 955   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Chiriches   28 rou  1 20  2  2 30 100 352 178 164   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rick_Karsdorp 23 ned  1 20 12  6 30 100 222 574 545   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Badstuber   29 ger  1 19  1  1 30 100 758 578 562   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Carmona 21 esp  1 18 11  6 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Busquets    29 esp  1 19 23  3 30 100 732 124 416   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Pereira     26 por  1 19 21  2 30 100 418 627 176   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Stewart 24 eng  1 17 19  1 30 100  95 144 981   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago        26 esp  1  8 22 14 30 100 303 990 620   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Gomes   24 por  1 14 22  7 30 100 337 210 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergi_Roberto 26 esp  1 13 20  8 30 100 279 983 274   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bernardeschi  24 ita  1  2 21 19 30 100 132 545 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Silva       23 por  1  1 21 17 30 100 460 163 957   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lionel_Messi  30 arg  1  2 22 25 30 100 192  14 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paulo_Dybala  24 arg  1  2 19 23 30 100  50 358 726   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Icardi  25 arg  1  1  1 21 30 100 639 640 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ahmed_Musa    25 nga  1  2  2 19 30 100  61 181 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
